Herr Präsident! Lassen Sie mich eines vorwegsagen: Ich bin kein großer Freund von Beauftragten.	Mr President, let me say one thing at the outset, namely that I am no great friend of ombudsmen.
Ich empfinde immer noch so, dass wir als gewählte Parlamentarier die ersten Beauftragten der Bevölkerung Europas sein sollten.	I still feel that we, as elected members of Parliament, should be the primary ombudsmen of the people of Europe.
Warum brauchen wir einen Datenschutzbeauftragten?	Why do we need a Data Protection Supervisor?
Mein geschätzter Kollege Timothy Kirkhope hat dies mit der Grundrechtecharta begründet und mit dem Stellenwert des Datenschutzes.	My esteemed fellow MEP, Timothy Kirkhope, justified it on the basis of the Charter of Fundamental Rights and by reference to data protection's significance.
Ich glaube nicht, dass man so argumentieren kann, denn dann bräuchten wir demnächst auch einen Familienbeauftragten, einen Frauenbeauftragten und einen Kinderbeauftragten.	I do not believe that one can argue in this way, as we would next need a family ombudsman, a women's ombudsman and a children's ombudsman as well.
All diese Gruppen haben auch eine gewichtige Stellung innerhalb der Grundrechtecharta.	All these groups have an important place in the Charter of Fundamental Rights.
In meinem Bundesland, aus dem ich komme, in Schleswig-Holstein, haben wir ein regelrechtes Unwesen entwickelt, wir haben sogar einen Fahrradbeauftragten!	In Schleswig-Holstein, the province of the Federal Republic of Germany from which I come, we have developed a veritable abomination; we even have a bicycle ombudsman.
Wer aber glaubt, dass darum die Fahrradfahrer besser abschneiden, auch bei der Haushaltsplanung, der befindet sich auf dem Holzweg, wie man so schön sagt.	Anyone, though, who believes that cyclists come off better out of this, even in the planning of the budget, is, as we say, barking up the wrong tree.
Nein, in der Tat, der Datenschutz ist ja wichtig. Und das liegt bei uns daran, dass die Kontrolle - auch der Kommission, insbesondere dessen, was sich in der Kommission abspielt -, für uns als Parlamentarier schwierig ist, und darum brauchen wir natürlich eine Hilfsperson in diesem Bereich.	No, data protection really is important, and the reason why it is so to us is that we parliamentarians find monitoring difficult - even the monitoring of the Commission, and especially of what goes on within it - and so, of course, we need an auxiliary person in this field.
Die muss selbstverständlich, das hat mein Kollege Ceyhun richtig gesagt, in Brüssel sitzen, nämlich dort, wo sie ihre Kontrollarbeit auch zu leisten hat.	He or she, as Mr Ceyhun rightly said, must be based in Brussels, where he or she is to carry on the work of monitoring.
Kommen wir zur Vergütung.	Let us move on to remuneration.
Ich kann überhaupt nicht einsehen, dass ein Beauftragter, der nun diese Daten kontrollieren soll, so wichtig diese Position auch sein mag, sich an einem Gehalt eines Richters am Europäischen Gerichtshof orientiert.	No matter how important the position may be, I really cannot see that an ombudsman, who is to monitor this data, should, in salary terms, be on the same footing as a judge at the European Court of Justice.
Ich kann überhaupt nicht erkennen, warum das so sein soll.	Why that should be the case completely eludes me.
Ein Richter am Gerichtshof hat eine wesentlich höhere und bedeutungsvollere Position.	A judge at the Court of Justice occupies a significantly superior and more important position.
Die Richter sind immerhin die Hüter unserer Verträge.	The judges are, in any case, the guardians of our treaties.
Warum also sollen wir einen Datenschutzbeauftragten so bezahlen wie einen Richter am EuGh?	Why, then, should we pay a data protection supervisor as much as a judge at the ECJ?
Ich denke, hier haben sich im Laufe der Jahre auch bei uns die Wertmaßstäbe ein bisschen verschoben, und sie gehören ins rechte Lot gerückt.	I think that in this respect our yardsticks of value have shifted a bit over the years, and they need to be put back in order.
Darum sollte man eher darüber nachdenken, den Bürgerbeauftragten auf das richtige Bezahlungsniveau zurückholen, anstatt die nächste Position gleich wieder zu überdotieren.	We should rather think about bringing the Ombudsman back to the right pay level instead of going straight ahead with allocating too much to the next position.
Da appelliere einen bisschen mehr an den Realitätssinn.	On this point, I appeal for a bit more of a sense of reality.
