Herr Präsident, liebe Kolleginnen und Kollegen, sehr geehrter Herr Kommissar!	Mr President, ladies and gentlemen, Commissioner.
Als Verfasserin der Stellungnahme des Ausschusses für Recht und Binnenmarkt möchte ich dem Herrn Berichterstatter zu seinem Bericht herzlich gratulieren und mich bei ihm und bei allen anderen Mitgliedern des Wirtschafts- und Währungsausschusses für die sehr gute Zusammenarbeit bedanken.	As draftsman of the opinion of the Committee on Legal Affairs and the Internal Market, I should like to congratulate the rapporteur on his report and to thank him and all the other members of the Committee on Economic and Monetary Affairs for being so cooperative.
Der federführende Ausschuss hat ja einiges von dem, was wir als Ausschuss für Recht und Binnenmarkt vorgeschlagen haben, in der einen oder anderen Form übernehmen können.	The committee responsible was able to include some of what we in the Committee on Legal Affairs and the Internal Market proposed in one form or another.
Im Ausschuss für Recht und Binnenmarkt konnten wir uns auf sehr wenige Änderungsvorschläge beschränken, zum einen deshalb, weil wir den grundsätzlichen Ansatz der Kommission unterstützen.	We were able to confine ourselves in the Committee on Legal Affairs and the Internal Market to a very small number of proposed amendments, because we support the Commission's basic approach.
Es ist nie ganz richtig, wenn man quantifiziert, aber ich möchte mal sagen, 95 % dessen, was die Kommission vorgeschlagen hat, möchten wir auch voll inhaltlich unterstützen.	You can never quantify it exactly, but I would say that we fully endorse 95% of the Commission's proposals.
In vielen anderen Fragen ist sicher eher der Wirtschafts- und Währungsausschuss berufen, Stellung zu nehmen.	On numerous other questions, it was rather up to the Committee on Economic and Monetary Affairs to express an opinion.
Im Ausschuss haben wir vor allem einen grundsätzlichen Punkt festgehalten.	We came to one main basic conclusion in committee.
Die heutige Debatte und alles, was sich im Vorfeld abgespielt hat, hat ja gezeigt, dass es sich bei dieser Gruppenfreistellungsverordnung, auch wenn es noch so ein sperriger Titel ist, um etwas handelt, was alle unsere Wählerinnen und Wähler und sehr weite Kreise in Europa direkt betrifft.	The current debate and all that has gone before have shown that this block exemption regulation, however esoteric it may sound, directly affects all our voters and will have far-reaching ramifications throughout Europe.
Dennoch ist es ein Akt, der autonom von der Kommission entschieden werden kann und wo das Europäische Parlament nur in ein freiwilliges Konsultationsverfahren eingebunden ist.	And yet it is an act which the Commission can decide on autonomously, with the European Parliament only involved under a voluntary consultation procedure.
Bei allem Respekt vor der Kommission und vor allem auch angesichts der Notwendigkeit, dass die Unabhängigkeit der Kommission gewahrt ist, wenn es zu Einzelentscheidungen kommt, und die Kommission auch vor unzulässigen politischen Einflüssen geschützt werden muss, glaube ich doch, dass, wenn es um generelles Wettbewerbsrecht geht, diese Fragen in Zukunft in die Mitentscheidung gehören.	With all due respect to the Commission and, more importantly, given the need for the Commission to remain impartial when it makes unilateral decisions and for the Commission to be shielded from unacceptable political pressure, I think that, when it comes to general competition law, these matters should come under the codecision procedure in future.
Als Mitglied des Europäischen Konvents habe ich mir erlaubt, vorigen Freitag auch einen Vorschlag in diese Richtung im Konvent einzubringen.	As a member of the European convention, I took the liberty of submitting a proposal to the convention along these lines last Friday.
Im Rechtsausschuss ist es natürlich auch um den Vertrauensschutz und um die Rechtssicherheit gegangen. Deshalb haben wir Verbesserungen beim Kündigungsschutz und bei den Entschädigungen für die Händler vorgeschlagen und uns vor allem auf die Frage des Gebietsschutzes konzentriert.	Naturally, the Committee on Legal Affairs also considered measures to maintain confidence and legal certainty, which is why we have proposed improvements to conditions of notice and compensation for dealers and focused on the location clause.
Die von mir vorgeschlagene Übergangsbestimmung, die als Änderungsantrag 28 des federführenden Ausschusses auch morgen zur Abstimmung kommen wird, geht von einigen Überlegungen aus, von denen wir glauben, dass sie durchaus im Sinne von mehr Wettbewerb sind.	My proposed transitional arrangement, which will be put to the vote tomorrow as the lead committee's Amendment No 28, is based on a number of considerations which give us cause to believe that it will improve competition.
Wenn nun die neue Gruppenfreistellungsverordnung fast alle anderen Wettbewerbsbeschränkungen aufhebt - das ist wie gesagt gut und wird von uns ausdrücklich unterstützt -, dann denke ich doch, dass der Gebietsschutz für Einzelhändler noch vorübergehend bestehen bleiben könnte, unter anderem, um auch in Gebieten mit weniger Kaufkraft - und ich komme aus so einer peripheren Region - dafür zu sorgen, dass Händler überleben können und eine Versorgung der Konsumenten gegeben ist.	If nearly every other restriction on competition is removed from the new block exemption regulation - which, as we have said, is a good thing which we expressly support - then I think that we can keep the location clause in place for dealers for the time being, in order to ensure, among other things, that dealers in areas with less purchasing power - and I come from just such an outlying region - can survive and that the consumer supply line is not cut.
Der Gebietsschutz in einem nicht wachsenden Markt kann uns auch vor allzu negativen Auswirkungen des stattfindenden Konzentrationsprozesses schützen.	Location clauses on a non-growth market can help to protect us from the all too negative fallout from the concentration process.
Ich denke, es ist es wert, dass wir den Prozess jetzt noch zwei Jahre lang beobachten.	I think it is worth keeping an eye on this process for another two years.
Dann wird es autonom an der Kommission liegen, die entscheidenden und letzten Maßnahmen zu treffen.	Then it will automatically be up to the Commission to introduce the final, decisive measures.
