Herr Präsident! Ich unterstütze die vorliegende Entschließung von EVP, SPE, Liberalen und UEN.	Mr President, I support this resolution by the PPE-DE, PSE, Liberals and the UEN.
Ich finde es besonders gut, dass wir zu Beginn der gemeinsamen Entschließungen die gemeinsamen Werte zwischen Europa und Lateinamerika betonen, denn es ist wichtig, dass wir diese Partnerschaft nicht nur ökonomisch betrachten, sondern dass wir auch politisch über die gemeinsamen Werte sprechen und über die Dinge, die daraus folgen.	I see it as a particularly good thing that, at the start of the joint resolutions, we are emphasising the values which Europe and Latin America share, as it is important that we see this partnership not only in an economic light, but that we can also speak of our common values and their consequences in political terms.
Ich glaube, einzelne Elemente, die die Grünen versucht haben einzubringen, sind auch positiv, dass wir zum Beispiel mehr über Nachhaltigkeit reden sollten.	I believe that certain elements which the Greens have tried to introduce are also positive - for example, that we should have more to say about sustainability.
Insgesamt jedoch ist die Entschließung der Grünen und auch die der UEN zu negativ: Gegensatz zu den USA, gegen die Globalisierung, gegen den Freihandel. Ich glaube, das bringt uns nicht weiter.	Overall, though, the Greens' resolution, and that of the UEN, are too negative, with their opposition to the USA, to globalisation, and to free trade, which I do not think gets us very far.
Wir müssen hier ein ausgewogeneres Verhältnis zwischen berechtigter Kritik in Einzelpunkten und konstruktiver Zusammenarbeit haben.	We need here a balanced relationship between constructive cooperation and justified criticism of details.
Ich unterstütze ausdrücklich die Ausführungen, die Herr Salafranca Sánchez-Neyra zum Haushalt gemacht hat.	I expressly support what Mr Salafranca Sánchez-Neyra had to say about the Budget.
Es bringt nichts, viel zu reden und große Gipfel zu veranstalten und dann gleichzeitig weniger Geld zur Verfügung zu stellen.	Nothing is achieved by much talking and putting on great summits and at the same time allocating less money.
Das hat die Kommission in den letzten Jahren immer wieder vorgeschlagen.	That is what the Commission has proposed over and over again in the last few years.
Wir haben es immer wieder verhindert, aber die Kommission sollte doch wirklich einmal von Anfang an konstruktive Vorschläge machen.	Over and over again, we have prevented it, but the Commission really should, for once, come up with constructive proposals at the outset.
Zu Kuba haben Frau Malmström und Herr Queiró einiges gesagt.	Mrs Malmström and Mr Queiró had a certain amount to say about Cuba.
Ich glaube, es ist ganz wichtig, dass wir jetzt, wo die Demokratie in Kuba lautstark nach ihrem Recht ruft, nicht die falschen Signale an Kuba senden.	I believe it to be of the utmost importance that we should avoid sending the wrong signals to Cuba at the present time when people there are calling loud and clear for democracy.
Natürlich sind wir gegen das Embargo, aber wir sind auch gegen Diktatur und gegen die Verletzung der Menschenrechte.	We are of course opposed to the embargo, but we also oppose dictatorship and the violation of human rights.
Deswegen kann es für Kuba nur Zugeständnisse im Dialog mit der Europäischen Union geben, wenn sich die Menschenrechtssituation und die Demokratiesituation in Kuba verbessert.	That is why dialogue with the European Union can gain Cuba concessions only if the situation there as regards democracy and human rights improves.
Als Letztes möchte ich anregen, dass wir im Zusammenhang mit der Öffnung der Märkte vor allen Dingen die ärmeren Länder Lateinamerikas ins Visier nehmen.	I would like to conclude with the suggestion that, in opening up markets, we should focus above all on the poorer countries of Latin America.
Ich glaube, natürlich kann man mit Mexiko und Chile Freihandel auf Gegenseitigkeit vereinbaren, vielleicht nicht mit dem gleichen Zeitplan, aber mit Ländern wie Nicaragua, Honduras und Bolivien sollte man auch einseitige Präferenzen in den Vordergrund stellen, und ich glaube, dass diese Länder das gleiche Recht auf präferenzielle Behandlung haben wie die meisten AKP-Staaten.	I believe we can agree on mutual free trade with both Mexico and Chile, but perhaps not with the same timetable, but with countries such as Nicaragua, Honduras and Bolivia, we should also prioritise unilateral preferences, and I believe that these countries have the same right to preferential treatment as most of the ACP states.
Ich denke, das sollte in den Dialog stärker miteinbezogen werden.	I think the dialogue should give more attention to that.
