Herr Präsident! Ich werde jetzt ganz sicher nichts zu Legionellen sagen.	Mr President, I will certainly not have anything to say about legionella at this point.
Herr Präsident, ich möchte eine Frage an Sie richten, die nichts mit dem Guinnessbuch der Rekorde zu tun hat, wohl aber mit dem möglicherweise längsten Immunitätsaufhebungsverfahren der Welt.	I would like to address a question to you, one that, although it has no connection with the Guinness Book of Records, does indeed have to do with what may be the world's longest waiver of immunity proceedings.
Wie ist der Stand der Dinge beim Immunitätsaufhebungsverfahren betreffend unseren Kollegen Marcello dell'Utri?	What is the position in the proceedings to waive the immunity of Marcello Dell'Utri MEP?
Am vergangenen Donnerstag hat der Oberste Spanische Gerichtshof ein Einstellungsbegehren der Anwälte von Herrn Berlusconi und Herrn dell'Utri zurückgewiesen und die spanische Justiz ermächtigt, das Verfahren gegen die beiden Genannten - darunter Herrn dell'Utri, der noch immer unser Kollege ist - weiterzuführen.	Last Thursday, the Spanish Supreme Court threw out an application by counsel for Mr Berlusconi and Mr Dell'Utri for proceedings to be stayed and it authorised the Spanish judiciary to continue to proceed against the two persons named, one of them Mr Dell'Utri, who remains a Member of this House.
Nun handelt es sich bei diesem Immunitätsaufhebungsverfahren nicht um Knöllchen, die man im Straßenverkehr bekommt, Strafmandate wegen Falschparkens, sondern um schwerwiegende Straftatbestände, Betrug, Steuerhinterziehung in Millionenhöhe, Verdacht der Mitgliedschaft in einer mafiosen Vereinigung usw.	Now, this attempt to waive immunity is not about bumps sustained in traffic or penalties for unauthorised parking, but serious offences such as fraud, tax evasion to the tune of millions, suspected membership of a Mafia organisation, and so on.
Seit über eineinhalb Jahren lagert dieses Immunitätsaufhebungsverfahren im Ausschuss für Recht und Bürgerrechte.	This action for the waiver of immunity has been gathering dust in the Committee on Legal Affairs and Citizens' Rights for over a year and a half.
Die spanische Justiz hat nun die Fragen, die die Spanier betrafen, geklärt. Es gibt also keinerlei Grund mehr, dieses Verfahren weiterhin im Ausschuss für Recht und Bürgerrechte zu belassen.	The Spanish judicial authorities have now sorted out the issues of interest to the Spanish, and so there are no longer any reasons to leave this case in the hands of the Committee on Legal Affairs and Citizens' Rights.
Ich möchte Sie, Herr Präsident, nun um folgendes bitten:	The following are my requests of you:
Erstens: Wenn Sie einen neueren Sachstand hätten, tragen Sie ihn uns bitte vor.	Firstly, if you have more up-to-date news of the state of play, please present it to us.
Zweitens: Wenn Sie noch keinen neuen Sachstand haben, bitte ich Sie, sich mit dem Vorsitzenden des Ausschusses für Recht und Bürgerrechte ins Benehmen zu setzen mit dem Ziel, die Angelegenheit so schnell wie möglich ins Plenum zu bringen.	Secondly, if you do not have new information on how things stand, I would ask you to communicate with the chairman of the Committee on Legal Affairs and Citizens' Rights in order to get this matter into plenary as quickly as possible.
Wir wollen dies als Sozialistische Fraktion aus zwei Gründen, erstens wegen des Sachverhalts und des Kollegen dell'Utri, aber zum anderen auch deshalb, weil es nicht hinnehmbar ist, dass Verfahren von so großer Tragweite über einen so langen Zeitraum nicht ins Plenum kommen.	We in the Socialist Group want this for two reasons: firstly, because of the circumstances involving Mr Dell'Utri, but also because it is not acceptable that cases of such wide scope which have extended over such a long period should not be brought into plenary.
Es behindert nicht nur uns als Kolleginnen und Kollegen, es hindert auch die betroffenen Kollegen daran, hier im Plenum und im zuständigen Ausschuss zu ihrer eigenen Rechtfertigung die notwendigen Aussagen machen zu können.	It is not only an impediment to us as Members of this House, but also prevents the Members concerned from making statements to justify themselves here in plenary and in the relevant committee.
Unsere Bitte an Sie, Herr Präsident, ist deshalb, dass Sie die Angelegenheit jetzt beschleunigen, damit kein falscher Verdacht auf das Europäische Parlament fällt.	We therefore ask you to speed matters up now, so that Parliament should not be subject to unjustified suspicions.
