Herr Präsident! Die Erweiterung der EU tritt in ihre entscheidende Phase.	Mr President, EU enlargement is entering its crucial phase.
Die vorliegenden Berichte und Reden verschweigen offene Fragen nicht, sprechen sich aber für die Aufnahme der Beitrittsstaaten aus.	The reports before us and the speeches by Members do not draw a veil over the unresolved issues, but do endorse the candidate countries' accession.
Ein Standpunkt, den unsere Fraktion auch teilt.	Our group also supports this position.
Wie es scheint, gibt es beim Stand der Verhandlungen und der Übernahme des gemeinsamen Besitzstandes dann keine anderen Alternativen.	The current state of play in the negotiations and in the adoption of the acquis communautaire implies that there are no alternatives.
Betrachtet man jedoch die Qualität der Integration und die in der EU selbst auftretenden Probleme, kann man auch zu anderen Überlegungen kommen.	Yet if we look at the quality of integration and the problems arising in the EU itself, it is possible to arrive at a different view.
So hält es meine Fraktion nicht für richtig, dass im Rahmen des Beitrittsprozesses den Bewerberstaaten nachdrücklich empfohlen wird, dem militärischen Bündnis der NATO beizutreten.	My group, for example, does not believe it is right that, as part of the accession process, candidate countries are urged to join the NATO military alliance.
Es geht hier um die EU und nicht um etwas Anderes.	This should not be part of the process, which involves accession to the EU and nothing else.
Die EU stellt Ansprüche an die Beitrittskandidaten, die in vielen ihrer Mitgliedstaaten selbst nicht erfüllt sind.	The EU sets conditions for the accession candidates which are not fulfilled by many of its own Member States.
Der Reformstau innerhalb der Union ist enorm.	There is a tremendous backlog of reform in the EU.
Die Bereitschaft zur solidarischen Teilung ist nicht gerade ausgeprägt. Die Zustimmung unter den Bürgern zum Beitritt ist in letzter Zeit im Sinken begriffen.	The willingness to show solidarity in the distribution of resources is far from overwhelming, and citizens' support for accession has recently been on the wane.
Die Ursachen dafür allein bei Unkenntnis und fehlender Transparenz zu suchen, scheint uns zu einfach.	Ascribing these problems to ignorance and a lack of transparency is, in our opinion, too simplistic.
Die Europa-Debatte der Bürger, die nach Nizza gefordert wurde, ist doch in einem wirklichen Umfang bisher nicht in Gang gekommen. Dabei wiegen die Lasten, die mit dem Anpassungsprozess an die Europäische Union verbunden sind, noch schwerer.	The citizens' debate on Europe which was called for after Nice has yet to take place in any meaningful way, while the burdens associated with the pre-accession adaptation process are becoming increasingly onerous.
In den Berichten werden die Kandidaten zu Recht aufgefordert, entschiedener den Kampf gegen Korruption zu führen.	The reports quite rightly call upon the candidate countries to adopt more rigorous anti-corruption measures.
Verschwiegen werden aber die Ursachen und Quellen, die beispielsweise in der kapitalistischen Privatisierung und den damit schnell wachsenden sozialen Gegensätzen zwischen dem wachsenden Reichtum Weniger und der Armut und der Arbeitslosigkeit sehr Vieler liegen.	What is never mentioned, however, are the causes and sources of corruption, which is due, among other things, to capitalist privatisation and the growing social inequalities between a handful of increasingly wealthy people and the vast majority who face poverty and unemployment.
Wie wenig strategische Positionen der Kommission für den Beitritt greifen, zeigt sich am deutlichsten in der Landwirtschaft.	The lack of impact of the Commission's strategic positions in the accession process is particularly apparent in agriculture.
Wer rechtzeitig warnte, dass die Agenda 2000 realitätsferne Elemente birgt, wurde als Miesmacher hingestellt. Die hier beschworenen offenen 5 % haben für die Landwirte ein x-faches Gewicht und sind nicht nur fünf vom Hundert.	Anyone who warned early on that some of the elements contained in Agenda 2000 were quite unrealistic was criticised as a troublemaker, but the much-vaunted open 5% have negative and disproportionate repercussions on farmers.
Wer aber meint, bis auf die Agrarpolitik sei der Prozess der Erweiterung um bis zu 10 Staaten gelöst, ist meiner Auffassung nach naiv.	Yet anyone who assumes that, with the exception of agricultural policy, the process of enlarging the EU by up to ten states has been resolved is naïve, in my view.
Das Feld sozialer Ungleichheit ist viel größer.	Social inequality is present to a far greater extent.
Die Bereitschaft zur Solidarität ist viel geringer und die Arbeit der Kommission in zahlreichen Bereichen viel zu oberflächlich und bürokratisch, um den neuen Ansprüchen an Integration gerecht zu werden.	There is very limited willingness to show solidarity, and in many areas, the Commission's work is much too superficial and bureaucratic to do justice to the new demands of integration.
Nicht wenige wesentliche Fragen sind offen. Eine Trendwende ist nötig.	A considerable number of key issues are unresolved, and what is required is a change of direction.
Hoffentlich kommt sie zur rechten Zeit.	I hope that this will be achieved in good time.
