Herr Präsident! Premieren gibt es immer wieder.	Mr President, of firsts there is no end.
Man kann heute nicht einmal mehr einen Besucher hier begrüßen.	There are not even any visitors to welcome here today.
Still war es auch in Yokohama gestern, von wo ich gerade zurückgekehrt bin.	There was similar silence yesterday in Yokohama, from where I have just returned.
Man braucht ja nicht gleich 70.000 Zuschauer für das, was wir hier tun.	What we are doing here today does not require 70 000 spectators.
Aber null ist eben null und ein klarer Ausdruck dessen, dass wir es nicht geschafft haben, dieses Parlament wenigstens minimal zu informieren.	But zero remains zero and gives clear expression to the fact that we have failed to give Parliament even the minimum of information.
Dass nur drei sitzende Abgeordnete dieser Debatte lauschen, zeigt, was für einen Stellenwert das Parlament selbst diesem Bericht einräumt.	That there are only three Members in their seats to hear this debate shows how Parliament itself values this report.
Wüssten die Leute mit einer reformierten Geschäftsordnung, was wir hier so alles treiben und vor allen Dingen nicht treiben, diese Bude wäre zum Brechen voll.	If the Rules of Procedure were reformed and people knew what we are doing here - and above all what we are failing to do here - then this place would be full to overflowing.
Die Frage ist, wie lange und wie schnell wir uns reformieren, und ist das das Thema?	The question is for how long we will be reforming ourselves and how quickly we are going about it, and is that the topic for debate?
Jawohl, Herr Präsident, es ist das Thema, denn dasselbe, was wir hier machen im Parlament, in dem wir uns verstecken, in dem wir so viel tun, dass uns nur niemand zuhört, macht Euratom.	It is indeed the topic for debate, Mr President, for Euratom is doing the very same that we are doing here in this Parliament in which we hide ourselves away, where we do so much to ensure that nobody hears us doing it.
Es entzieht sich jeder sinnvollen demokratischen Kontrolle, und in diesem Zusammenhang ist es natürlich schwer, fundamentale Kritik anzubringen, aber Lob ist in einigen Punkten in dem Bericht des Kollegen Rübig durchaus angebracht.	It is subject to no proper democratic control, and, whilst the context of course makes fundamental criticism difficult, some aspects of Mr Rübig's report are definitely praiseworthy.
Ziffer 16, 17 und vor allen Dingen Ziffer 13, weil da zumindest ansatzweise, wenn auch symptomatisch, der Finger auf die gerade beschriebenen Wunden gelegt wird.	By that I mean item 16, item 17 and most of all item 13, because there at least the attempt is made, albeit in typical fashion, to put a finger on the spots that have just been described.
Undemokratisch, untransparent, und unaccountable arbeitet Euratom - das wird in Ziffer 13 auch sehr deutlich zum Ausdruck gebracht.	Item 13 makes it very clear that Euratom functions undemocratically, without either transparency or accountability.
Was sehr schwer nachvollziehbar ist, außer man kennt die parlamentarischen Gepflogenheiten und vielleicht auch bestimmte Usancen der Absprache hinter verschlossenen Türen, sind die Ziffern 1, 2 und 3. Wie kann man auf der Basis, dass wir so viel unaccounted material haben, sagen: Arbeitet sehr gut, sehr gut, es ist nichts aufgeflogen?	Unless one knows Parliamentary practices and perhaps also certain usages in debate behind closed doors, it is very difficult to track the thinking behind items 1, 2 and 3. If we have so much material unaccounted for, how can we, on that basis, say that the job is done well, very well, because none of it has come to light?
Wenn man so weitermacht, entzieht man nicht nur unserer Arbeit, sondern auch dem, was möglicherweise bei der Nutzung der Kernenergie sinnvoll ist, weiter den Boden.	If we carry on in this fashion, then not only will our work continue to be undermined, but so will what perhaps makes sense of the use of nuclear energy, and that brings me to my ceterum censeo.
Was mich zum ceterum censeo bringt, Herr Präsident: Keine Demokratie ohne Transparenz!	Mr President, there is no democracy without transparency!
