Herr Präsident! Bei Teilnahmeregelungen an einem Forschungsprogramm - worum kann es denn da gehen?	Mr President, what exactly is the point of the rules on participation?
Nun, es gibt Geld für Forschungstätigkeiten, und zwar Geld, das - und das möchte ich hier deutlich betonen - aus der öffentlichen Hand kommt.	Well, they mean money for research activities, money which - let there be no mistake - comes from the public purse.
Es sind öffentliche Gelder, der Steuerzahler finanziert Forschungstätigkeiten.	It is public money, taxpayers' money that funds research activities.
Es werden Projekte ausgeschrieben, Anträge werden gestellt, und irgendwann kommt die Bewilligung - oder nicht.	Invitations to tender for projects are published, applications are made and, at some point, approval is granted - or not.
Was war denn eigentlich für uns wichtig?	So what was important for us?
Zunächst einmal dass bei den Anträgen die Ausschreibung selbstverständlich klar, eindeutig und einfach ist.	First that, when applications are made, the invitation to tender should be clear, unequivocal and straightforward.
Dass es möglich ist, somit doch klare, eindeutige und einfache Anträge zu schreiben.	So that clear, unequivocal and straightforward applications can be submitted.
Deshalb sind wir eingetreten für ein zweistufiges Verfahren, das sich auch schon in der Vergangenheit bewährt hat.	That is why we opted for the two-stage procedure that has already proven its worth in the past.
Die Kommission ist auf diesen unseren Antrag eingegangen.	The Commission agreed to this suggestion.
Zum zweiten ist es natürlich wichtig, dass eine zügige Bewertung möglich ist, dass man nicht so lange sitzt und wartet: Wird nun dieses Projekt angenommen oder nicht?	Secondly, it is of course important to be able to carry out a quick evaluation, so that people are not left sitting around waiting to hear whether or not their project has been accepted.
Für uns war es als Parlament wichtig, dass neben den selbstverständlichen Kriterien der Exzellenz und der Innovation auch weiche Kriterien berücksichtigt werden.	For us as a Parliament, it was important to include a number of criteria in addition, of course, to the criteria of excellence and innovation.
Ich denke zum Beispiel - viele Damen sind ja gerade von hier weggegangen - an die Teilnahme von Frauen an der Forschung.	I am thinking here, for example, - what a pity several lady Members have just left - of the role of women in research.
Wichtig ist es auch, dass ein europäischer Mehrwert finanziert wird.	It is also important to fund European added value.
Mit anderen Worten: Durch das gemeinsame Arbeiten soll etwas mehr herauskommen, als wenn jeder Einzelne allein für sich forscht.	In other words, if we work together, the total should be greater than the sum of the parts.
Gemeinsam arbeiten bedeutet Solidarität zwischen den Mitgliedern dieser Gruppe.	Working together means solidarity between the Member States in the group.
Bedeutet auch Solidarität in der Haftung, sollte - was selbstverständlich niemand erwartet - einmal etwas schief laufen.	It also means solidarity in liability should something go wrong - not that anyone expects it to.
Aber hier wiederum soll die Solidarität nicht so weit gehen, dass - wie die Kommission es vorgeschlagen hatte - eine gesamtschuldnerische Haftung aller Teilnehmer entsteht.	But then again, solidarity should not go so far - as the Commission proposes - as to make all the participants jointly and severally liable.
Dieses ist jetzt doch erfolgreich durchgesetzt.	This has now been successfully introduced.
Gemeinsame Haftung in bestimmten Grenzen - ja.	Joint liability, but within certain limits.
Wir haben es geschafft, einen guten Mittelweg zu finden zwischen der notwendigen Solidarität, aber auch der Verantwortung des Einzelnen.	We have managed to find a good compromise between the solidarity needed and the responsibility of the individual participants.
Selbstverständlich soll der Geldfluss flexibel, aber auch nachprüfbar gestaltet sein.	Of course payment channels need to be set up so that they are flexible and payments can be tracked.
Und das Geld soll gezielt ausgegeben werden.	And the money should be paid out in a targeted manner.
Ich will hier nur ein Beispiel herausgreifen: Pauschalbeträge ja, wenn sie nötig sind. Aber nur, wenn sie sich an tatsächliche Mehrkosten durch die europäische Forschung anlehnen und wenn sie belegbar sind, selbst wenn der Beleg erst im Nachhinein vorgelegt wird.	To give just one example, lump sums, yes, if necessary, but only if they are based on actual additional costs from European research and can be proven, even if the proof is submitted afterwards.
Mit anderen Worten, Exzellenznetze, gemeinsamer europäischer Forschungsraum ja, aber nicht in Form von irgendwelcher nicht richtig messbarer Zusammenarbeit.	In other words, networks of excellence, joint European research area, yes, but not in the form of some sort of collaboration which cannot be properly quantified.
Auch hier ist es uns gelungen, den Kommissionsvorschlag in der von Ihnen gedachten Richtung weiter zu entwickeln.	Here too we have managed to move the Commission proposal in the direction suggested by Parliament.
Ein wichtiger Punkt der Diskussion war außerdem für uns als Parlament Folgendes: Der Kommissionsvorschlag hat uns den Eindruck vermittelt, und ich sage hier ganz bewusst 'hat uns den Eindruck vermittelt' - wir haben lange darüber gesprochen und sind da im Endeffekt auch zu einer anderen Einigung gekommen, dass die Kommission sich eigentlich ein klein bisschen zurückziehen wollte.	Another important point for Parliament in the discussion was this: the Commission proposal gave us the impression - and I use the expression advisedly; we discussed this at length and eventually agreed otherwise - that the Commission actually wanted to backtrack slightly.
Dass sie einfach sagen wollte, es gibt einen Projektverantwortlichen, der kriegt Geld, und der ist für alles verantwortlich.	That it simply wanted to say, there is a project coordinator, he gets the money, he is responsible for everything.
Das ist nicht möglich.	That is out of the question.
Wir können nicht unsere Exekutive aus ihrer Verantwortung entlassen.	We cannot release our Executive from its responsibility.
Sie ist haftbar für die von ihr genehmigten Summen, und sie ist die einzige, die gegenüber dem Europäischen Rechnungshof direkt haftbar ist.	It is liable for the sums which it approves and it alone is directly answerable to the European Court of Auditors.
Es ist also Dank der Mitarbeit zahlreicher Kollegen für meine Begriffe gelungen, aus einem guten Vorschlag einen noch besseren Endtext zu formulieren.	Thanks to input from numerous colleagues on my ideas, we managed to turn a good proposal into an even better final text.
Ich möchte hier einige Worte zum Verfahren sagen, weil dieses Verfahren recht ungewöhnlich ist.	I should like to say a few words now about the procedure, because it is quite an unusual procedure.
Es handelt sich hier beim ersten Bericht um einen Bericht der vollen Mitentscheidung, bei dem Bericht über Euratom sind wir ja nur konsultativ tätig.	The first report is a full codecision report; the report on Euratom is a consultation report.
Aber bleiben wir bei dem ersten Bericht und bei der Mitentscheidung.	But let us stay with the first report and codecision.
Es handelt sich hier um eine Mitentscheidung, und es wird uns gelingen, nach nur einer Lesung einen Text zu verabschieden.	This is a codecision procedure and we shall be adopting a text after just one reading.
Warum?	Why?
Wir haben eine exzellente Zusammenarbeit mit dem Rat gehabt, und ich möchte hier den Staatssekretär Marimón ausdrücklich erwähnen.	Because we have had excellent cooperation with the Council and I should like to make a point of naming Secretary of State Marimón here.
Er hat sich mit sehr großem persönlichem Einsatz dafür verwendet, dass wir im Gespräch, im Dialog zu einer Einigung kamen.	He interceded with a great deal of personal commitment in order to help us reach an agreement in the talks, in the dialogue.
Allerdings muss ich auch sagen, dass ich eine sehr große Dialogbereitschaft bei der Kommission festgestellt habe.	I must say that I also found the Commission most willing to talk.
Insgesamt war von allen Seiten eine sehr große Offenheit für die Positionen der anderen da, und es ist gelungen, einen Text zu entwerfen, der nach der Abstimmung im Ausschuss schon vom Rat genehmigt worden ist.	All in all, everyone was very receptive to everyone else's position and we managed to draft a text that was approved by the Council following the vote in committee.
Sozusagen in vorauseilendem Gehorsam auf die Abstimmung, die morgen - davon gehe ich aus - mit großer Mehrheit zustimmend ausfallen wird.	In early obedience, as it were, to the vote which, I assume, will be a large majority in favour.
Dass nach einer ersten Lesung ein solches Einvernehmen entsteht, ist nur möglich durch die Kooperationsbereitschaft aller, wofür ich mich an dieser Stelle herzlich bedanken möchte.	This sort of agreement at first reading is only possible if everyone is ready to cooperate and I am most grateful that they were.
Ich möchte mich auch bei allen Kollegen aus den anderen Fraktionen bedanken.	I should also like to thank all my fellow Members in the other groups.
