Herr Präsident, sehr geehrter Herr Ratspräsident, sehr geehrte Damen und Herren Abgeordnete!	Mr President, Mr President-in-Office of the Council, honourable Members.
Die vorherige Debatte über Hilfen bei Naturkatastrophen, die wir eben geführt haben, hat ja sehr deutlich gezeigt, welche Erwartungen von der Bevölkerung an den europäischen Haushalt gestellt werden.	The previous debate on aid in the event of natural disasters clearly demonstrated what people's expectations of the European budget are.
Wenn wir die tatsächliche europäische Staatsquote ansehen, also den Anteil des europäischen Budgets am europäischen Sozialprodukt, dann sieht das Bild aber ein wenig anders aus.	But if we look at the real national quotas, i.e. the ratio between the European budget and the European national product, then the picture looks slightly different.
Es steht quasi in einem gewissem Gegensatz dazu, weil diese Staatsquote nur wenig mehr als ein Prozent ausmacht.	It is almost the reverse, because the national quotas account for just over one per cent.
Die Kommission hatte für das Budget 2003 eine Höhe von 1,03 % des europäischen Bruttosozialproduktes vorgeschlagen.	The Commission proposed 1.03% of the European national product for the 2003 budget.
Der Rat hat dies noch einmal etwas gekürzt.	The Council cut this back slightly.
Dabei besagt die Finanzielle Vorausschau, also unsere Finanzplanung, der wir alle zugestimmt haben, dass eigentlich 1,08 % zur Verfügung stehen sollten.	According to the financial perspective, i.e. the financial forecasts we have all agreed on, it should in fact be 1.08%.
Ich meine, das sollte eigentlich immer Leitlinie sein, wenngleich ich auch dafür bin, dass man aus Vorsichtsgründen immer bestimmte Reserven hält, Reserven auch für Unvorhergesehenes.	I think this should in fact be taken as a guideline, even though I am in favour of keeping certain reserves back for contingencies, just to be on the safe side.
Der Rat hat nun seine Kürzungen zum Beispiel im Agrarbereich pauschal vorgenommen, hat hier aber beispielsweise auch nicht die notwendige Neubewertung aufgrund der aktuellen Entwicklung des Dollarkurses berücksichtigt.	The Council has now made across-the-board reductions, for example in the agricultural sector, but has disregarded the fact that we need to revalue in order to take account of the current value of the dollar.
Aber hier besteht ja Übereinstimmung, dass dann im Herbst eine Neuvorlage hinsichtlich der notwendigen Agrarausgaben gemacht werden muss.	But we are agreed that a new presentation of the necessary agricultural expenditure needs to be made in the autumn.
Der Rat hat sehr viele Ansätze der Kommission für den Haushaltsentwurf 2003 akzeptiert.	The Council has accepted a great many of the Commission's estimates for the draft 2003 budget.
Das bewerten wir natürlich positiv.	We welcome that.
Positiv ist auch insgesamt zu bewerten, dass im Bereich der Außenpolitik Konsens darüber erzielt worden ist, dass zukünftig die sogenannte Notfallhilfe, die emergency reserve auch genutzt werden kann, um Maßnahmen des zivilen Krisenmanagements zu finanzieren.	We also generally welcome the fact that a consensus has been reached in the foreign policy area and that the so-called emergency reserve can also be used to fund civil crisis management.
Ich glaube, dass damit eine verbesserte Möglichkeit zur schnellen Reaktion im Fall von Krisen besteht und dies ein wichtiger Schritt hin zu einer sichtbaren und effizienten gemeinsamen Außen- und Sicherheitspolitik ist.	I think that this should give us more chance to react quickly to crises and that this is an important step on the road towards a clear, efficient common foreign and security policy.
Ich muss an den Ergebnissen der Ratslesung aber auch erhebliche Kritik äußern.	However, I must also seriously criticise the outcome of the Council reading.
Es ist beispielsweise völlig offen geblieben, wie die Mittel für die Umstrukturierung der Fischereiflotte in Spanien und in Portugal oder die notwendigen Mittel zur Unterstützung der nachhaltigen Fischereireform finanziert werden sollen.	For example, the question of how funds to restructure the fisheries fleet in Spain and Portugal or measures needed to support sustainable fisheries reforms shall be financed has still not been answered.
Hier wurde zwar die Frage angeschnitten, aber ihre Lösung auf die lange Bank geschoben.	This question was broached but then put on the back burner.
Der Rat hat zum Beispiel die Mittel für die Kofinanzierung der transeuropäischen Verkehrs- und Energienetze um 15 Millionen gekürzt.	And the Council has reduced funds to cofinance the trans-European transport and energy network by 15 million.
Dabei bestehen gerade in diesem Sektor erhebliche Erwartungen von Seiten der Mitgliedstaaten, die auch im Zusammenhang mit der Naturkatastrophe jetzt thematisiert werden.	Member States already have high hopes in precisely this sector, which will now be discussed in connection with natural disasters.
Ich denke, auch diese Kürzung muss rückgängig gemacht werden.	I think this reduction should also be reversed.
Erhebliche Kritik muss ich an der Ratsentscheidung über die Personalausgaben üben, an seinem Vorgehen bezüglich der Personalausgaben der einzelnen Institutionen.	I must also heavily criticise the Council decision on personnel expenditure, i.e. its approach to the personnel costs of the individual institutions.
Die Finanzplanung hätte für alle Institutionen eine Aufstockung um 3,6 % erlaubt.	The financial perspective allowed a 3.6% increase for all the institutions.
Der Rat hat sich selber aber eine erheblich höhere Aufstockung genehmigt.	And yet the Council has awarded itself a much higher increase.
Betrachtet man die reinen Personalausgaben, hat sich der Rat eine Aufstockung um das Doppelte genehmigt.	Taking personnel costs alone, the Council has awarded itself a twofold increase.
Wenn man alle Verwaltungsausgaben des Rates zusammenfügt, hat sich der Rat sogar eine Aufstockung um 11 % genehmigt.	And if you add in all the Council's administrative expenditure, the Council has awarded itself an 11% increase.
Ich muss es hier ganz klar sagen, und zwar in der Formulierung, wie sie sonst so gerne vom Ecofin-Rat, vom Rat der Finanzminister, gebraucht wird: Diese Ratsentscheidung für seine eigenen administrativen Mittel passt nicht in die finanzpolitische Landschaft hinein.	I must state quite clearly here, to paraphrase the words used with such gusto by the Ecofin Council, the Council of Finance Ministers, on another occasion: this Council decision on its own administrative resources does not fit into the budgetary landscape.
Das war eine Selbstbedienung, und zwar auf Kosten anderer, nämlich auf Kosten der Kommission. Hier hat der Rat eine erhebliche Mittelkürzung vorgeschlagen.	It has helped itself, at the cost of others, to be precise at the cost of the Commission, where the Council has suggested swingeing cuts.
