Frau Präsidentin! Heute ist schon mehrfach das Wort Rumänien gefallen.	Madam President, the word Romania has been mentioned several times today already.
Auch ich bin der Meinung, man sollte nicht nur den kleinen Armen, Bettelarmen, kritisieren, der erpresst wird, sondern durchaus auch den großen Reichen, der selbst die Erpressung durchführt.	I do not think either that we should criticise only the small poor, destitute countries that are being blackmailed but surely also the large rich ones, the ones actually responsible for the blackmail in the first place.
Dies zeigt, dass wir als Europäische Union eine ruhige, souveräne Haltung gegenüber den USA brauchen, und die fehlt.	This shows that in the European Union we need a calm, unified position on the USA, and we lack this at the moment.
Auf der einen Seite haben wir in London einen Regierungschef, der so tut, als wäre sein Land der 51. Bundesstaat der USA.	On the one hand we have a Head of Government in London who acts as though his country were the fifty-first US State.
Auf der anderen Seite haben wir in Berlin einen Regierungschef, der so redet, als verwechsle er Bagdad mit Washington, und er bekommt seinen ersten Glückwunsch nach der Wahl von Saddam Hussein.	On the other, we have a Head of Government in Berlin who to hear him talk would seem to be confusing Baghdad with Washington, and who gets his first message of congratulation after the elections from Saddam Hussein.
Ich glaube, beides ist falsch.	I believe that both of these approaches are wrong.
Wir brauchen eine ruhige, souveräne, aber kritische und eigenständige Haltung gegenüber den USA.	We need a calm, unified, but critical and independent position on the USA.
Dies liegt nicht zuletzt im Interesse der USA selbst.	This is not least in the interests of the USA itself.
Es ist eine angemessene Antwort auf den 11. September, das internationale Recht und seine Instrumente zu stärken, also gerade auch den Strafgerichtshof, für den wir seit Jahren kämpfen und der ein unverzichtbares Instrument ist.	Strengthening international law and its instruments is a fitting response to 11 September; this then includes the International Criminal Court, which we have been fighting for years and which is an indispensable instrument.
Denn in der Tat leisten die Strafgerichtshöfe für das ehemalige Jugoslawien, für Ruanda eine hervorragende Arbeit. Aber sie werden von der Propaganda immer wieder als Siegerjustiz diskreditiert.	The Criminal Tribunals for the Former Yugoslavia and Rwanda are actually doing an excellent job, but they are repeatedly discredited in propaganda as dispensing victor's justice.
Zu Unrecht!	This is wrong!
Aber um auf Dauer objektive Maßstäbe zu haben, brauchen wir eben eine Stärkung des internationalen Strafrechts, was Verbrechen gegen die Menschlichkeit und Genozid betrifft, und wir brauchen einen Internationalen Strafgerichtshof, der für alle gleichermaßen da ist.	However, if we are to have objective standards in the long term we really do need to strengthen international criminal law in respect of crimes against humanity and genocide, and we need an International Criminal Court that is there for everyone in an equal capacity.
Wir müssen eines ganz klar sehen: Die Geschichte lehrt uns, dass beispielsweise der Völkerbund gescheitert ist, weil diese großartige Idee von den USA ausgegangen war, aber die USA selbst in diesem Völkerbund nicht mitgewirkt haben.	We should be clear on one thing: history teaches us that for example the League of Nations failed because this splendid idea emanated from the USA but the USA itself did not participate in it.
Wir appellieren an unsere amerikanischen Partner und Freunde, gemeinsam mit Europa das internationale Recht und den Strafgerichtshof zu stärken, weil wir sonst Staaten in der arabischen Welt, aber auch China und Russland - ich nenne Tschetschenien und Tibet - ein Alibi liefern, das internationale Recht auf ihrem Gebiet zu ignorieren.	We call on our American partners and friends to work together with Europe to strengthen international law and the Criminal Court, because otherwise we are providing states in the Arab world, but also China and Russia - I might mention Chechnya and Tibet - with a pretext for ignoring international law on their territory.
Deshalb muss Europa mit den USA selbstbewusst, aber ruhig und vernünftig und partnerschaftlich sprechen.	That is why Europe needs to speak to the USA in a self-assured manner, but calmly and reasonably and in a spirit of partnership.
