Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen!	Mr President, Commissioner, ladies and gentlemen, my thanks go to the rapporteur.
Mein Dank gilt dem Berichterstatter. Der im Ausschuss gefundene Kompromiss ist aus unserer Sicht ein großer Schritt hin zu mehr Verbraucherschutz.	In our view, the compromise that was struck in the committee constitutes a significant step towards greater consumer protection.
Endlich gibt es Rechtssicherheit auch in weiteren Fragen und nicht nur freiwillige Selbstverpflichtungen der Fluggesellschaften.	At long last we have legal security on additional issues and not just voluntary commitments from the airlines.
Außerdem wird die Regelung ja auch auf größere Verspätungen und Annullierungen von Flügen ausgeweitet.	Moreover, the regulation is of course also being extended to cover severe delays and flight cancellations.
Ich war nicht selten Opfer von Annullierungen bei der ehemaligen Sabena.	I was not infrequently the victim of cancellations by the former airline Sabena.
Andere Kollegen haben sicher vergleichbare Erfahrungen mit anderen Airlines.	No doubt other Members have had similar experiences with other airlines.
Nicht zuletzt verdoppeln wir die gegenwärtige Entschädigungshöhe, die dazu differenzierter als bisher in drei Stufen gestaffelt ist.	Last but not least we are doubling the current levels of compensation, which will also be more subtly differentiated than hitherto and divided into three bands.
Am größten ist sicher unser Diskussionsbedarf bei der Höhe der Entschädigungen.	Clearly, the issue that we most need to discuss is the level of compensation.
Das Ziel der Verordnung kann nicht die Abschaffung der Praxis des overbooking sein, sondern ein angemessenerer und verbraucherorientierterer Umgang mit diesem Verfahren.	The objective of the regulation cannot be to abolish the practice of overbooking, but it can be to ensure that this procedure is used in a more reasonable, customer-oriented way.
Natürlich kann man das overbooking auch abschaffen, wie das die low cost carrier tun, wenn andererseits das Umbuchen von Flügen aufgehoben würde und ein Flug bei Nichtantritt automatisch verfiele.	Of course, we could also eliminate overbooking, as the low-cost carriers have done, if, on the other hand, flights were non-exchangeable and a no-show meant that a flight was automatically forfeited.
Aber das ist weder verbraucherfreundlich noch ökologisch vertretbar.	But this is neither consumer-friendly nor justifiable on environmental grounds.
Die Verbraucher brauchen Flexibilität bei der Reiseplanung und ökologisch machen halbleere Flugzeuge keinen Sinn.	Consumers need flexibility when they are planning their journeys and half-empty planes make no sense at all from an environmental point of view.
Noch evidenter ist die ökonomische Argumentation.	The economic argument is even more persuasive.
Eine Erhöhung der Flugpreise wäre bei einem Streichen des overbooking zwangsläufig und kann weder den Verbrauchern noch den Fluggesellschaften, und zwar im internationalen Wettbewerb, zugemutet werden.	If overbooking were abolished, air prices would inevitably rise and we cannot expect either consumers to put up with this or indeed the airlines, which are up against international competition.
Aus unserer Sicht können wir den im Ausschuss gefundenen Kompromiss bei der Höhe der Entschädigung auch deshalb mittragen, weil es für die Verbraucher wichtig ist, dass sie diese verbesserte und verbindliche Regelung möglichst schnell bekommen und nicht Jahre auf sie warten müssen, weil die Gesetzgebung, wie so oft, beim Rat liegen bleibt.	A further reason why we can support the compromise struck in the committee on compensation levels is because we think it is important for consumers to benefit from these improved and binding rules as quickly as possible and not have to wait for them for years because the legislation is, as is so often the case, still sitting in the Council.
Aus Verbrauchersicht stimmt meine Fraktion gegen einen Teil des Änderungsantrags 29, weil wir eine Entschädigung für die Annullierung von Flügen erst ab 48 Stunden vor dem Abflug für unangemessen halten.	In the interests of consumers, my group will be voting against part of Amendment No 29, because we think that compensation only for flights that are cancelled up to 48 hours before departure is unreasonable.
Hier sind mindestens zwei Wochen erforderlich, die mit Rat und Kommission nachverhandelt werden sollten.	At least two weeks is required here and this should be negotiated afterwards with the Council and the Commission.
Außerdem halten wir die Einbeziehung der Pauschalreisen im Kommissionsvorschlag für nicht erforderlich, weil sie durch die Pauschalreiserichtlinie abgedeckt sind.	In addition, we think that the inclusion of package tours in the Commission proposal is unnecessary, because they are covered by the directive on package tourism.
Es ist ein starkes Votum für den Verbraucher, dass der Ausschuss für Regionalpolitik, Verkehr und Fremdenverkehr für die Einführung eines Rankings der Benutzerfreundlichkeit unter den Fluggesellschaften plädiert hat.	The fact that the Committee on Regional Policy, Transport and Tourism has advocated the introduction of a scheme to rank airlines by user-friendliness is a strong vote in favour of the consumer.
Ein solches Ranking, wie es in den USA gang und gäbe ist, kann einen Qualitätswettbewerb zwischen den Fluggesellschaften um den verbraucherfreundlichsten Gesamtservice mitverstärken helfen.	A ranking system of this kind, as is quite usual in the USA, can help to stimulate competition between the airlines on quality and on which provides the most consumer-friendly overall service.
Ich hoffe, dieser Vorschlag hat auch im Plenum Bestand.	I hope that this proposal is also upheld in the plenary.
Vor dem Hintergrund der jetzigen Situation stellt der Bericht einen energischen Schritt in Richtung auf mehr Verbraucherfreundlichkeit dar.	Against the background of the current situation, this report represents a determined step towards greater consumer-friendliness.
Manche Verbraucherträume fliegen zwar weiter, sind aber heillos überbucht.	Many a consumer dream may fly on, but they are hopelessly overbooked.
