Frau Präsidentin, meine sehr geehrten Damen und Herren!	Madam President, ladies and gentlemen.
Zunächst Ihnen, Herr Lage, herzlichen Dank für Ihren Bericht.	First of all, my thanks to you, Mr Lage, for your report.
Es freut mich, dass Sie diesen Vorschlag unterstützen. Er ermöglicht den Fischereifahrzeugen der Gemeinschaft den Zugang zu den angolanischen Gewässern bis zum 2. August 2004.	I am delighted that you support this proposal granting Community vessels access to Angolan waters until 2 August 2004.
Das neue Protokoll ist zum beiderseitigen Nutzen der Gemeinschaft und Angolas. Es enthält einige Neuerungen, die ich hier gerne anführen möchte.	The new protocol is in the mutual interest of the Community and Angola and contains a few new clauses, which I should like to comment on.
Im Sinne einer nachhaltigen Fischerei werden die Bestände in den angolanischen Gewässern jährlich von Wissenschaftlern vor Ort überprüft.	Stocks in Angolan waters will be checked annually by local scientists in the interest of sustainable fisheries.
Grundlage dieser wissenschaftlichen Erkenntnisse bzw. die Folge dieser wissenschaftlichen Erkenntnisse wird sein, dass danach die Fangmöglichkeiten angepasst werden.	As a basis for this scientific knowledge, or should I say as a result of this scientific knowledge, fishing opportunities will be revised in line with it.
36 % der finanziellen Leistungen sind zur Einrichtung einer Partnerschaft zwischen der EU und Angola bestimmt, um die Forschung, die handwerkliche Fischerei, die Ausbildung und die Aquakultur weiter zu entwickeln.	36% of the financial contribution will be used to set up a partnership between the EU and Angola, in order to develop research, artisanal fisheries, training and aquaculture.
Das ist eine deutliche Verbesserung gegenüber den 28 %, die wir für gezielte Aktionen im letzten Protokoll gehabt haben.	This is a net improvement over the 28% earmarked for targeted action in the last protocol.
Außer den Thunfischfängern müssen alle Fischereifahrzeuge sechs angolanische Seeleute an Bord nehmen, statt wie bisher fünf.	Not just tuna vessels but all fishing vessels will have to carry six Angolan fishermen, compared with five previously.
Auf diese Weise werden zusätzlich 160 bis 180 Arbeitsplätze vor Ort geschaffen.	This will create an additional 160 to 180 jobs locally.
Ich möchte noch eine kurze Anmerkung zu den Änderungsvorschlägen machen.	I should like to comment briefly on the proposed amendments.
Hier möchte ich im Wesentlichen auf das verweisen, was ich bereits vorhin zum Protokoll über Senegal gesagt habe.	Basically, the same applies as I said earlier about the protocol with Senegal.
Zur Frage, die Verpflichtung der Mitgliedstaaten nach der Verordnung 500/2001 aufzunehmen, nämlich dass die Schiffe ihre Fänge in Drittstaaten deklarieren müssen - das ist nicht möglich.	On the question of including the Member States' obligation under Regulation 500/2001, with ships declaring their catches in third countries, this is not possible.
Ich bin aber gerne bereit, diese Verpflichtung in ein neues Abkommen mit hineinzunehmen, denn das ist etwas, was verhandelt werden muss.	But I am more than willing to include this obligation in any new agreement, because this is something that needs to be negotiated.
