Frau Präsidentin, Frau Kommissarin, werte Kolleginnen und Kollegen!	Madam President, Commissioner, ladies and gentlemen.
Das Europäische Parlament hat sehr konzentriert an diesem Vorschlag der Kommission gearbeitet, sehr konzentriert und sehr einvernehmlich.	Parliament has worked on this Commission proposal in a very focused manner, in a very focused and very concerted manner.
Wir waren schnell, wir haben uns über Ausschuss- und Fraktionsgrenzen hinweg auf eine wie ich meine gute Stellungnahme unter der Federführung des Kollegen Karas verständigt.	We were quick and we agreed across the committee and party political divide, under Mr Karas's guidance, on what I think is a good position.
Aber genau das, dass wir schnell und einvernehmlich gearbeitet haben, ermöglicht uns auch, dass wir klare Anforderungen an das Profil der politischen Koordination formulieren, die hier vorgenommen werden muss.	And because we have worked in such a quick and concerted manner, we can formulate clear demands on exactly what sort of coordination is required.
Erstens, es gibt keinen Moment, keine Sekunde, keine Minute für Niemanden, eine irgendwie geartete Legitimation, die sozialen Ziele von Lissabon, den beschäftigungspolitischen Ehrgeiz der Lissabon-Agenda einer eindimensionalen Interpretation des Binnenmarktes unterzuordnen.	First, at no time, not for a minute, not for a second, does anyone have any authority whatsoever to subordinate the social goals of Lisbon, the employment policy ambitions of the Lisbon agenda, to a one-dimensional interpretation of the internal market.
Dies muss sehr klar sein, und es muss sich in den Verfahren ausdrücken, die wir wählen.	This must be crystal clear and must be expressed in the procedures we choose.
Im Gegenteil, nur wer konkrete Schritte zur sozialen Integration ergreift, nur wer das volle Potenzial der Menschen in Europa entwickelt und in Arbeit bringt, hat eine Chance, Lissabons anspruchsvolle Agenda zu verwirklichen.	On the contrary, only if you take specific measures to promote social integration, only if you develop the full potential of people in Europe and get them into work, will you have any chance of putting Lisbon's demanding agenda into practice.
Ich sage das ganz bewusst in die aktuelle Diskussion über die Arbeitsmarktreform und über die Reform der sozialen Sicherungssysteme hinein.	I say that quite advisedly in the present debate on job market reforms and the reform of social security systems.
Natürlich brauchen wir flexible, anpassungsfähige Systeme, aber wir brauchen auch moderne Systeme.	Of course we need systems to be flexible and adaptable, but we also need them to be modern.
Modern sind sie dann, wenn sie auch Sicherheit bieten, Sicherheit bei der Arbeitssuche, Sicherheit in der Arbeit, Sicherheit im Falle von Krankheit, Alter oder von Invalidität.	And a modern system is a system that offers security, security for job seekers, job security, security in the event of illness, old age or disability.
Deswegen ist Wirtschaftsreform ein Mittel, das europäische Sozialmodell zu erhalten und zu erneuern, nicht umgekehrt.	That is why economic reform is a means to an end when it comes to maintaining and renewing the European social model, not the other way round.
Wer das will, der muss die Ziele von Wettbewerbsfähigkeit, von sozialer Sicherung und Vollbeschäftigung auf gleichem Niveau ansiedeln.	If this is what we want, we have to put the objectives of competitiveness, social security and full employment on a par with each other.
Er muss Wege finden, diese Ziele aufeinander zu beziehen und sich wechselseitig unterstützen zu lassen.	We have to find ways of linking these goals and making them mutually supportive.
Wer das will, der muss auch dafür sorgen, dass die einschlägigen Ratsformationen und Abteilungen der Kommission hier gleichrangig beteiligt werden und nicht etwa neue Hierarchien geschaffen werden oder alte Hierarchien bestätigt werden.	And if that is what we want, we must also make sure that the relevant Councils and Commission departments are involved on an equal footing and that no new hierarchies are created or old hierarchies reaffirmed.
Wir werden Sie in Ihrem Frühjahrsbericht, wir werden Sie in Ihren guideline package daran messen, ob Sie diese Ziele erfüllen und ob Sie dem gerecht werden, was das streamlining-Konzept verspricht.	We shall be measuring you in your spring report, in your guideline package, on the basis of whether you meet these targets and do justice to what the streamlining concept promises.
Zweitens, wer Lissabon und Göteborg gerecht werden will, der darf auf die Umweltdimension nicht länger verzichten.	Secondly, if we want to do justice to Lisbon and Gothenburg, we must stop beating about the environmental bush.
Wir müssen das volle Potenzial der Umweltpolitik nutzen, um sie für Qualifizierung und Beschäftigung nutzbar zu machen.	We must use the full potential of environmental policy in order to make it work for qualifications and employment.
Drittens, Herr Karas erinnert zu Recht in seinem Bericht daran, dass Wirtschaftspolitik eine Angelegenheit des gemeinsamen Interesses ist, die koordiniert gehört.	Thirdly, as Mr Karas quite rightly points out in his report, economic policy is a matter of common interest which deserves to be coordinated.
Wenn wir das koordinieren wollen, dann müssen wir auch den Mut haben, über Investitionen zu sprechen und über eine Offensive in diesem Bereich angesichts von rund 8 % Arbeitslosigkeit und einer Wachstumsrate von unter 1 %.	If we want to coordinate it, then we also need to pluck up the courage to talk about investments and about an offensive in this area in the face of around 8% unemployment and a growth rate of under 1%.
Das Europäische Parlament wird sich an dieser Diskussion beteiligen, und wir müssen unsere rechtliche Position hierbei sichern.	Parliament will be involved in this discussion and we must secure our rightful place in it.
