Herr Präsident, spät kommt sie, die Kommission, aber sie komm!	Mr President, it is a case of better late than never as far as the Commission is concerned!
In der bisherigen Integrationsgeschichte Europas gab es kaum eine große Etappe, an deren Beginn nicht eine Vision der Kommission stand und ein großes Konzept und ein Weißbuch.	There has been virtually no major stage in the history of European integration so far that did not begin with a vision on the part of the Commission, underpinned by a major plan and a White Paper.
Dieser Verfassungsprozess ist eigentlich der erste große Schritt, wo die Kommission mit großer Bedachtsamkeit hinterher hinkt und ihre Vorstellung eher in einer Reaktion auf das bisher Geschehene besteht als in einer wegweisenden Rolle.	This constitutional process is in fact the first major step where the Commission has lagged cautiously behind and has, if anything, been reactive instead of leading the way.
Ich will trotzdem diesen Beitrag, Herr Präsident Prodi, begrüßen.	I nevertheless welcome what President Prodi has said.
Er greift die bisherigen Ergebnisse des Konvents auf, er stellt sich in einigen Streitfragen auf die richtige Seite, wenn man das aus diesem Haus sagen kann, auch auf die Seite des Europäischen Parlaments, insbesondere auf die Seite eines gemeinschaftlichen Europas, gegen ein reines Regierungseuropa, und er macht eine Reihe von klugen Vorschlägen.	He has summarised the results of the Convention so far, and he has come down on the side of the angels on some contentious issues - by which, if I may be so bold, I mean on the side of the European Parliament - and in particular he has come down on the side of a Community Europe, and against an intergovernmental Europe, and he has presented a whole raft of intelligent proposals.
Ich war auch nicht in der Lage, dieses Papier in der Geschwindigkeit unseres Freundes Andrew Duff zu lesen. Ich kann mich nur auf wenige Anmerkungen beschränken.	I too have been unable to read this document as quickly as our friend Andrew Duff has, so I can only make a few limited comments.
Eines sollte auch gesagt werden: Funken schlägt es keine, dieses Papier!	One thing needs to be said about this paper - it does not make any sparks fly!
Funken der Begeisterung schlägt es nicht. Große Bilder zeichnet es nicht.	It does not generate any great enthusiasm or paint any broad canvases.
Es versucht nicht, die Öffentlichkeit, die Bürgerinnen und Bürger Europas in diesem doch sehr heftigen Kampf auch um die Macht zu gewinnen.	It does not attempt to involve the public, the citizens of Europe, in this mighty battle for power.
Es ist ein sehr vorsichtiges, vielleicht auch technokratisches, sicher kluges, aber manchmal auch schlaues Papier.	It is a very cautious, perhaps technocratic and certainly intelligent, and sometimes even clever paper.
Ja, Sie stellen sich auf die Seite der Gemeinschaftsmethode, aber es wären da auch die Ideen der Einheit Europas größer zu zeichnen.	Yes, you have come down in favour of the Community method, but in that case you should also have presented a bolder picture of European unity.
Es gibt große Aufgaben und große Horizonte dieser europäischen Integration, die ich in diesem Bild nicht finde.	There are major tasks and important horizons involved in this process of European integration, but you have not presented them here.
Die soziale Dimension, die vielleicht entscheidende Frage des Scheiterns dieses Konvents - neben der europäischen Demokratie - ist kaum angesprochen.	The social dimension, which is may be the main issue on which the Convention will founder, scarcely gets a mention. The same applies to European democracy.
In diesem Papier ist z. B. vom 'Text konstitutioneller Natur' die Rede, nicht von einer Verfassung.	This paper talks, for example, about a 'constitutional text' rather than about a constitution as such.
Ja, Sie sind für die Abschaffung der Einstimmigkeit, aber bei den Änderungen der Kommissionsvorschläge soll sie dann doch bleiben.	Yes, you are in favour of scrapping the unanimity rule, but it is nevertheless to be retained when it comes to modifying Commission proposals. Unity and democracy are all very well, but being given power is a little more important.
Einheit und Demokratie: ja, aber der Machterhalt ist noch ein bisschen wichtiger; Grundrechtecharta: ja, aber den Zugang zum Europäischen Gerichtshof, der über den Wert der Grundrechte entscheidet, finde ich nicht.	As regards the Charter of Fundamental Rights, I cannot find any reference here to access to the European Court of Justice, which rules on fundamental rights. The role of Parliament is to be enhanced, but the right of initiative remains exclusively that of the Commission.
Aufwertung des Parlaments: ja, aber das Initiativrecht bleibt exklusiv; Wahl des Kommissionspräsidenten durch das Parlament: ja, aber doppelte Rechenschaftspflicht auch zum Rat; eine sehr unklare Verantwortlichkeit der Kommission, die weite Spielräume eröffnet, weniger den Bürgern als der Taktik der Kommission.	Parliament is to elect the President of the Commission, but the President is also to be accountable to the Council. And the responsibility of the Commission is far from clear, with the Commission being given greater scope for tactical manoeuvring, while the public is to gain relatively little.
Ich will das nicht zu kritisch werden lassen.	I do not want to allow this to become too much of a critique.
Es ist ein Vorschlag, der die Kommission auch zum Alliierten des Parlaments macht, aber ich hätte mir mehr Entschlossenheit gewünscht, sich den eigentlichen großen Aufgaben zu stellen und mit einigen Visionen zu antworten, gerade in der Frage der Antwort Europas auf die Gefahren der Globalisierung, auf die unerhörte intellektuelle und politische Herausforderung, eine supranationale Demokratie zu entwickeln, die Gewaltenteilung ernst zu nehmen, die Absage an ein Regierungseuropa ernst zu nehmen, die Öffentlichkeit der Gesetzgebung, den Zugang der Bürger zu allen Unterlagen.	This is a proposal that also makes the Commission Parliament's ally, but I would have liked to have seen more determination to tackle the really important tasks and to respond with a sense of vision, particularly as regards Europe's response to the dangers of globalisation, to the unprecedented intellectual and political challenge of developing a supranational democracy, of taking the separation of powers seriously, of taking the rejection of an intergovernmental Europe seriously, and of making the legislative process more open and giving the public access to all documentation.
Ich hoffe, wir können die Kommission noch bewegen, nicht nur unser vorsichtiger Alliierter zu sein, sondern unser Verbündeter für neue Horizonte der europäischen Integration.	I hope that we can still persuade the Commission not to be merely cautious in making common cause with us, but also to be our ally as regards new horizons in European integration.
