Frau Präsidentin, Herr Kommissar! Es gibt zwei Bereiche, die uns Sorge machen.	Madam President, Commissioner, there are two areas that give us cause for concern.
Einmal ist das selbstverständlich die Gesundheit der Verbraucher, aber zum anderen auch die Situation der Produzenten hier, wenn wir nicht sicherstellen können, dass das, was hier nicht angewandt werden darf, im Ausland auch nicht angewandt wird.	The health of consumers is, of course, one of them, but there is also the position of producers here if we are not able to ensure that what may not be used here, may not be used outside the EU either.
Da stellt sich die Frage: Wer produziert denn diese Stoffe, und wie können sie in die Europäische Union gelangen?	The question is, who produces these substances and how can they get into the European Union?
Nun haben Sie gesagt, es wird stark kontrolliert, aber Auslandsreisen sind nicht notwendig - wenn ich das richtig verstanden habe -, weil wir dort sowieso schlechte Bedingungen antreffen.	You have now said there are intensive controls, but - if I understood that correctly - foreign missions are unnecessary because we find bad conditions there anyway.
Also brauchen wir gar nicht hinfahren.	So we do not need to go there.
Ich habe gehört, dass heute in der Sitzung des Ständigen Ausschusses eigentlich erörtert werden sollte, dass Thailand wieder aus der Liste der Länder, die besonders geprüft werden müssen, herausgenommen werden soll.	I have heard that today's meeting of the Standing Committee was to have discussed removing Thailand again from the list of countries that must be subject to special inspections.
Was ist denn die Grundlage für diese Entscheidung?	On what basis was that decision to be taken?
Ich habe auch gehört, dass Sie im nächsten Jahr Inspektionsreisen in diese Länder angekündigt haben.	I have also heard that you have announced inspection missions to those countries for next year.
Was gibt Ihnen denn jetzt Anlass, davon auszugehen, dass sich diese Reisen lohnen würden?	What reason do you now have to assume that those missions will be worthwhile?
Ich meine, dass diese Länder - wenn sie denn unseren Anforderungen nicht nachkommen - auf die Liste gesetzt werden müssen, und dann dürfen sie eben nicht liefern, bis sie sicherstellen können, dass sie Produkte in die Europäische Union liefern, die unserem Standard entsprechen.	I think that, if these countries do not meet our requirements, they should be put on the list, and then they cannot supply us until they can guarantee that the products they supply to the European Union meet our standards.
Noch ein Problem ist nicht geklärt: Was passiert denn mit diesen Garnelen, mit diesem Hühner- oder Putenfleisch, das in die Union eingeführt wird und unseren Anforderungen nicht entspricht?	There is another problem that needs to be clarified. What happens to the shrimps, poultry meat and turkey that is imported into the Union and does not meet our requirements?
Wird es zurückgeschickt?	Is it sent back?
Wo bleibt das Zeug?	What is done with it?
Ein Verbot - das haben wir schon einmal lange bei Speiseresten diskutiert - reicht ja nicht hin.	As we have been saying about food waste for a long time, a ban is not enough.
Das haben wir bei den Garnelen aus China gesehen, die dann irgendwo im Futter gelandet sind und dann wiederum über diesen Weg in die Nahrungskette gelangt sind.	We saw that with the shrimps from China, which somewhere found their way into animal feed and by that route got into the food chain again.
Also, was ich gerne möchte, ist, dass Sie da eine klare Konzeption vorlegen, und dass wir, die wir uns als Parlamentarier - auch für die Kommission - rechtfertigen müssen, an ihrer Seite sagen können, die Kommission, die Europäische Union ist hier ausreichend streng.	What I would therefore like is for you to put forward a clear plan that we, who have to justify ourselves as parliamentarians - including to the Commission - can stand by and say that the Commission, the European Union, is being strict enough here.
Denn es darf sich nicht bewahrheiten, dass Sie sagen, die Kommission geht auf Handelsbeziehungen ein und ist bei einigen Ländern weniger streng. Daran sind jedoch in der letzten Zeit Zweifel aufgekommen.	We cannot have it perceived to be true that you say the Commission enters into trade relations with some countries and is less strict with them, even though doubts have arisen about that recently.
Ich hoffe, dass Sie dieses in Ihrer Antwort ausräumen können.	I hope you will be able to clear this up in your reply.
