Herr Präsident, zunächst Ihnen allen hier im Haus ein schönes neues Jahr!	Mr President, first of all, I would like to wish everyone here in the House a happy new year!
Zweitens, Herr Kommissar, mir haben Ihre konstruktiven Anmerkungen soeben, verschiedene Studien, Verfahren und Vorgehensweisen betreffend, sehr gefallen.	Secondly, Commissioner, I was very pleased to hear your constructive comments with regard to various studies, procedures and approaches.
Es gibt also doch noch positive Bewegungen im Fischereisektor.	It seems there are still positive movements in the fisheries sector after all.
Seit 30 Jahren will es uns nicht gelingen, die Überfischung wirklich einzudämmen.	For 30 years, we have failed to curb overfishing in any real way.
Nachfrage, lokale Arbeitssituation, Sektorinteressen, wissenschaftliche Beweise und nationale Interessen haben sich als unversöhnlich erwiesen.	Demand, the local employment situation, sectoral interests, scientific evidence and national interests have proved to be irreconcilable.
Deswegen wurde ja aus der geplanten GFP-Reform, der Reform der gemeinsamen europäischen Fischereipolitik, ja auch nur ein Reförmchen.	Indeed, that is why the planned reform of the common fisheries policy turned out to be so limited in scope.
Die Bestände nehmen weiter ab.	Stocks are continuing to decline.
Deswegen bietet eine auf Nachhaltigkeit ausgerichtete Fischzucht die einzige vernünftige Zukunftsperspektive, die ich zur Zeit sehe.	For this reason, fish farming geared towards sustainability is the only sensible option for the future that I can see at present.
Ich möchte Hugues Martin danken.	I would like to express my thanks to Hugues Martin.
Sein Initiativbericht zur Aquakultur ist ein besonders gutes Beispiel für die aktive Herangehensweise, die die Mitglieder des Fischereiausschusses zeigen, wenn Probleme gelöst werden müssen.	His own-initiative report on aquaculture is a particularly good example of the pro-active approach adopted by members of the Committee on Fisheries when there are problems to be solved.
Die entsprechende Mitteilung der Kommission unterstreicht, wie das Parlament durchaus wichtige Themen anstoßen kann.	The relevant communication from the Commission underlines the fact that Parliament can certainly take the initiative on important issues.
Aquakultur ist zweifellos die Alternative zu perspektivloser Überfischung.	Aquaculture is undoubtedly the alternative to overfishing, which has no future.
Sie hat sich in den vergangenen Jahren, wie wir gehört haben, außerordentlich gut entwickelt und bietet auch in der Europäischen Union zahlreiche Arbeitsplätze.	In recent years, as we have heard, it has developed very positively and has created countless jobs in the European Union as well.
Sie ist zu einem wichtigen Wirtschaftszweig für die Küstenregionen geworden, mit weiterem Potenzial, das es auszuschöpfen gilt.	It has become an important industry in coastal regions, offering further potential, which must be fully exploited.
Aber sie ist kein Allheilmittel.	However, it is not a panacea.
Es lohnt sich, genauer hinzusehen.	It is worth looking more closely.
Die Fischzucht bringt ähnliche Probleme mit sich wie die Intensivtierhaltung auf dem Land.	Fish farming creates similar problems to intensive animal rearing on land.
Abfall, Parasiten, Chemikalien, Futter: das sind nur einige Stichworte.	Waste discharges, parasites, chemicals, fish feed: these are just some of the key words.
Und nur ein Beispiel: Der gesamte jährliche Abfall aus den schottischen Lachsfarmen entspricht dem einer Großstadt.	To cite only one example, the total annual discharge of waste from the Scottish fish farms is equivalent to that of a major city.
Ich begrüße die Aktivitäten und den Erfolg der Aquakultur sehr. Aber ich plädiere für eine vernünftige, qualitativ hochwertige und nachhaltige Fischzucht.	I greatly welcome the operations and success of aquaculture, but I call for sensible, high-quality and sustainable fish farming.
Die Ausrichtung auf Quantität zu Tiefstpreisen führt nur zu ökologischen und ökonomischen Fehlentwicklungen.	The focus on quantity at rock-bottom prices merely results in ecological and economic problems.
Dabei wäre es sinnvoller, auf Qualität hinzuwirken- und ich behaupte, auch auf eine Vielfalt der Fischarten, die jede ihre eigene Aufmerksamkeit brauchen, und das kann natürlich auch teuer werden.	It would therefore be more sensible to work towards quality - and, I believe, also towards diversity of fish species, each of which needs specific attention, and that can be expensive, of course.
Mit der geradezu klassischen Abfolge 'rascher Aufschwung ? tiefer Absturz' ist niemandem geholfen, weder den Küsten noch den Verbrauchern.	As the saying goes, the faster you climb, the harder you fall, and that will not benefit anyone, neither the coastal regions nor the consumers.
