Herr Präsident! Es handelt sich bei diesem Thema in der Tat um eine wichtige Angelegenheit.	Mr President, this is indeed an important issue.
Es geht immerhin um die Stabilität und die Entwicklung unserer gemeinsamen Währung, des Euro.	What is at stake, after all, is the stability and development of our single currency, the euro.
Im Augenblick ist die Abstimmungsmodalität in der Europäischen Zentralbank wie folgt: Wir haben zwölf Zentralbankpräsidenten - man könnte auch sagen Gouverneure - plus sechs Zentralbankdirektoren, also insgesamt 18 Stimmen.	At present, the voting modalities in the European Central Bank are as follows: we have twelve central bank presidents - or governors, if you will - plus six central bank directors, making a total of 18 votes.
Das ist ein relativ überschaubares, kleines Gremium.	That is a relatively small and manageable body.
Jeder, der in dem Gremium sitzt, hat Rede- und Stimmrecht.	Every member has full and unrestricted speaking and voting rights.
Nun kommen in der Tat früher oder später andere Länder dazu.	We can assume that sooner or later, other countries will join as well.
Ich hoffe, dass England noch dazu kommt, aber es kommen ja beispielsweise auch von den ost- und mitteleuropäischen Beitrittskandidaten welche dazu, so dass man in der Tat überlegen muss, wie diese Abstimmungsmodalität geändert und auf die neue Dimension angepasst werden soll, wenn vielleicht später 15, 20 oder 25 Länder der Euro-Zone angehören.	I hope that Great Britain will be one of them, but some countries from the Central and Eastern European accession candidates will undoubtedly join too, which means that it is essential to consider how these voting modalities can be amended and adjusted to the new dimension, given that in future, some 15, 20 or 25 countries may be part of the euro-zone.
Man hat nun seitens des Rates gebeten, dass die EZB selber einen Vorschlag ausarbeitet.	The Council has now asked the ECB to draw up its own proposal on this issue.
Unter dem Druck der Zeit wurde jetzt ein Vorschlag ausgearbeitet, der wirklich nicht akzeptabel ist.	Under pressure of time, a proposal has been drafted which really is not acceptable.
Wenn ich nur wenige Beispiele nennen darf: Es sind jetzt z.B. drei Gruppen von Ländern gebildet worden. Dabei ist sehr schwer zu erklären, warum welches Land in welcher Gruppe ist.	Let me cite just a few examples: it proposes forming three groups of countries, although it is very difficult to explain why any country is in a specific group.
Man könnte es schon, aber man braucht dazu ungefähr zehn Minuten.	I could do so, but it would take about ten minutes.
Dieses System ist natürlich überhaupt nicht transparent, denn dann soll eine Rotation eingeführt werden.	Of course, this system is not remotely transparent, especially since a rotation system would then be introduced.
So soll z.B. die sogenannte erste Gruppe der großen Länder an 20% der Abstimmungen nicht teilnehmen, aber an 80% der Abstimmungen teilnehmen.	This means that the first group comprising the 'biggest' countries would not take part in 20% of the votes, but would take part in 80% of votes.
In den anderen Gruppen kann es durchaus sein, dass ein Land, also ein Notenbankgouverneur, an bis zu 40% der Abstimmungen überhaupt nicht teilnimmt.	In the other groups, it is entirely possible that a country, that is to say, a central bank governor, would not participate in as many as 40% of votes.
In der Praxis könnte dies bedeuten, dass ein großes Land der ersten Gruppe genau nachschaut, wann es nicht abstimmungsberechtigt ist, und dann versucht, die Tagesordnung so zu beeinflussen, dass wichtige Tagesordnungspunkte nicht dann auf der Tagesordnung stehen, wenn es nicht stimmberechtigt ist.	In practice, this could mean that a large country belonging to the first group would look precisely at when it is not entitled to vote, in a bid to influence the agenda and ensure that important items are excluded from the agenda when it has no right to vote.
Das heißt, es gibt eine riesige Diskussion über die Agenda, und obendrein steht drin, die Details dieser Rotation sollen eigens vom Zentralbankrat noch festgelegt werden.	This will mean that there will be massive debates about the agenda. What is more, the details of this rotation system still have to be hammered out by the Central Bank's Governing Council.
Man kann sich vorstellen, dass ein Land, das nicht abstimmen darf, sich um so mehr bemühen wird, in der Diskussion durch langes Reden das Abstimmungsverhalten zu beeinflussen.	As we can imagine, it is quite likely that a country which is not entitled to vote will make even greater efforts to influence the voting behaviour by delivering lengthy speeches during the debate.
Nun sagt der Wirtschaftsausschuss - wie ich meine, völlig zu Recht -, dass dieses Modell für ein so wichtiges Gremium wie der Zentralrat nicht funktionsfähig, nicht transparent und nicht effizient ist.	The Committee on Economic and Monetary Affairs - quite rightly, in my view - has now said that this model is not functional, transparent or efficient for such an important body as the Governing Council.
Wir haben uns die Mühe gemacht, auch mit Wissenschaftlern aus Frankreich, Deutschland und England zu sprechen, weil wir der Meinung sind, hier sollte auch die Wissenschaft einen Input leisten.	We have also taken the trouble to speak with academics from France, Germany and Great Britain because we believe that the academic sector should have an input here as well.
Am letzten Montag um 19.15 Uhr hat der Wirtschaftsausschuss in der Tat meinen Vorschlag akzeptiert, der, ohne dass wir das vorher besprochen haben, auch von vielen anderen Gremien und Parteien unseres Hauses mitgetragen wird.	Last Monday, at 7.15 p.m., the Committee on Economic and Monetary Affairs accepted my proposal which - without any prior discussion on our part - is also endorsed by many other bodies and parties in this House.
Wir sagen: Wir sind nicht so unter Zeitdruck!	We say this: we are not under any real pressure of time!
Wir sagen: Konvent, Regierungskonferenz, macht einen neuen, besseren Vorschlag.	We say this: Let the Convention and the Intergovernmental Conference, put forward a new and better proposal.
Es ist frühestens 2006, wahrscheinlich erst 2008, also in vier Jahren erst zu erwarten, dass ein Mitgliedstaat der Beitrittskandidaten aufgenommen wird.	It will be 2006 at the earliest, and most probably 2008 - in other words, four years - before any of the new Member States joins the euro.
Also arbeitet einen neuen, transparenten und übersichtlichen Vorschlag aus.	So take time to work out a new, transparent and viable proposal!
Wir haben dazu zwei Ideen geliefert.	We have presented two options in this context.
