Herr Präsident! Frau Abgeordnete, Sie haben mich offenbar nicht richtig verstanden.	Mr President, Mrs Van Lancker, you have clearly misunderstood me.
Jedenfalls haben Sie jetzt in Ihrer Zusatzfrage nicht das wiedergegeben, was ich gesagt habe.	At any rate your supplementary question does not reflect what I said.
Ich habe nicht gesagt, dass die slowakische Regierung die Vorwürfe als unwahr zurückweist.	I did not say that the Slovak Government had dismissed the accusations as untrue.
Ich habe nur gesagt, dass die slowakische Regierung Wert darauf legt, dass es keine staatliche Praxis dieser Art gibt, dass der Staat diese Praktiken nicht duldet, und dass die Vorwürfe, die Sie und andere erheben, von den zuständigen Behörden mit aller Genauigkeit untersucht werden.	I simply said that the Slovak Government stressed that there was no state-sponsored practice of this kind, that the state did not tolerate these practices and that the accusations that you and others are making were the subject of a meticulous investigation by the competent authorities.
Wenn die slowakische Regierung sagen würde, dass an diesen Vorwürfen nichts dran ist, bräuchte sie ja auch keine Untersuchung anzuordnen.	If the Slovak Government were to say that there was no truth in these accusations then it would not need to order an investigation.
Ich bitte darum, nicht allzu schnell zu sein mit der Verurteilung eines anderen Landes.	I would ask you not to be too quick to condemn another country.
Für mich gibt es bisher keinen Beweis dafür, dass es sich hier um eine systematische staatliche Praxis handelt, sondern der Verdacht, der sich mir aufdrängt, ist der, dass es sich um Missbrauch - allerdings schwersten Missbrauch - in einzelnen Fällen handelt.	So far, in my opinion, there is no proof that this is a systematic state practice. Instead the suspicion that is uppermost in my mind is that what we have here are individual cases of abuse, admittedly of the gravest kind.
Ich muss Sie auch darauf aufmerksam machen, dass die Kommission in den Ländern, die uns beitreten werden, keine Regierungsgewalt ausübt.	I must draw your attention to the fact that the Commission does not have any executive power in the countries that will be joining us.
Es ist also absolut ausgeschlossen, dass wir eine strafrechtliche Untersuchung oder eine kriminalistische Untersuchung in einem künftigen Mitgliedstaat vornehmen, genauso wenig, wie wir das in einem Mitgliedstaat können.	It is therefore completely out of the question for us to undertake a criminal or criminological investigation in a future Member State, just as we would be unable to do so in a current Member State.
Was wir tun können, haben wir getan, um unseren politischen Einfluss zu nutzen und um die Regierung der slowakischen Republik auf die Dringlichkeit dieser Frage aufmerksam zu machen und sie aufzufordern, dieser Frage mit allem Nachdruck nachzugehen.	We have done what we can to use our political influence to make the Government of the Slovak Republic aware of the urgency of this matter and to ask it to carry out a thorough investigation.
Ich muss schon darauf bestehen, hier festzustellen, dass die slowakische Regierung sofort geantwortet und ohne Zögern alle unsere Wünsche erfüllt hat.	I really must insist on stating here that the Slovak Government responded immediately and has complied with all of our requests without hesitation.
