Herr Präsident! Bewunderung für Othmar Karas.	Mr President, Mr Karas deserves our admiration.
García-Margallo y Marfil hat gesagt, er habe einen Stierkampf gewonnen. Ich zürne meinem spanischen Kollegen, ich mag keine Stierkämpfe, und außerdem hat er als erster und einziger von der Vergreisung der Gesellschaft gesprochen.	My Spanish colleague Mr García-Margallo y Marfil talked in terms of Mr Karas's winning a bullfight, and that makes me angry with him, as I do not like bullfights. Moreover, he was the first and only MEP to talk about the greying of the population.
Hätte er mir gesagt, dass ich eine alte Dame bin - es gibt berühmte Theaterstücke, die sprechen vom Besuch der alten Dame, die sehr gefährlich ist -, das lasse ich mir gerne sagen, aber nicht, dass ich eine Greisin bin.	If he had told me that I am an old lady - perhaps on the model of the one whose visit proves so dangerous in Dürrenmatt's famous play - I would not have minded one bit. What I am not at all keen on is being called grey.
Was wollen alte Menschen?	What do old people want?
Sicherheit, Unabhängigkeit, Selbständigkeit.	Security, independence and autonomy.
Das alles ist nur sehr schwer im Rahmen einer betrieblichen Altersversorgung zu erreichen, die nur zeitlich begrenzt gegeben wird.	It is just that all this is very difficult to achieve in the framework of occupational retirement provision that is only offered on a time-limited basis.
Auch eine einmalige Zahlung - sei sie noch so großzügig - gibt keine Sicherheit.	Even a one-off payment - however generous it might be - does not provide security.
Eine lebenslange Zahlung wird den Wünschen und damit den Bedürfnissen alter Menschen am ehesten gerecht. Das entspricht doch dem, was wir unter sozialer Sicherheit verstehen.	Lifelong payments do most justice to the wishes and also to the needs of old people, corresponding to what we understand to mean by social security.
Diesen so wichtigen Gedanken verständlich gemacht und in dem Bericht verankert zu haben, ist das Verdienst von Othmar Karas, und dafür möchte ich ihm danken.	It is to Mr Karas's credit that he has clarified this very important idea and embedded it in the report, and I should like to thank him for his efforts.
Wir sind in ganz Europa dabei, die Probleme unserer Gesellschaft, in der die Menschen endlich, endlich länger leben dürfen, zu diskutieren und zu lösen.	Throughout Europe, we are in the process of discussing and solving the problems of a society in which people at long last ought to be living longer.
Die österreichische Bundesregierung - die neue Bundesregierung - hat in einem ganzen Maßnahmenpaket für ältere Arbeitnehmer eine Reihe von Möglichkeiten geschaffen, um älteren Menschen die Möglichkeit zu geben, länger arbeiten zu dürfen - ich sage, zu dürfen!	With a whole package of measures for older employees, the freshly elected Austrian Federal Government has devised a range of options for giving older people the opportunity of being able to work longer. I say 'of being able to', please note.
Lohnnebenkostensenkung für über 58jährige, Qualifikationsoffensive, Altersteilzeit, um nur einiges zu nennen.	A reduction in incidental labour costs for those aged over 58, a push for higher qualifications and the promotion of part-time work for older people are just a few of these measures.
Astrid Lulling wird mir sicher zustimmen, wenn ich sage, dass diese Gesellschaft uns braucht, dass dieses Parlament uns braucht.	Mrs Lulling will certainly agree with me when I say that this society and this Parliament need us.
Wenn man sechs Enkelkinder hat wie ich, kann man diese Gesellschaft nicht mehr nur anderen Leuten überlassen, da muss man sich selbst darum kümmern.	Anyone who, like myself, has six grandchildren can no longer just relinquish this society of ours to other people. We ourselves have to take care of it.
Wir Alten setzen uns ja schließlich nicht mehr für uns selbst ein - wir haben ja unser Einkommen schon -, sondern wir setzen uns für die jungen Damen und Herren ein, denen wir ein noch viel längeres Leben wünschen.	We oldies are not of course in the end fighting for ourselves, since we obviously already have an income. Rather, we are fighting for the young men and women whom we wish to see have much longer lives.
Ein Kind, das heute geboren wird, kann 100 Jahre alt werden, und wir wünschen den Jungen ein sehr, sehr langes und möglichst gesichertes Leben.	A child born today may live until the age of a hundred, and we wish him or her an extremely long and, as far as possible, secure life.
