Herr Präsident, liebe Kolleginnen und Kollegen, vielen herzlichen Dank für diesen Empfang!	Mr President, ladies and gentlemen, many thanks for that welcome.
Dem uns vorliegenden Verordnungsentwurf für eine Neufassung des rechtlichen Rahmens der Arbeit von Eurostat, mit der eine bessere Vergleichbarkeit, Zuverlässigkeit und Vollständigkeit des Bruttoinlandsprodukts der Mitgliedstaaten erreicht werden soll, können wir zustimmen.	This draft regulation on the legal framework within which Eurostat operates is intended to improve comparisons of Member States' gross domestic products by making them more complete and more reliable. As such it is one that we can all support.
Aber ich möchte hier doch auf zwei Aspekte aufmerksam machen.	There are, though, two aspects of it to which I would now like to draw attention.
Zum ersten streiten sich Rat und Kommission noch darüber, bis zu welchem Datum dem Eurostat in Luxemburg die Angaben für das Aggregat Bruttonationaleinkommen - das müsst ihr euch jetzt merken, das heißt jetzt nicht mehr Bruttosozialprodukt - übermittelt werden müssen.	The first thing is that the Council and the Commission are still in dispute about the deadline by which data on aggregate gross national income - please take note that it is no longer called the gross domestic product - has to be forwarded to Eurostat in Luxembourg.
Bisher war das der 30. September, die Kommission hatte den 15. September vorgeschlagen, der Rat hat sich schon mehrheitlich für den 22. September entschieden.	This used to be 30 September; the Commission proposed that it should be 15 September, and a majority on the Council had already decided in favour of 22 September.
Das sieht ein wenig nach Teppichhändler-Methode aus.	That seems rather like haggling.
Als Berichterstatterin habe ich mir die Frage gestellt, ob wir uns an diesem Spiel beteiligen sollten. Das haben wir aber bleiben lassen.	As rapporteur, I asked myself whether we should go along with this game, but we decided to leave well alone.
Des weiteren hat die Kommission im Rahmen der Komitologie, einem Thema, das ja verschiedene Kollegen hier brennend interessiert, den Versuch unternommen, den Charakter des früheren Ausschusses zu ändern.	To add to that, the Commission has attempted, by way of comitology - something that certain Members find intensely fascinating - to change the character of the former committee.
Auch an diesem Spielchen beteiligen wir uns nicht.	We are not joining in this charade either.
Ich möchte aber noch auf eine Besonderheit aufmerksam machen: Laut einer Erwägung müssen die BNE-Daten vollständig sein, das heißt, dass sie nicht nur die Daten enthalten müssen, die beim Fiskus oder bei anderen Verwaltungen verfügbar sind, sondern auch die nichtdeklarierten Aktivitäten.	There is, though, another peculiarity to which I would like to draw your attention. One of the recitals states that the GNI data have to be complete, that is to say, they must include not only the data held by the tax authorities or other official bodies, but also those on undeclared activities.
Ich habe mich dann vorwitzigerweise gefragt, wie denn die Mitgliedstaaten solche nichtdeklarierten Aktivitäten, wie zum Beispiel die Prostitution bemessen.	I was then curious enough to ask how the Member States measure such undeclared activities as prostitution, for example.
Es scheint, dass es dafür eine Faustregel gibt.	It appears that there is a rule of thumb for this purpose.
In verschiedenen Mitgliedstaaten ergibt das 1%, so viel wie die Landwirtschaft zum BNE beiträgt. In den zukünftigen Mitgliedstaaten wären es zwei Prozent.	In some Member States, it comes to 1%, equal to agriculture's contribution to the GNI; in the candidate Member States, it is estimated at 2%.
Das verstehe, wer kann.	Work that out if you can.
Es scheint auch, dass verschiedene Mitgliedstaaten sehr zögerlich bei der Schätzung dieser illegalen Aktivitäten wie zum Beispiel auch des Drogenhandels vorgehen, wenn es um die Meldung bei Eurostat geht.	It also appears that various Member States are very wary about estimating such illegal activities as, for example, the trade in drugs, when returns have to be made to Eurostat.
Wieso?	Why is this so?
Man weiß ja, dass ein immer größer werdender Teil der eigenen Ressourcen der EU vom Bruttoinlandsprodukt abhängt.	It is known that an ever-increasing share of the EU's own resources is dependent on the gross domestic product.
Deshalb klotzen natürlich verschiedene Staaten nicht, denn dann müssen sie ja mehr bezahlen.	It therefore follows that some Member States do not give the full figures, as then they would have to pay more.
Andererseits müssen sie dann aber auch kleckern, das heißt, das BNE zu tief einschätzen.	On the other hand, they then also have to pay in dribs and drabs, that is to say, by underestimating their GNI.
Dann hätten sie natürlich Probleme, die Maastricht-Kriterien einzuhalten.	Then, of course, they would have problems complying with the Maastricht criteria.
Ich weiß, der Herr Ratspräsident hat zu lange gesprochen. Aber ich wollte Sie doch informieren, damit Sie wissen, worüber Sie jetzt abstimmen.	I know that the President-in-Office of the Council has spoken for too long, but I wanted to keep you informed, just so that you know what you are about to vote on.
