Herr Präsident, ich bin nicht nur rechts orientiert, sondern ich sitze auch rechts.	Mr President, not only am I Right-wing in orientation, but I also sit on the right.
Herr Präsident, Herr Kommissar, zuerst möchte ich der Berichterstatterin, meiner Kollegin Frau Auroi, für diesen Bericht danken.	Mr President, Commissioner, I would like to start by thanking the rapporteur, my fellow Member Mrs Auroi, for this report.
Ich begrüße den Vorschlag der Kommission, die Dinge zu vereinfachen, zehn Richtlinien über die gemeinschaftlichen Vergleichsprüfungen zusammenzufassen und auch zu straffen.	I welcome the Commission's proposal to simplify matters by drawing together and streamlining ten directives on the Community comparative tests.
Seit 25 Jahren werden in der Gemeinschaft auf der Grundlage einschlägiger Rechtsvorschriften Vergleichsprüfungen von Ackerkulturen durchgeführt.	For twenty-five years, comparative tests on arable crops have been carried out in the Community on the basis of relevant legal provisions.
Dieser Umfang der Prüfungen hat in den letzten Jahren noch wesentlich zugenommen.	The scope of these tests has further increased substantially in recent years.
Dieses System nachträglicher Kontrollen gilt als ein ganz wichtiges Instrument zur Harmonisierung der Vermarktungsbedingungen in den Mitgliedstaaten und ist also auch im Binnemarkt so gewollt.	This system of follow-up controls is seen as a very important instrument to harmonise the marketing conditions in the Member States and is therefore also endorsed in the internal market.
Diese Vergleichprüfungen dürfen aber nicht allein auf die bisher zertifizierten Saat- und Pflanzengutsorten beschränkt werden, die bisher im gemeinsamen Sortenkatalog aufgeführt sind.	These comparative tests must not, however, be restricted to those seed and plant varieties that have so far been certified and listed in the Union's common catalogue.
Saatgut, das für die Nutzung im ökologischen Landbau bestimmt ist, muss aus meiner Sicht auch ganz spezifisch behandelt werden.	There must also, in my view, be a quite specific way of dealing with seed designated for use in organic farming.
Bei dieser Richtlinie dürfen wir aber nicht nur den ökologischen Landbau betrachten, sondern ich denke, wir sollten dabei auch den Blick auf den konventionellen Landbau richten. Von daher möchte ich persönlich die Änderungsanträge von Robert Sturdy unterstützen.	With this Directive, however, we should not only be looking at organic agriculture. I believe we should also be taking a look at conventional farming, and so I personally wish to support Mr Sturdy's amendments.
Ein eindeutiger Schwellenwert für die Verunreinigungen im Saatgut mit GVO muss nach dem jüngsten Stand von Wissenschaft und Forschung und nicht nach ideologischen Gesichtspunkten festgelegt werden.	A clear threshold for GMO traces in seed must be laid down in accordance with the latest scientific knowledge and research, not ideological criteria.
Wenn die Verunreinigungen unterhalb dieses Wertes liegen, so finde ich, muss das Saatgut dennoch in den Verkehr gebracht werden dürfen.	If the traces lie below this threshold, it should still be permissible to place the seed on the market.
Die Anwesenheit von genetisch veränderten Organismen in Saatgut ist doch in den niederen Chargen ganz zufällig und oftmals auch technisch bedingt.	The presence of genetically modified organisms in seed, at least in the lower batches, is generally adventitious and often technically unavoidable.
Es bedarf hier einer tatsächlich möglichen Aufspürbarkeit, um Konsequenzen für das Inverkehrbringen ziehen zu können.	What is required here is genuinely feasible detectability in order to draw conclusions as to whether the seed should be placed on the market.
Wir müssen also mit dieser Richtlinie einen eindeutigen Rechtsrahmen für die gesamte Landwirtschaft - sowohl für die ökologische als auch für die konventionelle - und für die Lebensmittelhersteller schaffen.	With this Directive, we must therefore create a clear legal framework for agriculture as a whole - both for organic and conventional farming - and for food producers.
