Frau Präsidentin, Frau Kommissarin! Ich begrüße diese Diskussion außerordentlich.	Madam President, Commissioner, I welcome this discussion enormously.
Insofern danke ich dem Ausschuss für Beschäftigung und soziale Angelegenheiten, denn ohne diese Initiative von Frau Smet wäre der Ausschuss für Kultur, Jugend, Bildung, Medien und Sport wahrscheinlich überhaupt nicht in die Situation gekommen, dass unsere Anfrage zumindest in diesem Parlament behandelt wird.	I also thank the Committee on Employment and Social Affairs, because had it not been for this initiative on the part of Mrs Smet, the Committee on Culture, Youth, Education, the Media and Sport would probably not be in the situation at all where our enquiry is being debated at least in this Parliament.
Doris Pack hat darauf hingewiesen, dass der Kulturausschuss seit Monaten darauf wartet, dass unsere Fragen - nur die Fragen! - zur Koordination im Bereich Kultur, Bildung, Jugend, Medien und Sport hier überhaupt behandelt werden.	Mrs Pack pointed out that the Committee on Culture has been waiting for months for our questions - just the questions - relating to applying coordination in the field of culture, education, youth, the media and sport to be dealt with here at all.
Das zeigt in aller Deutlichkeit, dass irgend etwas an dem System nicht stimmt.	This makes it abundantly clear that something is not right with the system.
Die Debatte heute Abend ist eine Gelegenheit, die Probleme auf den Tisch zu legen, und ich hoffe, es werden auch Konsequenzen daraus gezogen.	The debate this evening is an opportunity to lay the issues on the table, and I hope that we will also come to some conclusions.
Die Methode der offenen Koordinierung kann sicherlich ein wichtiger Beitrag dazu sein, dass wir die Erwartungen der Bürgerinnen und Bürger erfüllen, zu einem Mehr an Zusammenwirken in wichtigen Politikbereichen zu kommen, in denen wir keine Harmonisierung wollen.	The method of open coordination can certainly make an important contribution to helping us meet the public's expectations, and to improve coordination in important areas of policy where we do not want harmonisation.
Aber dieser Prozess wird aus meiner Erfahrung nicht die Zustimmung der Bürger gewinnen, wenn er kein demokratischer ist.	In my experience, however, this process will not gain public approval if it is not a democratic process.
Und er ist bis heute nicht demokratisch, er ist intergouvernemental.	And to date it has not been democratic; it has been intergovernmental.
Deshalb liegt es an uns, etwas zu unternehmen.	This is why it is up to us to do something about it.
Wenn wir der Meinung sind, dass Effizienz und Demokratie im Widerspruch stehen, dass Flexibilität und verantwortliche Parlamentsbeteiligung im Widerspruch stehen, dass Transparenz und verantwortliche Parlamentsbeteiligung im Widerspruch stehen, dann ist das in der Tat - so finde ich - für uns ein Armutszeugnis.	If we believe efficiency to be contradictory to democracy, or flexibility or transparency contradictory to the responsible involvement of Parliament, then this - in my opinion - is indeed a sad reflection on our own shortcomings.
Deshalb hoffe ich, dass diese Debatte und dieser Bericht dazu beitragen, dass wir in wenigen Wochen nach dem Abschluss des Konvents unsere Hausaufgaben erledigen und als Parlament - vorrangig die beiden betroffenen Ausschüsse - Antworten auf diese Fragen geben.	This is why I hope that this debate and report can help to ensure that we finish our homework within a few weeks after the conclusion of the Convention, and that this House - and especially the two committees concerned - can respond to these questions.
