Herr Präsident! Ich hoffe, dass ich diese fünf Minuten nicht in Anspruch nehme.	Mr President, I hope I will not use up all these five minutes.
Es geht hier bei diesem Immunitätsverfahren um einen Immunitätsaufhebungsantrag der Staatsanwaltschaft in Frankfurt, die auf der Grundlage einer Anzeige eines Landtagsabgeordneten aus dem Hessischen Landtag um Aufhebung der Immunität des Kollegen Cohn-Bendit nachsucht.	This procedure has to do with an application for the waiver of Mr Cohn-Bendit's parliamentary immunity made by the Public Prosecutor's Office in Frankfurt on the basis of charges laid by a member of the Hessen Land parliament.
In dieser Anzeige ist dem Kollegen Cohn-Bendit vorgeworfen worden, Strafvereitelung begangen zu haben, und zwar dadurch, dass er - wie aus Zeitungsmeldungen hervorgehen soll - in einer Zeit, die inzwischen einige Jahrzehnte zurückliegt, Herrn Klein, einem Terroristen, der an dem Wiener OPEC-Attentat beteiligt gewesen sein soll, zusammen mit anderen Hilfestellung bei dessen Flucht in Frankreich geleistet haben soll.	In these charges, Mr Cohn-Bendit is accused of obstructing the course of a prosecution, in that - as stated in newspaper reports - he, together with others, a number of decades ago now, helped a Mr Klein, a terrorist alleged to have taken part in the OPEC attack in Vienna, to flee to France.
Wenn ein solcher Antrag eingeht, würde das Parlament ihm normalerweise stattgeben.	In the normal course of events, Parliament would comply with such a request when it was made.
Es hatte jedoch eine Reihe von Besonderheiten gegeben, die den Rechtsausschuss veranlasst haben, mit diesem Vorgang etwas anders umzugehen.	There were, however, a number of peculiarities, which led the Committee on Legal Affairs and the Internal Market to take a somewhat different approach to this matter.
Einer der Gründe lag darin, dass der ursprüngliche Antrag, der uns vorgelegt wurde, - ich will es einmal ganz offen sagen - relativ dünn gewesen ist, also von seinem Inhalt her nicht allzu viel besagte.	One reason why it did so was that the original application submitted to us was - let me put it frankly - relatively flimsy; that is to say, its substance did not amount to very much.
Das hat dazu geführt, dass unsere damalige Ausschussvorsitzende, Ana Palacio, im Sommer des Jahres 2000 - wenige Wochen, nachdem uns der Antrag vorgelegt worden war - in einem Brief an die deutschen Behörden um weitere detaillierte Auskünfte gebeten hat.	The result of this was that, in the summer of 2000 - only a few weeks after the application was made to us - the then chairman of our committee, Mrs Ana Palacio, wrote a letter to the German authorities asking for further detailed information.
Diese weiteren Auskünfte sind dann nach weiteren zwei Jahren - so lange hat dieser Prozess gedauert - auch von den deutschen Behörden erteilt worden, und die Angelegenheit war damit für unseren Ausschuss entscheidungsreif.	The German authorities supplied this further detailed information after two more years had elapsed - that is how long this process took - and this meant that our committee could then rule on the matter.
Ich selbst hatte als Berichterstatter ursprünglich vorgeschlagen, in diesem konkreten Fall eine Aufhebung unter Bedingungen vorzusehen, wie dies unsere Geschäftsordnung ja auch ermöglicht. Es gibt jedoch eine ganze Reihe von Besonderheiten - ich hatte das vorhin schon gesagt -, die mit diesem Fall einhergehen und die es für die große Mehrheit, für die herrschende Meinung im Ausschuss richtig erscheinen ließen, in diesem konkreten Fall die Immunität nicht aufzuheben.	I myself had, as rapporteur, originally proposed that, in this specific case, a conditional waiver might be considered, as is provided for in our Rules of Procedure, but - as I mentioned earlier - there is a whole array of peculiarities associated with this case, and these meant that the great majority on the committee saw it as right and proper not to waive immunity in this specific case. Such was the prevailing opinion.
Einer der Gründe liegt darin, dass zumindest ein Teil der in Frage stehenden möglichen Aktivitäten des Kollegen Cohn-Bendit damals auf Veranlassung oder mit direkter oder indirekter Beteiligung des deutschen Inlandsgeheimdienstes durchgeführt worden ist; es ist immerhin schon etwas merkwürdig, dass der Geheimdienst an solchen Dingen beteiligt ist, aber auf der anderen Seite die Strafverfolgungsbehörden des gleichen Landes dagegen vorgehen wollen.	One of the reasons for this is that, as regards at least some of the things Mr Cohn-Bendit may have got up to at the time, he did them at the behest of the German internal secret services, or with their direct or indirect involvement; it is in any case quite remarkable that the secret services should involve themselves in such things, while, on the other hand, the law enforcement authorities of the same country seek to take action against them.
Ein weiterer Punkt betraf den durch den Kollegen Cohn-Bendit gegebenen Hinweis, dass offenbar nur gegen ihn ermittelt werden soll und nicht gegen all die anderen, die in diesem Zeitungsartikel auch als mögliche Unterstützer benannt wurden.	Another point was that Mr Cohn-Bendit indicated that it was him alone against whom investigations were in progress, rather than against all the others named in this newspaper article as possible accomplices.
