Herr Präsident! Erlauben Sie mir den Hinweis: Duin wie Duisburg ist die Aussprache.	Mr President, may I point out that it is pronounced Duin, as in Duisburg.
Ich weiß, dass das manchmal etwas schwierig ist, aber ich erlaube mir den Hinweis an dieser Stelle.	I know that it can sometimes be problematic, but I will take the liberty of pointing it out at this stage.
Herr Präsident, Herr Kommissar, meine Damen und Herren, liebe Kolleginnen und Kollegen! Ich möchte mich dem Dank meines Vorredners an die beiden Berichterstatter anschließen.	Mr President, Commissioner, ladies and gentlemen, I should like to echo the words of thanks voiced by previous speakers to the two rapporteurs.
Ich glaube, dass wir in der immer weiter geführten Diskussion jetzt erneut einen guten Schritt voran gekommen sind, insbesondere durch den Bericht des Kollegen Mastorakis.	I believe that we have now taken another major step forward in this ongoing debate, thanks in particular to Mr Mastorakis's report.
Ich möchte beide Berichte in meinem Beitrag miteinander verknüpfen.	I should like to comment on the two reports together.
Es wird auch für die Kommission deutlich, dass das Parlament immer wieder einige Forderungen - auch jetzt in dem Bericht - unterstreicht, und ich gehe davon aus, dass wir hier einen Konsens darin erreichen können, dass wir keine Renationalisierung wollen, dass 75 % des BIP ein guter Maßstab sind und dass 0,45 % des Volumens das Mindestmaß sind, um eine echte europäische Strukturpolitik durchführen zu können.	It will be clear to the Commission too that there are several demands that Parliament repeatedly underlines - including in the report - and I assume that a consensus could be reached here on the following: that we do not want renationalisation; that 75% of GDP is a good yardstick and that 0.45% of GDP is a minimum if we are to be able to implement a viable European structural policy.
Ich möchte jetzt etwas zu den offenen Punkten sagen, die auch in den Berichten eine Rolle spielen.	I should now like to say something on the outstanding points, which are also mentioned in the reports.
Viele glauben, dass ein wie auch immer neu konstruiertes Ziel 2 ihre Probleme lösen könnte.	Many people believe that a new Objective 2, whatever it looked like, could solve their problems.
Wir müssen ehrlicher sein und können nicht jeder Region sagen: Ihr werdet dann auch in ein irgendwie neu gestaltetes Ziel 2 hineinkommen.	We have to be more honest and cannot say to each region: you will also get in under Objective 2, once it is restructured in some way.
Deshalb wollen wir - und das kommt in den Berichten auch zum Ausdruck - verschiedene Vorschläge machen.	That is why we wish to make various proposals, and these are also reflected in the reports.
Erstens für die Regionen, die unter dem statistischen Effekt leiden werden, die jetzigen Ziel-1-Regionen.	The first concerns the regions that will suffer from the statistical effect, the current Objective 1 regions.
Für diese müssen wir ein Programm - nennen wir es 1b-Programm - mit großzügiger finanzieller Ausstattung auflegen, aber vor allem auch - das ist den Regionen sehr wichtig, und das müssen wir beachten - mit einem vergleichbaren rechtlichen Rahmen (mit Artikel 87), der ihnen die Möglichkeit gibt, Beihilfen so einzusetzen, wie es für die Regionen notwendig ist.	For these, we need to launch a new programme - let us call it a 1b programme - that is generously funded, but above all - this is very important to the regions and we must take it into account - that has a legal framework that is comparable to Article 87, and which will enable them to use the aid to meet their region's specific needs.
Zweitens für die benachteiligten Regionen, die in dem Bericht von Herrn Pomés Ruiz die zentrale Rolle spielen.	The second concerns the disadvantaged regions, which take centre stage in Mr Pomés Ruiz's report.
Hier brauchen wir kein neues Ziel 2, sondern ein ganz spezielles Instrument für diese Regionen, das die speziellen Probleme, die wir ja anerkennen wollen, auch angemessen berücksichtigt.	Here we do not need a new Objective 2, but a very special instrument for these regions, which properly takes into account the special problems that we of course wish to acknowledge.
Wir dürfen dabei nicht alles über einen Kamm scheren.	We should not try to lump everything together here.
Drittens geht es um ein wirkliches Ziel 2 für die Gebiete im Strukturwandel.	The third proposal is for a real Objective 2 for those areas undergoing structural change.
Hier plädiere ich doch sehr dafür, dann dafür zu sorgen, dass die Mitgliedstaaten größtmögliche Freiheit bei der Verwendung dieser Mittel bekommen.	Here I would, however, make a strong plea in favour of ensuring that in this case the Member States are given as much freedom as possible to use the funds as they see fit.
Dieser Dreiklang ist wichtig.	This triad is important.
In dem Bericht Mastorakis in der jetzigen Form kommt das entsprechend zum Ausdruck. Deswegen werden wir ihm natürlich zustimmen.	It is conveyed clearly in the Mastorakis report as it stands, which is why we will of course be voting in favour of it.
Im Bericht Pomés Ruiz sind dafür wohl noch einige Veränderungen notwendig, die wir heute hoffentlich beschließen werden.	A few changes are probably needed to the Pomés Ruiz report to achieve this, and we hope that we will be adopting those today.
