Herr Präsident! Westafrika ist ein Beispiel dafür, wie zerrissen gerade diese Region ist.	Mr President, West Africa provides examples of the extent to which this region is rent asunder.
Auf der einen Seite bestehen dort die besten Chancen für das Entstehen eines regionalen Markts, und einige Staaten dort haben es - für afrikanische Verhältnisse - auf gute Weise geschafft, in den letzten Jahren Fortschritte zu erzielen.	On the one hand, it is where there are the best opportunities for a regional market to grow and develop, and some states have done well by African standards in making progress in recent years.
Auf der anderen Seite gibt es Staaten - Sierra Leone ist ein Beispiel, aber auch Liberia -, wo nicht nur der Staat in eine Krise geraten ist, sondern wo jede Staatlichkeit zu verschwinden droht.	On the other hand, there are states - of which Sierra Leone is one example, and Liberia is another - where not only is the state in crisis, but where every vestige of the rule of law threatens to disappear.
Wir müssen uns überlegen, wie wir uns angesichts dieser Situation verhalten.	We have to consider how we are going to respond in the face of this situation.
Wir müssen uns darüber im Klaren sein, dass Liberia schon einen Geburtsfehler hatte, weil die Nachkommen der aus Amerika zurückgekehrten schwarzen Afrikaner mit den dort ansässigen Ureinwohnern von Anfang an einen heftigen Konflikt hatten und dieser Staat im Inneren niemals zusammengewachsen ist.	We have to be clear in our own minds that Liberia started out with a congenital defect, as the descendants of black African returnees from America were in violent conflict with the indigenous inhabitants from the word go and the state has never been internally united.
Heute kommen heftige Konflikte hinzu, organisierte Kriminalität, mächtige Rohstoffinteressen, und es besteht die Gefahr, dass trotz aller Bemühungen, die derzeit unternommen werden, vielleicht eine gewisse Zeit ohne Krieg erreicht werden kann, das eigentliche Problem, nämlich die Errichtung eines einigermaßen funktionierenden Staatswesens, jedoch nicht angegangen wird.	Today there are also violent conflicts, organised criminality, powerful raw materials interests, and the danger, despite all current efforts and even though some period of time without war can be achieved, that the real problem, the establishment of a constitutional state that functions to some degree, will not actually be tackled.
Mit Truppen allein ist es nicht getan, so wichtig sie auch sind.	Important though troops are, they cannot do it on their own.
Wir brauchen dort so etwas wie einen Staatsaufbau, ein institution building, und dass ein Staat nicht automatisch entsteht, sehen wir in Somalia, wo es seit zehn Jahren überhaupt keine Staatlichkeit gibt.	What the country needs is the establishment of a state, the building of institutions, and the truth that a state does not come into being automatically is demonstrated in Somalia, where there has been no rule of law whatever for the past ten years.
Es ist eine typisch europäische Vorstellung, dass es immer und überall staatliche Ordnungen geben muss, aber auch wir haben nach dem Dreißigjährigen Krieg Jahrzehnte gebraucht, um wieder eine funktionierende staatliche Ordnung zu errichten.	It is a characteristically European conception that well-ordered states must always and everywhere be in place, even though, in the aftermath of the Thirty Years' War, it took us decades to re-establish a functioning state order.
Deshalb sollten wir erstens nicht mit Arroganz an die Sache herangehen und zweitens mit einem gesunden Realismus.	For a start, then, we should not take an arrogant approach to these matters; secondly, we need to apply a certain healthy realism.
Wir müssen zuerst die Gewalttaten stoppen, wir müssen die ärgste Not lindern, aber dann wird ein jahrzehntelanger Prozess beginnen, um dort wieder halbwegs funktionierende politische Institutionen zu errichten.	We must first put a stop to the violence and must alleviate the direst need; then, though, will begin a process, which will last decades, of re-establishing political institutions that work to at least some degree.
Das kann ohne unsere massive Hilfe nicht gelingen. Das kann aber auch ohne den Willen der Bevölkerung zur Selbsthilfe nicht gelingen.	That will not happen without massive help from us, but nor can it be successful unless the people want to help themselves.
Und es kann ohne die Unterstützung der Nachbarn, ohne regionale Zusammenarbeit, ohne Entstehung einer regionalen Gemeinschaft in Westafrika nicht gelingen; allerdings hat das auch zwei Seiten, weil die Staatsgrenzen und die ethnischen Grenzen nicht übereinstimmen und so die Gefahr besteht, dass Nachbarschaftshilfe, wie das auch im Kongo der Fall ist, missbraucht wird, um die jeweiligen verwandten Völker auf der anderen Seite der Grenze innenpolitisch zu stärken und das Gleichgewicht der Nationalitäten durcheinander zu bringen.	It cannot happen without support from the country's neighbours, without regional cooperation, without the establishment of a regional community in West Africa. There are however two sides to this, as the state borders and ethnic boundaries do not coincide, resulting in the danger of aid to neighbourhoods being misused - as it was in the Congo - in order to strengthen the hand of related peoples in internal politics on the other side of the border and to upset the balance of nationalities.
Eine gesunde Mischung zwischen Hilfe von außen, Hilfe zur Selbsthilfe und regionaler Zusammenarbeit ist die einzige Chance für diese krisengeschüttelte Region, um wenigstens mittelfristig wieder auf die Beine zu kommen.	A healthy combination of external help, help aimed at enabling people to help themselves, and regional cooperation offers the only chance for this region, racked by crises, to get back on its feet, at least in the medium term.
