– Herr Präsident! Meine Aufgabe ist relativ einfach.	– Mr President, my task is a relatively simple one.
Beide Berichte der Kollegin Read sind im Ausschuss mit großer Mehrheit angenommen worden, ohne dass wir gravierende Änderungen daran vorgenommen hätten.	The committee adopted both of Mrs Read’s reports by a large majority, without us having to make major changes to them.
Ich kann mich also relativ kurz fassen, Frau Kollegin Read.	This means, Mrs Read, that I can keep my comments relatively brief.
Unsere Fraktion unterstützt uneingeschränkt das Vorhaben der Kommission, das der Ausschuss gebilligt hat, die Obergrenze für Zuschüsse für elektronische transeuropäische Netze von 10 auf 30 % zu erhöhen.	Our group unreservedly endorses the Commission’s intention, which the committee has also approved, namely to increase the upper limit for aid granted for trans-European electronic networks from 10% to 30%.
Zwar wird der Gesamtrahmen nicht größer, so dass weniger Projekte gefördert werden können, aber 10 % sind nach unserer Überzeugung zu wenig gewesen. Deshalb unterstützen wir diesen Antrag, und Sie können mit unserer uneingeschränkten Unterstützung für den ersten Bericht rechnen.	Although the overall framework is no bigger – which means that fewer projects can be supported – we were persuaded that the 10% limit was too low, so we support this motion, and you can rely on our unconditional support for the first report.
Beim zweiten Bericht geht es Ihnen darum, bei europaweiten elektronischen Behördendiensten, die auf alle möglichen Arten genutzt werden können, mehr Flexibilität einzuführen.	In the second report, your concern is to introduce greater flexibility into pan-European Government services, which are capable of being used in every conceivable way.
Dort wollen Sie die Trennung der Kommission in die beiden Bereiche „Projekte von gemeinsamem Interesse“ und „horizontale Maßnahmen“ aufheben und damit die Gesamtmittel in Höhe von 59,1 Millionen Euro für 2005 und 2006 und 89,6 Millionen Euro für 2007 bis 2009 flexibler vergeben.	In it, you express your desire to do away with the Commission’s distinction between ‘projects of common interest’and ‘horizontal measures’, thus allocating resources, totalling EUR 59.1 million for 2005 and 2006, and EUR 89.6 million for the period from 2007 to 2009, in a more flexible way.
Wir unterstützen auch dieses Anliegen, und ich glaube, dass Ihre beiden Berichte – Sie haben ja auch ausführlich die Probleme geschildert – hier eine breite Mehrheit finden werden.	We support you in this concern, too, and I believe that both your reports, in which you describe the problems in great detail, will enjoy the support of a broad majority in this House.
Nun will ich abschließend noch etwas zu den transeuropäischen Netzen insgesamt sagen. Wir haben das Thema der transeuropäischen Netze seit vielen Monaten, seit Jahren auf der Tagesordnung.	I would now like to conclude with an additional observation on the trans-European networks as a whole, a topic that has been on our agenda for many months, indeed for years.
Das Problem bisher war, dass diese großen Projekte im Verkehrsbereich, in der Telekommunikation, in der Energieinfrastruktur, in Forschung und Technologie unter Finanzmangel gelitten haben.	Up to now, the problem has been that these great projects – whether in transport, telecommunications, in the energy infrastructure, in research and technology – have suffered from insufficient financial resources.
So sind die Essener Beschlüsse, die erstmals die transeuropäischen Netze fördern wollten, nur sehr langsam, sehr spärlich und sehr unvollständig verwirklicht worden.	The consequence has been that the implementation of the Essen resolutions, which first sought to promote the trans-European networks, has been very slow, very sparing and very incomplete.
Eine Sachverständigengruppe unter Karel van Miert hat die Verkehrsinfrastruktur zur Jahresmitte untersucht.	A group of experts under Mr Karel van Miert conducted a mid-year study of the transport infrastructure.
Die neue Wachstumsinitiative der Europäischen Kommission, die mit ihren 62 Projekten wohl vom Gipfel abgesegnet werden wird, geht genau in diesen Bereich hinein.	The Commission’s new initiative for growth, the sixty-two projects in which are expected to be signed off by the Summit, deals precisely with this area.
Herr Kommissar – auch wenn wir heute nur über Finanzierung und Haushaltsvolumen diskutieren –, der Ansatz, transeuropäische Netze zu fördern und auszubauen, grenzüberschreitende Initiativen zu ergreifen, ist richtig, um neben der Liberalisierung von Märkten, Europa für die Zukunft fit zu machen und damit dem Ziel von Lissabon ein kleines Stück näher zu kommen.	Even though we are, today, discussing only funding and total budget, I can tell the Commissioner that the approach of promoting and extending trans-European networks is the right one if we want, not only to free up markets, but also to make Europe fit for the future and thereby move a bit closer to achieving the goal we set ourselves at Lisbon.
