– Herr Präsident, meine Damen und Herren! Kambodscha ist leider wahrlich nicht auf einem guten Weg.	Mr President, ladies and gentlemen, Cambodia, I am sorry to say, is certainly not making progress.
Bei den Wahlen hat sich die kambodschanische Bevölkerung mehr der politischen und demokratischen Reife befleißigt, als dies für die politisch tragenden Kräfte in diesem Land gilt.	In the elections the Cambodian population showed greater political and democratic maturity than was demonstrated by the country’s leading political forces.
Es sind im Übrigen, Herr Mann, nicht nur Politiker von Sam-Rainsy, die auf offener Straße erschossen werden, sondern meine Recherchen haben ergeben, dass auch drei Vertreter der Regierungspartei Funcinpec betroffen sind.	And incidentally, Mr Mann, not only politicians from the Sam-Rainsy party are being shot dead in the streets; my research has revealed that three members of the governing Funcinpec party have met with the same fate.
Das heißt also, hier herrschen ziemlich raue Sitten, die sich offensichtlich nicht an den üblichen Spielregeln Regierung-Opposition halten, sondern bedeuten, dass jemand, der missliebig geworden ist, aus welchen Gründen auch immer, massiv bedroht ist.	In other words, rather rough customs prevail, and the normal rules of etiquette for dealings between Government and Opposition are not observed, which means that anyone who has made himself unpopular for whatever reason is in grave danger.
In der Tat ist es so, dass Straflosigkeit weiter dazu auffordert, sich missliebiger Politiker, woher sie auch kommen mögen, zu entledigen, denn die Täter haben nicht mit Konsequenzen zu rechnen.	It is, in fact, the case that impunity continues to act as an incentive to eliminate unpopular politicians, whatever their origins, because the assassins do not have to face the consequence of their actions.
Das Vertrauen der Bevölkerung in die Politik ist zutiefst gestört.	Public trust in politics has been seriously damaged.
Selbst wenn mal ein Täter präsentiert wird, glaubt in der Regel keiner daran, dass es auch der wirkliche Mörder ist.	Even on the odd occasion when a person is charged, nobody normally believes that he is the real murderer.
Von daher hat dies nicht nur enorme Auswirkungen auf die Stimmung im Land, sondern auch die internationale Hilfe ist maßgeblich beeinträchtigt.	As well as having a huge impact on morale in the country, this situation also severely restricts the flow of international aid.
Die Asian Development Bank will ihre Zahlungen nicht wieder aufnehmen, wenn nicht bald ein neues Parlament zusammentritt, das ja eigentlich schon längst gewählt ist, und eine neue Regierung gebildet werden.	The Asian Development Bank does not intend to resume its payments unless the new Parliament, which was, of course, elected some time ago, is convened soon and a new government is formed.
Das ist allerdings auch die Krux, und hier muss Einfluss genommen werden, dass die Verhältnisse geändert werden, denn seinerzeit im Friedensprozess hat die UN festgelegt, dass eine Zweidrittelmehrheit für eine Regierungsbildung und eine Koalition erforderlich ist.	This is actually the crux of the problem, and influence must be exerted to change the situation. At the time of the peace process, the UN specified that a two-thirds majority was required for a party or coalition of parties to form a government.
Das führt dazu, dass heute nicht die Bereitschaft besteht, dies auszufüllen.	Parties are now unwilling to assemble the broad coalitions that would fulfil this requirement.
In Wirklichkeit ist daraus eine Barriere geworden, die ein normales politisches Leben in Kambodscha verhindert.	In practice, it has become a barrier to normal political life in Cambodia.
Hier muss Einfluss genommen werden, dass politische Verhältnisse geschaffen werden, die auch wirklich eine Verbesserung zulassen.	This is where influence must be exerted to create political conditions that are truly conducive to improvement.
In diesem Sinne sollten die Gespräche der geplanten Delegation geführt werden.	This is the spirit in which the planned delegation should conduct its talks.
