– Herr Präsident, Herr Kommissar, meine Damen und Herren! Ich möchte gleich beim Letzten beginnen.	– Mr President, Commissioner, ladies and gentlemen, I would like to start at the end.
Das Europäische Parlament hat beschlossen, die Schaffung eines Rechtsrahmens nach dem Mitentscheidungsverfahren und unter Beachtung des Subsidiaritätsprinzips zu verlangen, wenn die Binnenmarkt- und Wettbewerbsvorschriften umgesetzt werden, und wenn es um die Vereinbarkeit von Wettbewerb und Binnenmarkt mit den Dienstleistungen von allgemeinem Interesse geht.	Parliament has resolved to demand the creation of a legal framework under the codecision procedure and while respecting the principle of subsidiarity in connection with the implementation of the provisions on the internal market and competition and in relation to the compatibility of competition and the internal market with services of general interest.
Wir haben die Kommission aufgefordert, bis spätestens April – wir hören jetzt, dass sie den gesamten Zeitraum ausschöpfen wird – ein Folgedokument vorzulegen, die Lehren aus den Konsultationen zum Grünbuch zu ziehen und ihren Standpunkt zu einem möglichen Rechtsrahmen und der weiteren Vorgehensweise klar festzulegen. Dies ist unsere Position.	We have called upon the Commission to present, by April at the latest – and we now hear that it will take all the time it has been given – a follow-up document, in which it will show what it has learned from the consultations on the Green Paper and make it clear where it stands on the possibility of a legal framework and what it proposes to do next.
Und alles, was dieser Frage des Mitentscheidungsverfahrens, der Subsidiarität und der ausreichenden Berücksichtigung der Dienstleistungen von allgemeinem Interesse widerspricht, kann nicht die Zustimmung dieses Hauses finden.	That is our position where codecision, subsidiarity and adequate provision for services of general interest are concerned, and we will not accept anything to the contrary.
Zweitens: Wir sind nicht nur deshalb so massiv für das Mitentscheidungsverfahren, weil es unseren Einfluss erhöht, sondern weil die Frage der Dienstleistungen von allgemeinem Interesse eine ganz entscheidende Frage der Bürger an die europäische Politik ist, und weil wir alles daran setzen wollen, dass Liberalisierung, Wettbewerb und Binnenmarkt im Bewusststein der Bürger nicht als Widerspruch zu den Dienstleistungen von allgemeinem Interesse und der Versorgungssicherheit missverstanden werden können, sondern dass wir eine Kooperation beider Dinge finden.	Secondly, we are so overwhelmingly in favour of the codecision procedure not only because it increases our influence, but also because services of general interest are a quite crucial issue for the public in terms of European politics, and because we want to do everything we can to prevent the public thinking of liberalisation, competition and the internal market as being in conflict with services of general interest and security of provision, and, instead, to try to get the two to work together.
Wir sagen: Wettbewerb und Liberalisierung und Binnenmarkt schließen sozialen Zusammenhalt nicht aus, sondern sind Voraussetzung und bedürfen ergänzender Maßnahmen.	We affirm that social cohesion is not excluded by competition, liberalisation and the internal market, but is, on the contrary, dependent on them and needs complementary measures.
Daher ist mit dem Umgang mit den Dienstleistungen von allgemeinem Interesse auch das Vertrauen der Bürger in die Wettbewerbs- und Binnenmarktpolitik und in die europäischen Kompetenzen verbunden. Und deshalb wollen wir als Bürgervertreter, als Bürgerparlament, die wir täglich zu diesem Spannungsverhältnis befragt werden, mitentscheiden und mitbestimmen können.	That is why the way we handle services of general interest is closely tied in with public confidence in our policies on competition and the internal market and in Europe’s competences – and that is why we, the public’s representatives in the citizens’ parliament, who have to deal with this permanent antithesis on a daily basis, want to be involved in deciding and determining what is to be done.
Der nächste Punkt: Es ist wichtig, dass das Subsidiaritätsprinzip gewahrt bleibt, weil die Definition in den Mitgliedstaaten unterschiedlich ist, weil die geografische Lage unterschiedlich ist, weil die sozialen, gesundheitspolitischen, demografischen Probleme unterschiedlich sind.	My next point is that it is important that the principle of subsidiarity be maintained in view of the differences involved – differences in definition from one Member State to another, differences in geographical situations, differences in the problems of demographics and those affecting social and health policy.
Daher sind wir auch sehr massiv für die europäische Verfassung, weil im Entwurf eine Formulierung zur Wahrung des Subsidiaritätsprinzips gefunden wurde, der wir unsere Zustimmung geben können.	That is another reason why we are so strongly in favour of the European constitution, because the draft contained a formulation securing the principle of subsidiarity, one to which we can give our support.
Ich möchte noch einen Punkt anschneiden: Wir schreiben in diese Verfassung, dass die Europäische Union als Ziel die soziale Marktwirtschaft und den sozialen Zusammenhalt hat.	There is something else I would like to touch on. According to the constitution, the European Union’s goal is the social market economy and social cohesion.
Der Umgang mit den Dienstleistungen von allgemeinem Interesse, der nicht in Gegensatz zu Wettbewerb und Binnenmarkt steht, ist die Definition, das Lebendigmachen des Ordnungsprinzips der sozialen Marktwirtschaft und die Schaffung von sozialem Zusammenhalt auf dem Boden von Wettbewerb und Binnenmarkt.	Treating services of general interest as not being the antithesis of competition and the internal market is what defines and gives life to the governing principle of the social market economy and creates social cohesion on that basis.
Ich betone die Eigentümerneutralität und ich betone die Versorgungssicherheit. Die Versorgungssicherheit muss gegeben sein, auch durch Beihilfen.	I stress the need both for potential service providers to be treated impartially and for there to be security of provision, the latter of which must be ensured even if aid payments are needed to do so.
Denn wir brauchen nur dort die Dienstleistungen von allgemeinem Interesse, wo der Markt nicht imstande ist, diese Dienste flächendeckend zu erschwinglichen Preisen und bei einem hohen Qualitätsstandard zu gewährleisten.	The fact is that we need services of general interest only where the market is unable to guarantee these services on a universal basis, at affordable prices and to a high standard of quality.
