Frau Präsidentin! Die Europäische Union tritt in eine neue Etappe ihrer Geschichte ein.	– Madam President, the European Union is beginning a new stage in its history.
Die größte Erweiterung seit 47 Jahren ist vollzogen.	The greatest enlargement in 47 years has been completed.
Die EU schwillt auf eine halbe Milliarde Menschen an, einer der größten Binnenmärkte der Welt ist im Entstehen.	The EU’s population is rising to half a billion people, and one of the biggest single markets in the world is coming into being.
Dies bedeutet Hoffnung vor allem für junge Menschen, die den zweiten Weltkrieg und den nachfolgenden Kalten Krieg nurmehr vom Hörensagen kennen.	This is a source of hope, above all to young people, who have no first-hand experience or knowledge of the Second World War or of the Cold War that followed it.
Sie sind an den Frieden so gewöhnt, dass die friedenspolitische Bedeutung dieser Erweiterung für sie nicht mehr im Vordergrund steht.	They are so used to peace that they do not see the peace policy dimension of this enlargement as the most important thing about it.
Dabei ist dieser Aspekt der wohl bedeutendste, der mit der Erweiterung – ja man kann sagen, mit der Wiedervereinigung – Europas am 1. Mai verbunden ist.	Nevertheless, this is probably the most important thing associated with what happened on 1 May – the enlargement, or, as one might say, the reunification of Europe.
Jetzt geht es darum, die Partnerschaft mit unseren Nachbarstaaten, den mittelbaren und den unmittelbaren, zu pflegen und im beiderseitigen Interesse bestmöglich zu nützen.	What we now have to do is to work towards partnership with our immediate and more distant neighbours and make the best possible use of it in the interests of all parties.
In einem Europa, das noch um seine Verfassung ringt, ist das interessensbedingte Zusammenwirken und Denken in regionalen Räumen wichtig.	It is important that a Europe that is still grappling with its own constitution should work together to further the common interest and think in regional terms.
Nur gemeinsam werden wir die Herausforderungen, denen die erweiterte Union ausgesetzt ist, bewältigen können.	Only together will we be able to cope with the challenges that the enlarged Union will face.
Nur gemeinsam werden wir das Problem der illegalen Migration lösen und im Kampf gegen die organisierte Kriminalität bestehen können.	Only together will we be able to resolve the problem of illegal immigration and win the war on organised crime.
Die Investition in die Sicherung der neuen Außengrenzen der EU ist dabei ebenso wichtig wie die Mittel, die wir in das Abwracken gefährlicher Kernkraftwerke lenken.	In this, investment in securing the EU’s new external borders is every bit as important as the use of resources for scrapping dangerous nuclear power stations.
Nun braucht die Europäische Union Zeit, um die Erweiterung zum Erfolg werden zu lassen.	The European Union now needs time to let enlargement become a success.
Die nächste Phase mit Rumänien, Bulgarien und – sehr begrüßenswert – Kroatien ist ein logischer Schritt.	It is logical that the next stage should involve Romania, Bulgaria and Croatia – the last of which would be very desirable as a new Member State.
Was die Türkei betrifft, ist es Zeit, an den Rat zu appellieren, als Ergänzung zum erwarteten Kommissionsbericht über das politische Kriterium eine Studie an die Kommission in Auftrag zu geben, eine Wirkungsstudie über die Struktur- und die Agrarpolitik und die Institutionen der EU.	As far as Turkey is concerned, it is time that we appealed to the Council to ask the Commission to add to its report on the political criteria – which has not yet been produced – a study of the potential impact on the Structural and Agricultural Policies and on the EU’s institutions.
