. – Herr Präsident! Herzlichen Dank dafür, dass Sie mir noch einmal das Wort geben.	Mr President, thank you very much for letting me take the floor once again.
Ich möchte doch den Kolleginnen und Kollegen einige Worte zur Frage der Ernennung der Mitglieder des Europäischen Rechnungshofes sagen.	I would like to tell my fellow Members a little about the issue of nominating the members of the European Court of Auditors.
Wir haben im Ausschuss für Haushaltskontrolle, wie es uns durch die Geschäftsordnung aufgetragen ist, ein Verfahren durchgeführt, bei dem wir uns von den Vertragsbestimmungen leiten ließen, die besagen, dass die berufliche Qualifikation und vor allem völlige Unabhängigkeit für die Mitglieder des Europäischen Rechnungshofes als oberstes Gesetz gelten müssen.	We carried out a procedure in the Committee on Budgetary Control, as we are instructed to do by the Rules of Procedure, and in which we were guided by the provisions of the Treaty, which state that what is most important in order to be a member of the European Court of Auditors is professional qualifications and, above all, total independence.
Zehn Mitglieder standen für die schriftliche Befragung an, wir bekamen die Antworten und auch die entsprechenden Lebensläufe zugeleitet, wir haben für jedes vorgeschlagene Mitglied einzeln öffentliche Anhörungen durchgeführt und uns dann hinter verschlossenen Türen, nur unter den Mitgliedern des Ausschusses für Haushaltskontrolle, beraten.	Ten Members completed a written questionnaire, we received the answers and the respective curriculum vitae were passed on. We then carried out an individual public hearing for each proposed member, and then, behind closed doors, we held discussions, just amongst the members of the Committee on Budgetary Control.
Wir haben, um die neuen Kollegen, die ab dem 1. Mai diesem Parlament angehören, einzubeziehen, da die Beitrittsländer nun auch rechtlich Vollmitglieder der Europäischen Union sind, die Abstimmung im Ausschuss für Haushaltskontrolle am vergangenen Montag, dem 3. Mai, vollzogen.	In order to include the new Members, who belong to our Parliament as of 1 May since the accession countries are now legally full members of the European Union, we carried out the vote in the Committee on Budgetary Control last Monday, 3 May.
Dieses Abstimmungsergebnis in Form von neun Berichten – dies sage ich jetzt deutlich und erkläre sofort, warum – liegt dem Hause vor.	The result of the voting, in the form of nine reports – and I want to make this clear now and I will explain it in a moment – is before this House.
Wir stimmen über neun einzelne Berichte ab, und zwar geheim, über die Berichte des Ausschusses für Haushaltskontrolle mit seiner Empfehlung bezüglich der Kandidaturen.	We will hold a ballot – a secret one – on nine individual reports; on the reports by the Committee on Budgetary Control, which include its recommendation concerning the candidacies.
Es hat sich gezeigt, dass die große Mehrheit der Kandidaten auch die Zustimmung der Mehrheit im Ausschuss gefunden hat.	The result was that the large majority of the candidates received the approval of the majority in the committee.
Zwei Kandidaten unter den zehn haben diese Mehrheit nicht erreicht, davon hat der eine – nämlich der zypriotische Kandidat – auf ein Schreiben des Rates hin seine Kandidatur zurückgezogen.	Two out of the ten candidates did not gain this majority, one of whom – namely the Cypriot candidate – withdrew his candidature in a letter to the Council.
Es bleibt der slowakische Kandidat, der im Ausschuss für Haushaltskontrolle leider keine Mehrheit gefunden hat.	That leaves the Slovak candidate, who, unfortunately, did not gain the support of the majority in the Committee on Budgetary Control.
Ich möchte noch ganz deutlich sagen, dass wir eine große Verantwortung haben, wenn wir jetzt über die Berichte des Ausschusses für Haushaltskontrolle abstimmen, denn die Mitglieder des Europäischen Rechnungshofes werden für sechs Jahre ernannt.	I would like to make it very clear that we have a great responsibility in voting now on the reports of the Committee on Budgetary Control since the members of the European Court of Auditors are appointed for six years.
Es gibt keine Übergangsfristen wie in anderen Institutionen.	There are no transitional periods like there are in other institutions.
Sie werden also sechs Jahre lang dem Europäischen Rechnungshof angehören, deshalb hat auch der Ausschuss für Haushaltskontrolle sehr sorgfältig und sehr gewissenhaft geprüft.	They will, therefore, belong to the European Court of Auditors for six years, and so the Committee on Budgetary Control was also very conscientious and carried out a very careful investigation.
Es ist auch alles, was hinter verschlossenen Türen durchzuführen ist, geheim geschehen.	Also, everything that was carried out behind closed doors, took place in secret.
Ich danke allen Mitgliedern im Ausschuss für Haushaltskontrolle für diese sehr aufwändige und sehr verantwortungsvolle Arbeit und lege nun hier diese Berichte vor.	I would thank all of the members of the Committee on Budgetary Control for this very complex and responsible work and I now put forward these reports.
Ich möchte noch einen Wunsch anfügen: Nach dieser ganzen gewissenhaft durchgeführten Prozedur wäre es wünschenswert, wenn das Europäische Parlament eines Tages nicht nur konsultiert würde, sondern seine Zustimmung zur Ernennung der Mitglieder des Europäischen Rechnungshofs geben könnte.	I would like to make one more request: after this totally thorough procedure, it would be desirable for a future Parliament to not just be consulted on the nomination of members of the European Court of Auditors, but also to be able to give its approval to them.
Ich habe noch zwei Ankündigungen zu machen: In den Übersetzungen des Berichtes in einer ganzen Reihe von Sprachen – die inzwischen korrigiert wurden – war ein falsches Votum des Ausschusses für Haushaltskontrolle abgedruckt.	I have two further announcements to make. In the translations of the reports in a whole range of languages an incorrect verdict of the Committee on Budgetary Control was printed, which has now been corrected.
Für Herrn Molnár wurde ein positives Votum in den Beschluss geschrieben für Dänisch, Französisch, Ungarisch, Litauisch, Maltesisch, Portugiesisch und Schwedisch.	A positive verdict in the committee was recorded for Mr Molnár in the Danish, French, Hungarian, Lithuanian, Maltese, Portuguese and Swedish versions.
Inzwischen wurden außer für Ungarisch alle Versionen – und das war der Stand um 11.21 Uhr – korrigiert.	Apart from the Hungarian, all versions – and that was the situation at 11.21 a.m. – have since been corrected.
