– Herr Präsident, meine Damen und Herren! Der Stabilitäts- und Wachstumspakt ist ein Erfolg.	Mr President, ladies and gentlemen, the Stability and Growth Pact is a success.
Zwölf Länder gehören der Eurozone an; der Pakt gibt die Regeln für die Mitgliedschaft in dieser vor, er ist die Grundlage der öffentlichen Debatte über den Zusammenhang von Haushaltsdisziplin, Inflation, Preisstabilität, Wachstum und Beschäftigung, die Grundlage für die Debatte über die Strukturprobleme in Europa, die Grundlage für die Debatte über die Rolle der Kommission im Verhältnis zu den Wirtschaftspolitiken der Mitgliedstaaten.	Twelve countries belong to the eurozone, and the Pact lays down the rules for membership in it. It is the basis for public debate on the link between budgetary discipline, inflation, price stability, growth and employment, for the debate on structural problems in Europe and for the debate on the Commission’s role with regard to the Member States’ economic policies.
Der Pakt darf nicht als Ausrede für eigenes Versagen und Versäumnisse missbraucht werden. Der Pakt ist Handlungsauftrag an Mitgliedstaaten und Kommission.	The Pact must not be used as an excuse for personal failures and omissions; it is a mandate for action by the Member States and the Commission.
Der Europäische Gerichtshof hat die Kommission gestärkt und damit den Pakt.	The European Court of Justice has strengthened the Commission’s position and, in doing so, the Pact.
Die neue Verfassung hat den Pakt und die Europäische Zentralbank gestärkt, indem die Preisstabilität als Ziel in die Verfassung aufgenommen wurde.	The new Constitution has strengthened the Pact and the European Central Bank by including price stability as an objective in the Constitution.
Mit uns wird es keine Änderung der Spielregeln geben. Wer unter Flexibilität Lockerung versteht, ändert die Spielregeln.	We will not change the ground rules, which is precisely what those who believe that flexibility means relaxation do.
Wer, wie Minister Eichel, der Bundesbank einen Maulkorb umhängen will, missachtet die Rolle einer unabhängigen Notenbank und die Bedeutung von Transparenz für Vertrauen, Berechenbarkeit und Glaubwürdigkeit.	Those who, like Mr Eichel, wish to muzzle the Bundesbank, fail to recognise the role played by an independent issuing bank and the importance of transparency for trust, reliability and credibility.
Ich unterstütze die Position des Rates und die Äußerungen des EZB-Präsidenten Trichet.	I support the Council’s position and the ECB President, Mr Trichet, in the comments he has made.
Wir benötigen klare Regeln, die für alle gelten, und eine erfolgreiche Umsetzung.	We need clear rules that apply to everyone and successful implementation.
Wir haben kein Problem mit dem Pakt, sondern wir haben ein Umsetzungsdefizit.	We have no problem with the Pact; what we have is an implementation deficit.
Daher sage ich auch Ja zu einer Debatte darüber, wie wir den Gesamtschuldenstand in der Bedeutung stärken, wie wir Kriterien für die notwendige Erwirtschaftung von Haushaltsüberschüssen in konjunkturell guten Zeiten festlegen, wie wir die Konsequenz der demografischen Entwicklung einbauen und in der Öffentlichkeit über den Unterschied zwischen strukturellen Schulden und Investitionsschulden debattieren.	This is why I am also in favour of a debate on the ways in which we can boost the significance of total debt, establish criteria for accumulating much-needed budget surpluses during times of economic prosperity, incorporate the consequences of demographic change and conduct a public debate on the difference between structural debt and investment debt.
Wir benötigen auch eine Debatte über die Kompetenzen der Kommission bei der Umsetzung des Paktes.	We also need a debate on the Commission’s powers to implement the Pact.
Wer Schulden um der Schulden willen macht, betreibt einen Ausverkauf der Zukunft.	Anyone who incurs debt for debt’s sake is selling off the future.
Wir wollen, dass die Bürger Europas Vertrauen in die Regeln haben, die wir uns geben. Wir wollen, dass die Bürger die Gewissheit haben, dass jeder in Europa vor dem Gesetz gleich ist und gerecht behandelt wird.	We want the European public to have confidence in the rules we set for ourselves, and we want the public to be sure that everyone in Europe is equal before the law and is treated fairly.
