Hat der Standort Europa versagt?	Has Europe failed as an industrial location?
Um 500 Millionen Euro einzusparen, will der US-Konzern General Motors in der EU bis zu 12.000 Arbeitsplätze abbauen.	In order to save EUR 500 million, the American General Motors group is seeking to cut up to 12 000 jobs in the EU.
In unserer Automobilindustrie arbeiten zwei Millionen Menschen, in Zuliefererbetrieben zehn Millionen.	Our motor industry is a key industry; two million people work in it, with ten million in firms supplying it.
Sie ist eine Schlüsselindustrie! Wenn sie jetzt in eine Krise manövriert wird, darf ich nur zu bedenken geben: In Deutschland wurden seit 1990 hunderttausend neue Arbeitsplätze in diesem Bereich geschaffen.	If it is now being manoeuvred into a crisis, the only thing I want to point out is that in Germany, since 1990, a hundred thousand new jobs have been created in this sector – or has Germany failed as an industrial location?
Oder hat der Standort Deutschland versagt? 4.500 Arbeitsplätze sollen bei Opel in Rüsselsheim gestrichen werden.	At Opel, in Rüsselsheim, 4 500 jobs are to be cut back.
Ich habe Betroffene aus meinem Heimatwahlkreis getroffen.	The people affected live in my electoral district, and I have met them.
Die Angst geht um!	Fear is in the air.
Sie haben doch bereits jahrelang daran gearbeitet, im Konzept Olympia ihren Beitrag zur Kostenreduktion zu leisten.	After all, they have worked for years already, helping to reduce the costs of the Olympia model.
Wenn über kürzere Arbeitszeit mit Lohnverzicht, über die Streichung von Nachtschichten und über Stelleneinsparungen verhandelt wird, dann müssen auch Konsequenzen für die Unternehmensführung auf den Tisch.	Now that negotiations are in progress about shorter working times and wage renunciations, about doing away with night shifts and reductions in staffing levels, the consequences for the firm’s management have to be discussed.
Wenn bei der Adam Opel AG der Vorstandsvorsitzende in fünf Jahren sechs Mal gewechselt wird, wenn Trends verpasst und Modellreihen als zu wenig innovativ und attraktiv nachgefragt werden, wenn auf Qualität verzichtet wird, um kurzfristig Kosten zu senken, und damit ein guter Ruf riskiert wird, dann sind das gravierende Fehler des Managements.	At Adam Opel AG, there have been six chairmen of the board in five years, trends have been missed, and ranges that are insufficiently innovative or attractive have failed to attract customers, quality has been sacrificed for the sake of short-term cost reduction, thus gambling with the firm’s good reputation, and these things amount to serious errors on the part of the management.
Wenn jetzt versucht wird, die Umstrukturierung der Automobilindustrie zum Vorwand zu nehmen, um die Mitbestimmung auszuhebeln, dann nenne ich das Provokation.	Now that the attempt is being made to use the restructuring of the motor industry as a pretext for making co-determination an empty concept, that is what I call provocation.
Die Beteiligung der Mitarbeiter hat, erst recht in schwierigen Zeiten, zu einem Konsens geführt, hat den Betriebsfrieden gesichert und hat beide Seiten immer wieder vorangebracht.	Workers’ participation has, particularly when times are hard, resulted in consensus, has secured industrial peace and has always been to the benefit of both sides.
Die EVP-ED-Fraktion kann nur hoffen, dass die Arbeitnehmervertretung und das Management gemeinsam einen europäischen Zukunftsvertrag aushandeln.	The Group of the European People’s Party (Christian Democrats) and European Democrats can only hope that the management and the workers’ representatives can get together and hammer out an agreement on their future in Europe.
Meiner Erfahrung nach sind Beschäftigte immer zu harten Maßnahmen bereit, wenn dafür langfristig ihre Arbeitsplätze gesichert werden.	In my experience, workers are always willing to accept austerity measures if these keep their jobs safe in the long term.
