. – Sehr geehrter Herr Präsident, Frau Kommissarin, meine sehr geehrten Damen und Herren!	.
Ich freue mich, dass heute die Debatte über die Zukunft der Europäischen Union stattfindet. Die Zukunft drückt sich immer auch in Geld aus, und wo investiert wird, und ich glaube, wir sind auf dem richtigen Weg, in die Lissabon-Agenda zu investieren.	Mr President, Commissioner, ladies and gentlemen, I am glad that this debate on the future of the European Union is happening today, for the future is always about money and where it is invested, and I believe that we are going the right way about investing in the Lisbon agenda, having allocated EUR 92 million to preparatory measures and pilot projects, and EUR 49 million to the financial environment, concentrating on the economic divide in the border regions.
Wir haben hier immerhin 92 Millionen Euro für die vorbereitenden Maßnahmen und die Pilotprojekte zur Verfügung gestellt. Wir haben für das finanzielle Umfeld 49 Millionen Euro zur Verfügung gestellt.	I believe that it is the latest developments – the crisis in the motor industry, the rise in energy prices – that demonstrate the necessity of our gearing the European Budget up for growth, and appropriate communication also has a part to play in this.
Wir konzentrieren uns auf das Gefälle in den Grenzregionen. Ich glaube, dass gerade die neuesten Entwicklungen – Krise in der Automobilindustrie, steigende Energiepreise – zeigen, dass wir auch den europäischen Haushalt auf Wachstum ausrichten müssen.	Over the next five years, we will be devoting much attention to the theme of information policy.
Hierbei spielt auch eine Rolle, dass dies dementsprechend kommuniziert wird.	We have to do a much better job of explaining Europe.
Der Schwerpunkt „Informationspolitik“ wird uns die nächsten fünf Jahre intensiv beschäftigen. Wir müssen Europa wesentlich besser erklären.	In the run-up to the elections, we could see that there were various elements strategically ganging up on the European Union and on democracy in Europe.
Wir haben im Vorwahlkampf ja diverse Mobbingstrategien gegen die Europäische Union und gegen die Demokratie in Europa erkannt. Ich glaube, es ist unsere Aufgabe, den Bürgern zu erklären, was hier geleistet wird, und wie wichtig die Stellung Europas in dieser Welt für uns in Zukunft sein wird.	I believe that we have the task of explaining to the public what goes on in this place and how important Europe’s position in the world will be for us in the future.
Gerade deshalb das Bekenntnis zu den Infopoints, zur Kampagne für die Zukunft Europas, zu den Carrefours, zu Prince, zu diesen ganzen wichtigen Punkten, um dem Bürger Europa näher zu bringen und zu erklären.	It is for that reason, too, that we are committed to the infopoints, to the campaign for Europe’s future, to the Carrefours, to Prince, to all these important things, in order to bring Europe closer to its citizens and to explain it.
Auch das Programm „Intelligente Energie für Europa“ ist für uns alle sehr wichtig.	We all see the ‘Intelligent Energy for Europe’ programme as being very important too.
Ich hoffe, dass wir in Zukunft noch einiges zulegen, gerade mit Blick auf die Energiepreise.	With energy prices in mind, I hope that we will add more in future.
Im Parlament sollten wir schon langsam beginnen, auch unsere technische Infrastruktur, sei es die Informations- und Kommunikationstechnologie oder Internet und Fernsehen, auf den allerneuesten Stand zu bringen und versuchen, das modernste Parlament dieser Welt zu werden.	In this House, we should even now be starting to get our technical infrastructure, whether it be information and communication technology or the Internet and television up to the very latest state of the art and trying to become the most modern parliament in the world.
