Danke Herr Präsident!	– Thank you, Mr President.
Herr Präsident Barroso! Sie haben selbst gesagt, und es ist heute schon gesagt worden, dass Sie der Präsident einer starken Kommission werden wollen.	You have said yourself, Mr Barroso – and it has already been stated today – that you want to be the President of a strong Commission.
In der Tat gibt es eine Reihe von Kommissarinnen und Kommissaren, die sich gerade auch in den Anhörungen als sehr stark erwiesen haben und die heute zum Beispiel in Ihrer unmittelbaren Nachbarschaft sitzen.	There are actually a whole series of Commissioners who have shown themselves to be very strong, including in the hearings, for example those sitting in your immediate vicinity today.
Und es gibt viele Kommissarinnen und Kommissare, die, wie Sie gesagt haben, das Potenzial haben, sehr gute Kommissarinnen und Kommissare zu werden, wenn sie sich die technischen Kenntnisse angeeignet haben.	And there are many Commissioners who, as you said, have the potential to be very good Commissioners once they have acquired the necessary technical knowledge.
Viele davon stehen uns gesellschaftspolitisch und politisch nicht nahe, und wir haben dennoch zugestimmt, weil wir überzeugt sind, dass sie gut in die Kommission passen.	Even though many of them hold views on politics and social policy that are not akin to our own, we are convinced that they will make suitable Commissioners, and so we have approved them.
Aber es gibt einige Fälle, und die mussten Sie ja heute verteidigen – was schon einmal problematisch beim Start einer Kommission ist –, die in den kommenden Jahren Probleme in der Kommission schaffen werden.	There are a number of cases, however – and you have had to defend them today, which is already unfortunate at the start of a new Commission – that are going to cause problems in the Commission in the years to come.
Es gibt sicherlich vor allem einen Kommissar, den wir nicht für geeignet halten, das Ressort, das für ihn vorgesehen ist, zu haben.	Of course there is one Commissioner in particular whom we do not consider fit to head the department that he has been allocated.
Es ist zwar – wie schon mehrmals gesagt – das gute Recht von Herrn Buttiglione, diese Meinungen zu haben, die wir nicht teilen.	It is true, as has already been said many times, that Mr Buttiglione has every right to hold these views, which we do not share.
Aber wenn er diese Meinungen hat und wenn er auch in diesem Sinne agiert und immer wieder agiert, dann ist er nicht geeignet, das Ressort zu haben, das Sie ihm zugeteilt haben.	But if he holds these views, and if he also, and repeatedly, acts in accordance with them, then he is not fit to hold the portfolio that you have allocated to him.
Das muss mit aller Klarheit gesagt werden!	This must be made absolutely clear.
Herr Barroso, das Problem ist nicht mehr nur Buttiglione.	Mr Barroso, the problem is no longer just Mr Buttiglione.
Sie selbst haben durch Ihr Handeln oder Nichthandeln aus dem Fall Buttiglione einen Fall Barroso gemacht.	By acting or not acting in the way you have, you yourself have made the Buttiglione case into a Barroso case.
Das stimmt traurig und wird bei unserer Entscheidung heute Abend sicherlich eine große Rolle spielen.	This is regrettable and it will certainly have a significant bearing on our decision this evening.
Herr Barroso, Sie haben jetzt eine Reihe von Vorschlägen gemacht, aber Sie nehmen wieder das Parlament nicht ernst, denn viel von dem, was Sie hier verkaufen, ist bereits in der Pipeline.	Although you have just made a series of proposals, Mr Barroso, you are still not taking Parliament seriously, as much of what you are selling here is already in the pipeline.
Sie tun so, als hätten Sie jetzt reagiert.	You act as though you were responding with something new.
Aber Sie reagieren nicht, sondern Sie greifen nur das auf, was bereits da ist.	But you are not responding, you are simply taking up what already exists.
Sie verkaufen alten Wein in neuen Schläuchen.	You are selling old wine in new skins.
Das können wir nicht akzeptieren.	We cannot accept this.
Das werden wir sehr genau anschauen, und ich glaube, Sie haben hier einen Weg zum Parlament gefunden, der von uns nicht akzeptiert werden kann, weil er nicht der Realität entspricht.	We will give it very careful consideration, but I do not believe that we will be able to accept Parliament’s being approached in this way because it is not a true reflection of reality.
Und über Ihren Vorschlag, Herr Barroso, in der Kommission eine Art Unterkommission zu schaffen, macht sich Herr Buttiglione ja bereits lustig.	What is more, Mr Barroso, your proposal to create a kind of sub-Commission within the Commission is already being mocked by Mr Buttiglione.
Er macht sich lustig darüber und beschimpft einen möglichen zukünftigen Kommissar, Herrn Špidla.	He is making fun of it and is slandering a fellow nominee Commissioner, Mr Špidla.
Kann man denn so mit Ihren Vorschlägen für die eigene Kommission umgehen?	Is this any way to treat your proposals for the Commission itself?
Sie haben hierzu nichts gesagt.	You did not comment on this.
Ich würde mir wünschen, Sie sagten etwas dazu.	I would be glad if you were to do so.
Was meinen Sie dazu, wenn ein Mitglied Ihrer Kommission ein anderes Mitglied der Kommission beschimpft, noch dazu mit falschen Behauptungen belegt und sich über Ihre Vorschläge lustig macht?	What do you think of a member of your Commission slandering another member of the Commission, making false claims about them and mocking your proposals?
Ebendeshalb können wir dem, was Sie heute vorgeschlagen haben, Herr Präsident Barroso, nicht viel abgewinnen.	That is precisely why we cannot derive much comfort from what you have proposed today, President Barroso.
Ich muss Ihnen leider sagen, ich hätte es mir anders gewünscht.	I regret to say that I wish things could have been different.
Sie haben uns nicht überzeugt.	You have not convinced us.
Sie haben nicht einmal einen ernsthaften Versuch gemacht, uns zu überzeugen.	You have not even made a serious attempt to convince us.
