Herr Präsident! Liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, I have just a few comments to make on the central issue.
Nur wenige Bemerkungen zum Kern der Sache. Erstens: Als Vorsitzende der Delegation für die Beziehungen zu Albanien, Bosnien und Herzegowina sowie Serbien und Montenegro (einschließlich Kosovo) freue ich mich, dass das große finanzielle und zivile Engagement der EU unter Leitung von Herrn Patten nun durch die immer noch notwendige Militärmission, jetzt in europäischer Hand, flankiert wird.	The first is that, as Chairman of the Delegation for relations with Albania, Bosnia and Herzegovina, and Serbia and Montenegro (including Kosovo), I am delighted that the military mission – which is still necessary – is now in European hands and backing up the EU’s great financial and civilian commitment under the leadership of Commissioner Patten.
Zweitens: Dieser Wechsel von SFOR zu EUFOR wird auch in Bosnien und Herzegowina begrüßt.	The second is that this changeover from SFOR to EUFOR is being welcomed in Bosnia and Herzegovina too.
Es macht ja einmal mehr deutlich, wie eng das Schicksal von Bosnien und Herzegowina mit dem unsrigen verknüpft ist.	It does indeed highlight how closely intertwined are Bosnia and Herzegovina’s destiny and our own.
Das Gelingen unserer politischen, wirtschaftlichen und militärischen Mission ist der Lackmustest für unsere Außen- und Sicherheitspolitik.	The success of our mission – political, economic and military – is the litmus test for our foreign and security policy.
Drittens: Die Aufgaben der EUFOR sollten klar beschrieben werden.	Thirdly, EUFOR’s tasks should be clearly set out.
Sie sollte sich nicht unnötig in die innerstaatliche Strafverfolgung von Einzelpersonen einmischen.	It should not involve itself unnecessarily in states’ prosecution of their own criminals.
Polizei und Justiz im Lande haben sowohl für die Verfolgung als auch für die Inhaftierung normaler Krimineller inzwischen die Kapazitäten entwickelt.	In these countries, the police and the justice systems have now become capable of pursuing ordinary criminals and imprisoning them.
Auch die Festnahme von Kriegsverbrechern wie im Fall von Mladic und Karadzic sollte Sache des verbleibenden NATO-Kontingents, und vor allem der einheimischen Serben in der Republika Srpska sein.	Apprehending war criminals such as Mladic and Karadzic should also still be a matter for the remaining NATO contingent, and, in particular, for the Serbs of Republika Srpska.
Beide haben dies bisher nicht mit sichtbarem Enthusiasmus betrieben, die Republika Srpska hat es sogar hintertrieben. Die EUFOR aber sollte andere Aufgaben haben.	Even though neither has so far demonstrated any enthusiasm for doing this, and Republika Srpska has even obstructed it, EUFOR should have other tasks to perform.
Viertens: Wie wird sich die Zusammenarbeit zwischen der Polizeimission und EUFOR gestalten?	Fourthly, how will cooperation between the police mission and EUFOR be organised?
Fünftens – eine Frage, die mich bereits in den letzten Jahren umgetrieben hat: Sind die Soldaten der EUFOR auf die Probleme des Frauenhandels und der erzwungenen Prostitution hinwiesen worden?	My fifth point has to do with an issue that has started to worry me in recent years, and that is whether the EUFOR troops have been advised about the problems with trafficking in women and forced prostitution.
Gibt es einen ethischen Kontext? Und wer wird Verstöße dann wo und wann ahnden?	Is there an ethical context, and where, when and by whom are offences to be punished?
Bosnien und Herzegowina ist nicht nur ein Durchgangsland, es ist auch ein Nehmerland, und das nicht zuletzt durch die internationale Anwesenheit.	Bosnia-Herzegovina is not just a transit country, but also – not least because of the international presence – a destination.
Und sechstens: Der Name EUFOR ist der richtige.	The sixth thing I want to say is that EUFOR is the right name.
Warum also ALTHEA? Eine mythologische Frauenfigur umgeben von Blut, von Rache, von Revanche, die schließlich selbst im Selbstmord endet.	Why, then, call it ALTHEA, after a mythological woman associated with blood, retaliation and vengeance, and who ends up taking her own life?
Was hat sich derjenige, der diesen Namen erfunden hat, dabei gedacht?	What did the person who thought up this name have in mind?
Etwas Fingerspitzengefühl hätte man dabei haben müssen.	They could have done with a bit of sensitivity.
In einer Gegend, wo wir selbst gegen Rache, gegen die Revanche arbeiten, hätte man etwas anderes erwarten dürfen.	One might have expected something else in an area where we are working to counteract revenge and the settling of scores.
Und noch etwas: EUFOR ist der Name, unter dem die Mission heute schon auf großen Postern in Sarajevo willkommen geheißen wird. Lassen wir es dabei, motten wir ALTHEA da ein, wo sie hingehört!	Moreover, EUFOR is the name by which the mission is already being welcomed on great big posters in Sarajevo, so let us leave it at that and chuck ALTHEA out with the junk where it belongs!
