. Herr Präsident!	.
Verehrte Kollegen! Auch ich möchte meiner Freude darüber Ausdruck verleihen, dass wir noch immer Gelegenheit haben, Herrn Patten hier im Plenum zu sehen.	Mr President, ladies and gentlemen, I too would like to say how happy I am that we still have the chance to see Commissioner Patten in the plenary.
Auch mir geht es so wie ihm, wie bei Frank Sinatra: Ich höre seine Stimme immer wieder, und auch bei Herrn Patten ist das Gleiche der Fall.	I feel the same way as he does about Frank Sinatra: I keep on hearing his voice, and Commissioner Patten’s as well.
Nun zu den Waffenexporten. Ich glaube, dass man wirklich mit Fug und Recht sagen kann, dass der Verhaltenskodex in Bezug auf Waffenexporte wesentliche Fortschritte gebracht hat.	Passing on to arms exports, while I think we really can be justified in saying that the Code of Conduct has resulted in progress where arms exports are concerned, I must also say that this progress has not been enough.
Allerdings muss man auch sagen, dass diese Fortschritte noch nicht ausreichen. Wir begrüßen sehr, dass die Ratspräsidentschaft über einige Klarstellungen in diesem Kodex verhandelt, und ich hoffe, dass sie dabei zu einem guten Ergebnis kommen wird.	We are very pleased to learn that the Presidency of the Council is conducting negotiations with a view to clarifying a number of points in the Code, and I hope that these negotiations will have a successful outcome.
Ich halte es auch für sehr wichtig, dass nicht nur der Verkauf, sondern auch die Vermittlung des Verkaufs diesen Regeln unterstellt wird.	I also see it as very important that these rules should cover not only sales, but also their mediation and brokerage.
Das eigentliche Problem bei den Waffenexporten ist aber nicht die gesetzliche Grundlage sondern besteht darin, dass diese gesetzlichen Grundlagen in den verschiedenen Ländern der Europäischen Union unterschiedlich angewendet werden.	It is not, however, the legal basis that is the actual problem where arms exports are concerned; the real problem lies in the different ways in which these legal bases are applied in the various countries within the European Union.
Auf dieses Problem müssen wir unsere Anstrengungen konzentrieren — einmal dadurch, dass der Kodex für gesetzlich verbindlich erklärt wird.	It is on this problem that we must focus our efforts — for a start, by declaring the Code to be legally binding.
Wenn dies auf Gemeinschaftsebene nicht möglich ist, ja, dann hindert nichts die Mitgliedsländer daran, das zu tun, wie es einige ja auch bereits getan haben.	If this cannot be done at Community level, there is nothing to prevent the Member States from doing it, and, indeed, a number of them already have done so.
Auf diesem Wege müssen wir weitergehen, denn unser Ziel muss sein, dass wir auf der einen Seite die innergemeinschaftliche Verbringung von Rüstungsgütern nicht mehr als Exporte behandeln. Das ist aber nur dann möglich, wenn wir in allen Ländern der Europäischen Gemeinschaft in dieser Beziehung strikte und in gleicher Weise angewendete Regeln haben.	This is the road down which we must go; whilst, on the one hand, we must aim to eventually stop treating intra-Community transfers of defence equipment as exports, this can be done only when every country in the European Community applies the rules relating to this uniformly and with rigour.
Und nun zur Frage des Embargos gegen China.	Let me now turn to the question of the embargo on China.
Meine Fraktion ist der Auffassung, dass wir diese strategische Partnerschaft mit China suchen müssen und dass sie der Weg der Zukunft ist.	My group takes the view that this strategic partnership with China is what will take us into the future, and that we must seek to bring it about.
Wir wissen aber, dass es noch einige Probleme gibt, wie den Umgang mit den Menschenrechten, Probleme in Bezug auf Taiwan und auf Tibet, und deswegen ist meine Fraktion der Auffassung, dass die Voraussetzungen noch nicht gegeben sind, dieses Embargo gegen China aufzuheben.	We are aware, though, that there are a few problems left outstanding, such as China’s approach to human rights, problems that have to do with Taiwan and Tibet, and so my group’s position is that the conditions are not yet in place that would allow us to lift this embargo on China.
