Herr Präsident! Die Türkeidebatte war schon immer vollkommen verlogen.	Mr President, the debate about Turkey has always been awash with duplicity.
Das war schon 1999 in Helsinki so, als die Türkei zum Kandidaten gemacht wurde und so viele sie eigentlich gar nicht wollten, und das ist bis heute so.	That duplicity was already being practised in Helsinki back in 1999, when Turkey was given applicant status, and so many had no wish whatsoever to see it in the Union; the same situation has obtained ever since.
Der aktuelle Fortschrittsbericht der Kommission ist eine detaillierte Beschreibung der Tatsache, dass die Türkei die Kopenhagener Vorbeitrittskriterien in keinem einzigen Punkt erfüllt.	The present progress report from the Commission bears detailed testimony to the fact that Turkey is not fulfilling a single one of the Copenhagen pre-accession criteria.
Und was ist die Schlussfolgerung der Kommission?	So what conclusion does the Commission draw?
Man empfiehlt die Aufnahme von Beitrittsverhandlungen.	It recommends the start of accession talks.
Das ist doch schizophren, das ist doch unverantwortlich!	That is absolutely schizophrenic and irresponsible.
Und dieses Europäische Parlament ist auf dem besten Wege, genau das Gleiche zu tun, genau den gleichen Fehler machen.	Now this European Parliament is poised to do precisely the same thing, to make exactly the same mistake.
Warum?	Why?
Aus nationalem oder aus parteipolitischem Interesse? Also aus Eigennutz, oder ganz einfach auch aus Angst?	Is it driven by national interest or party-political considerations – in other words, by self-interest – or is one of its motives quite simply fear?
Wollen wir wirklich mit einem Land verhandeln, in dem die grundlegenden Menschenrechte nicht erfüllt sind, mit einem Land, in dem Frauen Menschen zweiter Klasse sind, wo Jungfrauentests, Zwangsverheiratungen, Ehrenmorde an der Tagesordnung sind, wo die Vielehe geduldet wird?	Do we really want to negotiate with a country in which fundamental human rights are not respected, in which women are second-class citizens, in which virginity tests, forced marriages and honour killings are normal occurrences and bigamy is tolerated?
Das alles ist eine lebenslange Folter für die Frauen, und es ist unverantwortlich, mit einem solchen Land zu verhandeln!	These things expose women to lifelong torture, and it is irresponsible to negotiate with such a country.
In diesem Land, in dieser Türkei muss sich doch erst die Mentalität ändern, da muss sich in den Köpfen der Menschen etwas tun.	In that country, in that Turkey, the prevailing mentality surely has to change first; something has to happen in people’s minds.
Das geht nicht durch Zwang.	This cannot be done by compulsion.
Man muss die Menschen überzeugen, man muss die Menschen durch Überzeugen in der Politik mitnehmen.	People have to be persuaded; they have to be won over by a convincing political case.
Und so eine Mentalitätsänderung, die dauert.	This is the way to achieve a permanent change of mentality.
Das schafft man nicht mal eben schnell in zehn Jahren.	It cannot be quickly engineered within ten years.
Das dauert mindestens zwei bis drei Generationen, und warum wollen wir diesem Land denn nicht die Zeit geben?	It takes at least two to three generations, so why can we not give this country the time it needs?
Und jeder weiß doch, dass wir uns die Türkei einfach nicht leisten können. Nicht integrationspolitisch, nicht finanziell, nicht sicherheitspolitisch.	Besides, we all know that we simply cannot afford Turkish membership with its impact on the integration, the finances and the security of the Union.
Die politische Europäische Union würde dieses Land nicht verkraften, und deshalb sind die ganze Diskussion bis heute und vor allen Dingen der Vorschlag der Kommission, die Türkei zu einem Mitgliedstaat zweiter Klasse zu machen, verlogen.	The political European Union would not be able to digest the addition of that country, and therein lies the duplicity of the whole discussion to date, and particularly of the Commission’s proposal to make Turkey a second-class Member State.
Mit einem Mitgliedstaat zweiter Klasse, mit Mitgliedstaaten unterschiedlicher Klassifizierungen wird diese politische Union in Zukunft nicht mehr funktionieren.	With a second-class Member State, with different grades of membership, our political union would eventually cease to function.
Wir machen uns selber kaputt.	We would be digging our own grave.
Das einzig ehrliche Angebot an die Türkei ist die privilegierte Partnerschaft, ist die besondere nachbarschaftliche Beziehung, und ich bitte sehr, dieses zu unterstützen!	The only honest offer we can make to Turkey is a privileged partnership, a special neighbourly relationship, and I urge the House to support that approach.
