Herr Präsident! Kollege Toubon hat gefragt, welches Europa wir wollen?	Mr President, Mr Toubon has asked what sort of Europe we want.
Wer das Europa des Verfassungsvertrages und der Integration will, der kann die Türkei nicht als Vollmitglied aufnehmen.	Those who want an integrated Europe, the Europe envisaged in the Constitutional Treaty, cannot accept Turkey as a full member.
Die Türkei ist ein wichtiger Partner, und wir wollen, dass das auch in Zukunft so bleibt, und zwar in einer privilegierten Partnerschaft und nicht als Vollmitglied der EU.	Turkey is an important partner, and we want it to remain one in future, but in a privileged partnership and not as a full member of the EU.
Die Türkei sagt, seit 41 Jahren sei ihr die Vollmitgliedschaft versprochen.	Turkey claims that it has been promised full membership for the past forty-one years.
Das ist falsch.	That is not the case.
Ziel des Ankara-Abkommens von 1963 war die Zollunion. Diese Zusage ist seit neun Jahren erfüllt.	The 1963 Ankara Agreement had a customs union as its objective; one was promised, and it has been in place for nine years.
Die Türkei verlangt von uns jetzt die Vollmitgliedschaft ohne Wenn und Aber, bevor überhaupt Beitrittsverhandlungen begonnen haben.	Even before accession negotiations have been set in motion, Turkey is now demanding of us full membership without any ifs or buts.
Das ist Erpressung.	That is extortion.
So mag man vielleicht in der Türkei Politik machen, in der EU nicht.	That may be how you do politics in Turkey, but it is not how it is done in the EU.
Die Kopenhagener Kriterien gelten für alle Beitrittskandidaten.	The Copenhagen criteria apply to all candidates for accession.
Wegen der großen Probleme mit der Demokratie, der Meinungsfreiheit, den Menschenrechten, den Minderheitenrechten, mit den Nachbarn in Armenien und Zypern, mit den Kurden, ist beschlossen worden, dass die Türkei die politischen Kriterien vor Beginn der Verhandlungen erfüllen muss.	The major problems Turkey has with democracy, freedom of opinion, human rights, the rights of minorities, with its neighbours in Armenia and Cyprus, and with the Kurds, have caused it to be decided that Turkey must fulfil the political criteria before negotiations can start.
Diese Bedingungen sind zweifellos heute noch nicht erfüllt.	There is no doubt that, even today, these conditions have not yet been met.
Dies sagt auch die EU-Kommission.	The Commission says so too.
Warum dann trotzdem Beitrittsverhandlungen eröffnet werden sollen, bleibt das Geheimnis des Rates und der Kommission.	Why it is that negotiations are to be opened despite that is a secret known only to the Council and to the Commission.
Wir wollen keine Vollmitgliedschaft, sondern eine privilegierte Partnerschaft mit einem Sonderstatus, der von beiden Seiten verkraftet werden kann - von der EU und von der Türkei.	We do not want full membership, but a privileged partnership with a special status that both parties – the EU and Turkey – can cope with.
Wenn die Beitrittsverhandlungen wider besseres Wissen eröffnet werden, dann müssen sie ergebnisoffen sein und auch zu einer Alternative führen können, so wie wir dies wollen.	If accession negotiations are opened even though they go against our better judgment, they must be open-ended and capable of resulting in an alternative outcome in line with what we want.
Wer dies der Türkei anbietet, ist ehrlich und vernünftig, politisch weitsichtig und zukunftsorientiert.	To offer such a thing to Turkey is honest, sensible, politically far-sighted and forward-looking.
Die Türkei ist und wird kein europäisches Land, deshalb ist die privilegierte Partnerschaft die richtige Antwort auf eine gemeinsame Zukunft Europas und der Türkei.	Turkey is not a European country and will not become one; that is why the demands of Europe’s and Turkey’s future together are best met by a privileged partnership.
