Herr Präsident! Herr Rasmussen hat gesagt, Reformen ohne Wirtschaftswachstum sind nicht möglich.	Mr President, Mr Rasmussen said that reforms are not possible without economic growth.
Umgekehrt wird ein Schuh daraus: Wirtschaftswachstum in Europa wird ohne Reformen nicht möglich.	The reverse is also true: economic growth in Europe is not possible without reforms.
Gerade in den großen Staaten Deutschland und Frankreich, die eine zu hohe Staatsquote, eine zu hohe Besteuerung, zu komplexe Sozialsysteme haben, sind Reformen Voraussetzung für Wirtschaftswachstum.	Particularly in Germany and France, which are major states with an excessively high government activity rate, high taxes and overly complex social systems, reforms are a prerequisite for economic growth.
Wir reden heute über die Berichte Goebbels und Karas, und da präsentieren sich die Schwierigkeiten, vor denen wir stehen, mit einer gemeinsamen Währungspolitik und einer dezentralen Haushalts- und Finanzpolitik.	We are today discussing the Goebbels and Karas reports, in which the difficulties we face with a common monetary policy combined with decentralised budgetary and finance policies become apparent.
Der Stabilitäts- und Wachstumspakt ist als Bindeglied, als notwendige Voraussetzung gegründet worden.	The Stability and Growth Pact was created as a linking mechanism and as a prerequisite.
Die politische Absicht, den Stabilitäts- und Wachstumspakt zu reformieren, rüttelt an den Grundpfeilern des Maastrichter Vertrags und der Europäischen Währungsunion.	The political intention to reform the Stability and Growth Pact will shake the very foundations of the Maastricht Treaty and of European monetary union.
Die haushaltspolitischen Regeln sind eines der entscheidenden Fundamente der Wirtschafts- und Währungsunion.	The budget policy rules are among the cornerstones of Economic and Monetary Union.
Gegenüber den Bürgern Europas wurde eine Verpflichtung zur Reduzierung der Staatsverschuldung abgegeben, die nunmehr nach nur 6 Jahren bereits zurückgenommen wird.	The citizens of Europe were given an undertaking that state borrowing would be reduced, an undertaking that after just six years is being reneged upon.
Die Regeln haben das Ziel, Glaubwürdigkeit und Vertrauen unabhängig von den jeweiligen Regierungen zu erhalten, aber – und dazu, Herr Kommissar, haben Sie wiederholt nichts gesagt – der Stabilitäts- und Wachstumspakt hat einen schwerwiegenden Konstruktionsfehler.	The objective of these rules is to maintain credibility and trust regardless of the government in power at any given time. There is, however, a serious design flaw in the Stability and Growth Pact, one on which you, Commissioner, have repeatedly failed to comment.
Die EU-Kommission hat zu wenige Kompetenzen im Überprüfungsverfahren.	Where the monitoring procedure is concerned, the Commission has too few powers and responsibilities.
Die Sünder sind bei den Richtern dabei, das kann nicht gut gehen.	The guilty parties are sitting in judgment on themselves, which does not bode well.
Wenn der ECOFIN-Rat die Regeln für sich selbst nicht gelten lässt, ist die Kommission machtlos.	If the ECOFIN Council does not apply the rules to itself, the Commission is powerless.
Wo der Wille zur Haushaltsdisziplin fehlt, da helfen auch keine Reformen.	If there is no will to apply budgetary discipline, reforms will not help either.
Es liegt nicht an den Regeln, sondern am politischen Willen.	This is not just a question of rules, but also of political will.
Die Kommission will neue Regeln für konjunkturell gute Zeiten.	The Commission wants to introduce new rules for economically good times.
Das ist zwar richtig, aber naiv.	There may be some justification for that, but it is naïve.
Wenn schon die Druckmittel nicht helfen, wie soll das in guten Zeiten freiwillig geschehen?	If the existing means of bringing pressure to bear do not work, how can we expect this to work voluntarily when the economic situation is favourable?
Die Sozialdemokraten und die Kommunisten haben nicht verstanden, welche Änderungen der Euro gebracht hat.	The Social Democrats and the Communists have failed to understand the changes that the euro has brought about.
Vor dem Euro hat der Markt jene Staaten, die sich zu hoch verschuldet haben, offen und nachvollziehbar bestraft: mit hohen Zinsen für Staatsschulden, mit hoher Inflationsrate und mit Abwertung.	Before the euro existed, the market punished highly indebted states in an open and easily understandable way, by means of high interest rates for government borrowing, high inflation rates and devaluation.
Noch 1992 lag der Unterschied bei 6 Prozentpunkten.	As recently as 1992 there were differences of six percentage points.
Hören Sie doch einmal zu!	Just listen, please!
Sie wissen doch, dass ich Recht habe.	You know I am right.
6 Prozentpunkte!	Six percentage points!
Diese Differenz ist nicht mehr da.	That difference no longer exists.
Es gibt keinen Markt mehr, der die Staaten zur Finanzdisziplin zwingt.	There are no longer market forces that compel states to adhere to financial discipline.
Solange dieses Thema nicht angegangen wird – und sei es durch die EZB, durch eine differenzierte Bewertung der Staatsanleihen –, werden wir den Euro auf Dauer nicht stabil halten.	Unless the ECB tackles this problem by means of a system of differentiated assessment of state loans, the euro will not remain stable in the long run.
