Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen!	.
Es ist ein schönes Symbol, dass hier gleich Viktor Juschtschenko, der Präsident der Ukraine, des größten Nachbarlandes im Osten der Europäischen Union, sprechen wird und wir heute über die südliche Nachbarschaft der Europäischen Union sprechen, den Mittelmeerraum. Im Norden haben wir noch Norwegen, das sind freundschaftliche Beziehungen; im Westen ist der Atlantik, so dass es im Grunde genommen um unsere Nachbarn im Osten und im Süden geht.	Mr President, Commissioner, ladies and gentlemen, it is highly symbolic that Viktor Yushchenko, the President of Ukraine, the EU's largest neighbour on its eastern border, is about to address the House on a day when we are also debating the EU's relations with its southern neighbours in the Mediterranean region.In the North, there is Norway, with which relations are friendly; in the West, there is the Atlantic, which means that our primary focus must be on our neighbours to the east and south.
Und wir sagen allen unseren Nachbarn: Wir wollen eine Politik des Dialogs, der Partnerschaft und, wenn es geht, der Freundschaft.	With all our neighbours, we want to pursue a policy of dialogue, partnership and, if possible, friendship.
Unsere Fraktion, ebenso wie das gesamte Parlament, hat sich ja sehr für die Parlamentarische Versammlung Europa-Mittelmeer eingesetzt, und wir ehren unseren verstorbenen Kollegen Renzo Imbeni am besten dadurch, dass wir diese Parlamentarische Versammlung zu einem wirklich leistungsfähigen und zukunftsgerichteten parlamentarischen Organ entwickeln.	Our parliamentary group – like the House as a whole – actively supported the establishment of the Euro-Mediterranean Parliamentary Assembly, and the best tribute that we can pay to our late fellow-MEP Mr Renzo Imbeni is to make this Assembly a genuinely effective and forward-looking parliamentary body.
Zusammen mit unserem Kollegen Giorgos Dimitrakopoulos hat ja Renzo Imbeni diese Parlamentarische Versammlung mit unserer Unterstützung geschaffen.	With our support, and together with our colleague Giorgos Dimitrakopoulos, it was Renzo Imbeni who created this Parliamentary Assembly.
Ehren wir ihn also dadurch, dass wir dort gute Arbeit leisten!	Let us honour him by doing good work there.
Wir wollen mit unseren Partnern im Mittelmeerraum gemeinsame Lösungen finden, und ich finde es sehr anerkennenswert, Frau Kommissarin, dass Sie im Mittelmeerraum auch persönlich so engagiert sind.	We want to work towards joint solutions with our partners in the Mediterranean region, your personal commitment to which, Commissioner, I regard as very commendable.
Ich hätte es sogar begrüßt, wenn sich die Kommission hätte entscheiden können, ein nur für den Mittelmeerraum zuständiges Mitglied der Kommission zu berufen; ich habe aber keinen Zweifel daran, dass Sie sich so engagieren werden, dass dies einer solchen Entscheidung so gut wie gleichkommt.	I myself would have welcomed a Commission decision to appoint a Commissioner responsible solely for the Mediterranean region, but I have no doubt that your tremendous involvement will amount to virtually the same thing.
Wir müssen also gemeinsam mit unseren Partnern über die Zukunft des Mittelmeerraumes reden, und wir sagen der arabischen und islamischen Welt: Wir wollen Partnerschaft, wir wollen keinen , und unsere Beziehungen zur arabischen und islamischen Welt sind eine der ganz großen Prioritäten unserer Politik.	Our task, then, is to discuss the future of the Mediterranean region with our partners, and, to the Arab and Islamic world, we say this: we want partnership rather than a clash of civilizations, and our relations with the Arab and Islamic world are among our key policy priorities.
Dazu gehört, dass wir Frieden zwischen Israel und Palästina bekommen.	This includes achieving peace between Israel and Palestine.
Gerade weil der amerikanische Präsident Bush in Europa ist, sagen wir: Lassen Sie uns eine gemeinsame Anstrengung unternehmen, damit Israel in sicheren Grenzen leben kann, damit Palästina in sicheren Grenzen leben kann.	To President Bush, who is visiting Europe from the United States, we say this: let us make a joint effort to ensure that Israel can exist within secure borders and Palestine can exist within secure borders.
Vertreter beider Länder – wenn ich Palästina schon als ein Land bezeichnen kann – sind ja in der Parlamentarischen Versammlung Europa-Mittelmeer vertreten; wir müssen dort unsere Chancen nutzen, um Frieden in dieser Region zu schaffen.	After all, both countries – if I may call Palestine a country – are represented in the Euro-Mediterranean Parliamentary Assembly, and we must use our opportunities there to bring peace to this region.
Und wir sagen Syrien, mit dem wir ein Assoziierungsabkommen haben werden: Unterlassen Sie alles, was den Terrorismus fördert! Geben Sie dem Libanon wirklich eine Chance!	We urge Syria – with which we are about to conclude an Association Agreement – to renounce all activities that encourage terrorism, and to give Lebanon a genuine chance.
Wenn der frühere Ministerpräsident Hariri mit seinen Leibwächtern ermordet worden ist, so müssen wir feststellen, wer dafür verantwortlich ist.	Its former Prime Minister, Rafiq Hariri, has been assassinated along with his bodyguards, and we must find out who is responsible.
Wir bitten Syrien, seinen Beitrag zum Frieden zu leisten.	We urge Syria to make its contribution to peace.
Und noch eine abschließende Bemerkung: Wir wollen Partnerschaft, wir wollen wirtschaftliche Kontakte, wir wollen politische Kontakte, und wir wollen, dass die Menschenrechte überall im Mittelmeerraum garantiert werden.	Let me make one final comment: we want partnership, we want economic contacts, we want political contacts, and we want guaranteed human rights across the Mediterranean region.
Auch das ist ein wichtiger Beitrag zum Dialog, zur Partnerschaft und zum Frieden im Mittelmeer.	This too is a significant contribution to dialogue, partnership and peace in the Mediterranean.
