Herr Präsident, Herr Kommissar! Die Textilindustrie ist noch immer eine europäische Angelegenheit.	–Mr President, Commissioner, Europe still has cause to worry about its textile industry.
Als Vizepräsident der weltweiten Gewerkschaft für Textil-, Bekleidungs- und LederarbeiterInnen kenne ich die aktuelle Situation mit allen möglichen sozialen Folgen durch drohende Arbeitsplatzverluste nur zu gut.	As a Vice-President of the International Textile, Clothing and Leather Workers’ Association, I am only too familiar with the present situation, and with the potential social consequences of the job losses that are threatened.
Die Mitgliedstaaten sind wahrlich unterschiedlich auf die neue Situation vorbereitet.	The degree to which the Member States are prepared to meet the new situation does indeed vary widely.
Dass die wechselseitige Durchdringung mit Waren in der Weltwirtschaft immer stärker wird, ist klar und gilt natürlich auch für China.	That there is ever-increasing interpenetration of goods in the global economy is self-evident, and it is of course the case in China too.
Das ist auch mir klar. Allerdings gefährdet das derzeitige Tempo der Handelsliberalisierung mit noch nie da gewesenen Exportsteigerungsraten natürlich alles.	Even I can see that, but the rate at which trade is currently being liberalised, accompanied by exports increasing at an unheard-of rate, does of course jeopardise everything.
Allein in Europa sind über eine Million Arbeitsplätze akut gefährdet, weltweit – und das sage ich jetzt als Vizepräsident – stehen über 30 Millionen Textilarbeitsplätze unter Druck; ihnen droht Verschiebung.	In Europe alone, over a million jobs are seriously at risk, while on a global scale – and this I say with my vice-presidential hat on – over 30 million textile workers are under pressure, with the threat of their jobs going elsewhere.
Das ist die aktuelle Situation auf dem Weltmarkt.	That is how things stand on the global market at the moment.
Die Frage ist daher, ob die Mehrheit der EU-25 aus solidarischem Verständnis voll für Schutzklauseln eintritt und ob nach dem Hilferuf der Textilindustrie es auch möglich wäre, eine Beschleunigung des Verfahrens zu veranlassen.	The question is, then, whether the majority of the EU of 25 will, for reasons of solidarity, throw their weight behind protection clauses and whether, now that the textile industry has cried out for help, it might also be possible to get the process speeded up.
September kann zu spät sein.	September might be too late.
Heute ist es die Textilindustrie, morgen sind es die nächsten.	Today, it is the textile industry; tomorrow it will be someone else’s turn.
Das wäre der Appell an Sie.	It is in those terms that we appeal to you.
