Herr Präsident, meine Damen und Herren! Terrorismus ist eine riesengroße Gefahr.	Mr President, ladies and gentlemen, terrorism constitutes an extremely grave danger.
Das ist auch der Grund, warum wir uns heute damit beschäftigen und sogar sieben Berichte zu dem Thema vorliegen haben.	That is also the reason why we are dealing with it today and why we have no fewer than seven reports on the subject before us.
Das ist ein Problem, das nur gemeinsam, zusammen mit den verschiedenen Staaten in Europa zu lösen ist.	It is a problem that can only be solved jointly, together with the various governments in Europe.
Bei der Debatte eben habe ich manchmal gedacht: Hätten doch manche Bürgerinnen und Bürger, die in Frankreich und in den Niederlanden abgestimmt haben, ein Stück von dem mitbekommen, was uns hier bewegt, dann wäre vielleicht die eine oder andere Abstimmung anders ausgegangen, wenn man hätte deutlich machen können, dass es bei solchen Problemen eben nur eine Lösung gibt, wenn man gemeinsam handelt.	During this debate, the thought frequently crossed my mind that one or other of the referenda in France and the Netherlands might have had a different outcome if some voters had been more aware of the problems that concern us, if it could have been made clear that such problems are simply impossible to solve unless Europe acts as one.
Vielleicht sind die sieben unterschiedlichen Berichte und die Vielzahl der Modelle auch ein Hinweis darauf, dass wir uns auf das Wesentliche konzentrieren müssen, wenn wir wollen, dass Menschen das verstehen und sich auf diesen Weg einlassen.	Perhaps the seven different reports and the numerous models are also an indication that we must focus on the essentials if we want people to understand this need for joint action and to consent to the pursuit of this approach.
Es kommt nicht darauf an, dass wir permanent neue Vorschläge und neue Programme haben – und damit auch Erwartungen wecken –, sondern wir müssen dafür sorgen, dass die Menschen merken, dass das, was wir im Bereich Terrorismusbekämpfung machen, auch Wirkung hat, dass dabei etwas herauskommt, dass der EU-Koordinator für die Terrorismusbekämpfung nicht nur eine Behörde ist, sondern dass sie gemeinsam mit der Kommission auch eine Wirksamkeit erzielt, dass Europol, Eurojust handlungsfähig gemacht werden, dass demokratische Kontrolle stattfindet.	It is not a matter of forever producing new proposals and new programmes – and thereby raising people’s hopes too – but rather of ensuring that people take note that what we are doing to combat terrorism is bearing fruit, that the EU’s Counter-Terrorism Coordinator is not only a public authority but is also working successfully with the Commission in the quest for greater efficiency, that Europol and Eurojust are becoming effective instruments and that democratic control is taking place.
Es ist ganz wesentlich – und es wird auch in einem Bericht beschrieben –, dass wir uns selbst als Parlament in die Pflicht nehmen, dafür zu sorgen, dass Instrumente, die wir auf den Weg bringen, auch auf der Strecke überprüft werden.	It is absolutely imperative, as is stated in one of the reports, that we as a Parliament undertake to ensure that the instruments we introduce are subject to review during their lifetime.
Hatten sie eine Wirkung?	Have they had an effect?
Welche Wirkung hatten sie?	What effect have they had?
Kann man die eine oder andere Maßnahme zurücknehmen?	Are any specific measures dispensable?
Ist es nicht vielleicht wichtiger, sich auf das Wesentliche zu konzentrieren?	Is it not perhaps more important to focus on essentials?
Dabei bin ich beim letzten Punkt, der mir wichtig ist.	This brings me to the final point I feel it is important to make.
Ein Beispiel, an dem man sieht, wie man Vertrauen verspielen kann und ein wichtiges Anliegen nicht richtig bedient, ist das, was unter dem Stichwort Vorratsdatenspeicherung hier vorliegt oder zum soundsovielten Mal behandelt wird.	How trust can be squandered and how a key objective can be badly pursued are aptly illustrated by what we have on the table today under the heading of data retention, which is now being dealt with for the th time.
Das ist ein Beitrag, wo Aktionismus stattfindet, wo man scheinbar Menschen beruhigt, wo sich aber möglicherweise am Ende nichts ändert, was die Sicherheit der Menschen angeht.	This is a case where action is being taken for its own sake, where people are being mollified with measures that may ultimately do nothing to enhance their security.
Das ist dann allerdings kein Beitrag dazu, dass die Menschen Europa gut und wichtig finden und unsere Arbeit auch akzeptieren.	If that is so, it will not serve to persuade the public that Europe is important and beneficial and to make them accept the results of our work.
Dafür möchte ich auch nicht die Verantwortung übernehmen, und ich sage das hier zum fünften oder sechsten Mal: Die Verantwortung dafür haben dann die nationalen Regierungen, die hier in einen Aktionismus ausbrechen, weil sie ihr Gewissen beruhigen wollen, ohne dass sie bezüglich der Wirksamkeit etwas erreichen.	I should not like to be held responsible for the public perception of the European Union. For the fifth or sixth time, I say that responsibility for this lies with the national governments, whose outburst of hyperactivity is designed to salve their consciences without actually achieving anything in terms of greater effectiveness.
