. – Herr Präsident!	.
Ich muss gestehen, dass ich noch vor wenigen Wochen nicht mehr daran geglaubt habe, dass wir jemals der Beschlussfassung über unser Abgeordnetenstatut so nahe kommen werden, wie wir das heute sind.	Mr President, I have to admit that, as recently as a couple of weeks ago, I did not believe we would ever get as close as this to adopting our Members’ Statute.
Für diese unerwartete Wende ist insbesondere der luxemburger Präsidentschaft zu danken. Ich könnte mir allerdings vorstellen, dass dieser Präsidentschaft auf anderen Gebieten ein Erfolg lieber und wichtiger gewesen wäre.	If anyone in particular is to be thanked for this unexpected turn of events, it is the Luxembourg presidency, although I can well imagine that it would have preferred – and regarded it as more important – to achieve success elsewhere.
Ich möchte auch Ihnen, Herr Präsident unseres Hauses, für Ihren Einsatz in dieser Frage danken und ebenfalls dem Vorsitzenden unseres Rechtsausschusses.	I would also like to thank the President of this House for his efforts in this matter, along with the Chairman of our Committee on Legal Affairs.
Wenn wir jetzt dem Statut so nahe sind, dann möchte ich auch unserem früheren Kollegen und Berichterstatter Willy Rothley für seinen Einsatz für dieses Statut Tribut zollen. Auf seine Rolle wurde ja von Ratspräsident Schmit bereits hingewiesen.	Our being so close to having the Statute owes much to our former fellow Member and rapporteur Willy Rothley’s dedication, to which I would like to pay tribute, and which the President-in-Office of the Council has already mentioned.
Ich hoffe auch, in seinem Sinn zu handeln, wenn ich an drei grundlegende Aspekte erinnere, die uns immer für ein gemeinsames Statut haben eintreten lassen.	I hope I am doing what he would have wanted in recalling three fundamentals that have always underpinned our calls for a common statute.
Spätestens seit der Einführung der Direktwahlen zum Europäischen Parlament 1979 und der schrittweisen Verbesserung seiner Rechte und Befugnisse als Mitgesetzgeber der Union und als Haushaltsbehörde ist es völlig unangemessen und unwürdig, dass die Rechte seiner Abgeordneten nationalem Recht unterliegen, und dass wir am Gängelband nationaler Parlamente sind.	Quite apart from anything prior to that date, it was the introduction, in 1979, of direct elections to the European Parliament, and the progressive improvement of its rights and prerogatives as the joint legislator for the EU, and its budgetary authority, that made it wholly inappropriate and improper that the rights of its Members should be subject to national law and that we should be dependent on national parliaments.
Dies hatte bekanntlich auch zur Folge, dass wir Abgeordnete dieses gemeinsamen Parlaments jetzt 25 verschiedenen nationalen Regelungen unterliegen, was dem Grundsatz der Gleichwertigkeit aller Abgeordneten dieses Hauses Hohn spricht.	As is well known, one consequence of that is that we, Members of a single Parliament, are now subject to 25 different national systems of regulations, which makes a mockery of the principle that all Members of this House are equal.
Die hausinternen Regelungen - wie etwa die Aufbesserung von niedrigen Grundbezügen - sind nicht ganz zu Unrecht kritisiert worden.	There is some justification for the criticism that has been levelled at the internal arrangements, including the improvement in low basic rates of pay.
All dies sind mindestens drei gute Gründe dafür, dass jedes Abgeordnetenstatut besser als keines ist. Was wir aber jetzt nach langem Hin und Her zwischen Rat und Parlament vorliegen haben, ist sicher mehr.	All these things give us at least three good reasons why any Members’ Statute is better than none, but there is no doubt that what we now have before us, having for a long time been bounced back and forth between the Council and this House, adds up to more than that.
Es ist in der Summe ein ausgewogener und vertretbarer Vorschlag, der die oben angesprochenen Ausgangsprobleme löst. Dafür ist auch in Kauf zu nehmen, dass wir uns nur mit langen Übergangsfristen dem einheitlichen System nähern.	It adds up to a balanced and respectable proposal, and one that resolves the presenting problems to which I have already referred, although we have to take on board the need for long transitional periods as we move towards a standardised system.
