– Herr Präsident, Herr Premierminister Tony Blair! Sie treten ein schweres Erbe an.	Mr President, you, Mr Blair, are entering into a difficult inheritance.
Wir hatten gestern Premierminister Juncker in diesem Haus, wir haben seine Emotionalität, sein Engagement für die europäische Sache sehr geschätzt und ihm großen Beifall gespendet.	Yesterday, Mr Juncker was in this Chamber, and we very much appreciated and applauded his commitment – an emotional commitment – to the European cause.
Sie haben heute die andere Hälfte der Wahrheit gebracht, und ich kann sehr viel von dem verstehen. Und wenn viele Kolleginnen und Kollegen die Vorurteile, die sich in den letzten Jahren aufgebaut haben, abbauen würden, dann würden sie mit sehr viel von dem, was heute hier gesagt wurde, übereinstimmen.	You, today, have told us the other half of the truth, a great deal of which I can understand, and if many Members of this House were to rid themselves of the prejudices they have accumulated over recent years, they would find a lot in what has been said today that they would agree with.
Wir brauchen aber Ihr volles Engagement in Europa, Ihr persönliches und das Ihres Landes.	What Europe needs, though, is wholehearted commitment, both on your part and on that of your country.
Es ist nicht leicht bei der britischen Presse und Öffentlichkeit, aber was wir brauchen ist ein und kein , und ich hoffe, Sie sind ein Ratspräsident, der dieses vertritt.	The British press and public being what they are, that will not be easy, but what is needed is an opt-in rather than an opt-out, and I hope that you, as President-in-Office of the Council, will be putting the case for one.
Lassen Sie mich ein paar Punkte nennen: Erstens, die Arbeitslosigkeit. Sie haben hier in Großbritannien enorme Erfolge erzielt.	Let me mention a few issues, starting with unemployment, in respect of which you, in the UK, have notched up some enormous successes.
Wer es objektiv betrachtet, muss das zugeben.	Any objective observer must concede that.
Sie sind von einer sehr hohen Arbeitslosigkeit während der Thatcher-Ära zu einer sehr niedrigen Arbeitslosigkeit, einer der niedrigsten in Europa, gelangt.	Having had very high unemployment during the Thatcher era, it is now very low, among the lowest in Europe.
Das brauchen wir. Wir brauchen allerdings auch, wie Kollege Schulz gesagt hat, Jobs die Würde geben, gerade auch im Zusammenhang mit der Erweiterung.	That is the sort of thing we need, although – as Mr Schulz said – we also need jobs that confer dignity, particularly in view of enlargement.
Ich bin Ihnen sehr dankbar für Ihre Worte zu Gunsten der Erweiterung. Wir müssen jedoch darauf achten, dass es nicht zu neuen Spaltungen kommt, und nicht zum Missbrauch von Arbeitnehmern aus Osteuropa, die leider immer wieder extrem unterbezahlt werden.	I am very grateful to you for the sympathetic things you had to say about enlargement, but we have to ensure that there are no new divisions, and that the workers from Eastern Europe, who are, alas, perennially underpaid, are not exploited.
Wenn die Menschen sehen, dass dieses Europa für einen gemeinsamen Markt ist, aber gleichzeitig auch für jene öffentlichen Dienstleistungen, die ihnen sehr am Herzen liegen, dann werden sie auch die Liberalisierungsschritte durchaus akzeptieren.	This liberalisation process is something that people will accept if they see that this Europe of ours is all in favour not only of a common market, but also of the public services about which they care a great deal.
Zur Erweiterung: Sie haben vollkommen Recht. Wir können nicht Stopp machen.	You are entirely right in what you say about enlargement.
Wir müssen die Erweiterung allerdings in beiden Bereichen besser vorbereiten: in den neuen Mitgliedstaaten, aber auch in den bestehenden Mitgliedstaaten der Europäischen Union, denn es wurde oft zu Unrecht damit argumentiert, dass die Erweiterung eben zum Schaden der bestehenden Mitglieder ist.	We cannot call a halt to it, but we must make better preparations for it, both in the new Member States and in the existing Member States of the European Union, for the argument was often – and wrongly – deployed that enlargement would be to the detriment of the existing Member States.
Sie haben mit Recht gesagt, das stimmt nicht. Aber wir müssen das auch gegenüber der eigenen Bevölkerung vertreten.	You were right to say how false that is, but that is something we have to get across to our own people.
Ganz entscheidend ist auch die Außenpolitik.	Foreign policy will also be a decisive factor.
Herr Premierminister, Großbritannien hat traditionell gute Beziehungen zu den Vereinigten Staaten von Amerika.	Great Britain, the country of which you are the Prime Minister, has traditionally had good relations with the United States of America.
Sie haben besonders gute Beziehungen zu Präsident Bush. Das kann ein Vorteil für Europa sein, wenn klar ist, dass Sie auch für Europa sprechen, wenn klar ist, dass Sie die europäische Position in Washington vertreten.	You enjoy especially good relations with President Bush, and that can be to Europe’s benefit, provided that it is clear that you speak also for Europe; provided that it is clear that the position you represent in Washington is Europe’s.
Wenn Sie das tun, dann werden wir voll auf Ihrer Seite sein.	If you do that, we will be right behind you.
Eines der größten Projekte – sie haben es erwähnt – ist der Nahe Osten. Wir brauchen diesen Frieden im Nahen Osten, der Nahe Osten ist unsere Nachbarschaft.	One of the greatest projects – and one to which you referred – is the Middle East.
Es ist nicht irgendeine Region in der Welt. Es ist unsere Nachbarschaft, und wir brauchen den Friedensschluss zwischen den Palästinensern und den Israelis.	We need peace in the Middle East, for – far from being just any old region of the world – the Middle East is our own back yard, our own neighbourhood, and we need peace to be concluded between the Palestinians and the Israelis.
Sie haben versprochen, da sehr aktiv zu sein. Das waren Sie in den letzten Monaten auch, aber die kritische Phase kommt erst, wenn wir bedenken, dass der Abzug aus Gaza unmittelbar bevorsteht.	You have undertaken to play a very active part in bringing it about, and have indeed already been doing so over recent months, but the critical stage will come – as we must be aware – with the withdrawal from Gaza, which is imminent.
Aus einer europäischen Position heraus darf es nicht und heißen, sondern wir müssen hier eine fortschrittlichere Position beziehen.	The European position cannot amount to ‘Gaza first and last’; we have to take a more progressive line here.
Und zuletzt: Pflegen Sie Ihre guten Beziehungen zu Washington, aber Brüssel ist London näher als Washington.	Lastly, I urge you to cultivate your good relations with the Americans, but London is closer to Brussels than to Washington.
Auch wenn Präsident Bush Sie in Washington braucht, wir brauchen Sie hier in Brüssel.	Even if President Bush needs you in Washington, we need you here in Brussels.
