Herr Präsident!	.
Erlauben Sie mir einige Bemerkungen zum Bericht über den Jahresbericht der Europäischen Zentralbank.	Mr President, I would like to make a number of comments on the European Central Bank’s annual report.
Lassen Sie mich zunächst mit dem allgemeinen Hinweis beginnen, dass der Bericht angenehm aufgemacht ist und sich lohnt zu lesen.	Perhaps I might begin with the general observation that the report is agreeably presented and is worth reading.
Insbesondere ist angenehm, dass verschiedene Abteilungen gut sichtbar abgesetzt worden sind, und dass komplizierte finanzpolitische Themen in verständlicher Sprache erörtert worden sind.	What is particularly pleasing is that various sections are clearly distinguished from each other, and that complex financial matters are discussed in readily accessible language.
Insofern eignet sich dieses Thema zur weiteren Verbreitung.	This makes it possible for the subject matter to reach a wider audience.
Lassen Sie mich zum Inhalt kommen. Zunächst einmal hat die EZB insgesamt – und ich bin froh, dass der Präsident der Zentralbank heute hier sein kann – in einem schwierigen Jahr mit viel Geschick agiert.	If I may turn to the substance of the report, I will start by saying – and I am glad that the President of the ECB is here to hear me say this – that the Bank has, overall, acted throughout a difficult year with a great deal of acumen.
Im ersten Halbjahr war ein leichtes Wachstum mit mittel- und langfristigen Inflationserwartungen festzustellen. Im zweiten Halbjahr gab es die gegenteilige Entwicklung.	In the first half of the year, there was evidence of slight growth, with inflation expected in the medium and longer term, whilst the opposite happened in the second six months.
Insgesamt hat die EZB Mitte des Jahres erfolgreich der Versuchung widerstanden, die Zinsen zu erhöhen; sie hat sie vielmehr stabil gehalten.	Mid-year, the ECB was generally successful in resisting the temptation to raise interest rates, opting instead to keep them stable.
Dieses Szenario der Geldwertstabilität fand statt im letzten Jahr als einem von zehn Jahren, in dem die Weltwirtschaft mit 3,7% im Schnitt gewachsen ist. Es ist nur traurig, dass Europa sich von diesem Wachstum abgekoppelt hat.	Last year was not only a year in which we experienced price stability, but also one of ten in which the global economy grew by an average of 3.7%.
Das schwache Wirtschaftswachstum ist insbesondere – und darüber spricht auch die EZB – ein Resultat mangelnder notwendiger Strukturreformen in den Mitgliedstaaten.	The only sad thing is that Europe has cut itself off from this growth.
Also ist das schlechte Wachstum nicht Schuld der EZB. Die EZB weist im Gegenteil darauf hin, dass die Mitgliedstaaten hier mehr Verantwortung zu übernehmen haben.	As the ECB itself points out, poor economic growth is not least the result of the Member States’ failure to make the structural reforms that are necessary, and cannot therefore be blamed on the ECB, which, contrariwise, points out that the Member States need to shoulder more responsibility in this respect.
Vor diesem Hintergrund ist es ganz wichtig zu erkennen, dass sich die EZB in der Tat mit einigen bemerkenswerten Äußerungen kurz aber klar zur Reform des Stabilitäts- und Wachstumspakts geäußert hat.	This makes it very important to note that the ECB has in fact delivered itself of a number of brief but clear and notable statements on the reform of the Stability and Growth Pact.
Wir brauchen die Debatte hier nicht zu wiederholen, sie ist beendet. Aber wir sollten uns über die Konsequenzen im Klaren sein.	While the debate on this subject is at an end, and we do not have to have a re-run of it today, we should be clear in our own minds about the consequences.
Die Rigorosität der Kriterien ist mit der neuen Vereinbarung aufgegeben worden; dies schwächt die EZB.	As a result of the new agreement, the criteria have lost their rigour, and this weakens the ECB.
Der Job ist für die EZB schwieriger geworden, da eine Rückverlagerung der Verantwortung für die Stabilität in den Mitgliedstaaten erfolgt ist, und zwar insbesondere in drei Bereichen: Die Schwierigkeit, die Disziplin in den Mitgliedstaaten zu halten, ist enorm gewachsen, einmal was die Größe der nationalen Haushalte angeht, zweitens was die Struktur der staatlichen Aufgaben und Ausgaben angeht, und drittens hinsichtlich der Struktur der Steuereinnahmen.	As a result of responsibility for stability having been returned to the Member States, its job has become more difficult in three areas in particular: it has become immensely more difficult to maintain discipline in the Member States, firstly as regards the size of the national budgets, secondly in terms of the way in which the state’s functions and outgoings are structured, and, thirdly, as regards the structure of tax revenue.
Das heißt, die Mitgliedstaaten haben durch die Aufweichung des Stabilitäts- und Wachstumspakts eine Rückverlagerung von Verantwortung auf die Nationalstaaten vorgenommen und deshalb den Job der EZB in der Tat schwieriger gemacht.	What that means is that the greater laxity with which the Stability and Growth Pact is applied has enabled the Member States to achieve a renationalisation of responsibility and hence, in fact, to make it more difficult for the Bank to do its job.
Die EZB befürwortet den präventiven Arm.	The ECB advocates the use of the preventive mechanism.
Es ist durchaus ein Armutszeugnis, dass die Mitgliedstaaten den präventiven Arm in guten Zeiten nicht stärken konnten. Jetzt muss er gestärkt werden.	It is very much an indictment of the Member States that they were unable, in good times, to strengthen the preventive mechanism; that is now a matter of necessity.
