Herr Präsident, Herr Kommissar! Paul Rübig hat gesagt, die Menschen wollen länger gesund leben.	Mr President, Commissioner, as Mr Rübig said, people want to live longer and healthily.
Die Menschen in den Entwicklungsländern, über die wir hier sprechen, wollen leben dürfen. Und sie wollen würdig leben können.	The people in the developing countries, who are the subject of this debate, want to be allowed to live, and to live in a manner worthy of human beings.
Man könnte sagen: arm, krank, arbeitslos, hoffnungslos. Das ist eine Begriffskombination, bei der in diesen Ländern sehr oft das eine in das andere übergreift.	As one might put it: ‘poor, sick, unemployed, hopeless’ – in these countries the one state often leads to the other.
Für mich ist dieser Bericht ein Bericht, der die Augen öffnet, der Bewusstsein schafft, der aufschreit und der uns mit Krankheiten konfrontiert, die wir nicht einmal richtig aussprechen können, geschweige denn, dass wir wissen, wie viele Millionen Menschen darunter leiden.	I regard this report as an eye-opener; it raises awareness, cries out and brings us face to face with diseases that we cannot even pronounce properly even if we have any idea how many millions of people suffer from them.
Kaum ist die Vogelgrippe aufgetaucht, haben wir gesagt, wir in Europa sind darauf vorbereitet.	No sooner did avian flu pop up than we in Europe declared ourselves prepared for it.
Sind wir in Europa auf eine Ansteckung mit diesen Krankheiten vorbereitet?	Have we, in Europe, made preparations against infection with these diseases?
Nein.	We have not.
Sind wir vorbereitet und willens, alles daran zu setzen, um den Menschen zu helfen, in ihren Ländern diese Krankheiten zu bekämpfen?	Are we prepared and willing to help people fight these diseases in their own countries?
Nicht in ausreichendem Ausmaß.	Not to any adequate extent.
Ich möchte daher drei Vorschläge machen.	I want, then, to put forward three proposals.
Zum ersten: Wir haben unter der luxemburgischen Ratspräsidentschaft beschlossen, die Entwicklungshilfeleistungen in Europa auf 0,7% zu erhöhen.	Here comes the first; under the Luxembourg Presidency of the Council, we resolved to raise Europe’s development aid payments to 0.7%.
Ich halte es für dringend geboten, dass wir gemeinsam mit den Mitgliedstaaten ein Konzept entwickeln, wie viel davon für die Bekämpfung von Krankheiten und für den Gesundheitssektor ausgegeben wird, so dass Armut, Arbeit und Gesundheit entsprechend berücksichtigt werden.	We must, I think, as a matter of urgency, join together with the Member States in planning how much of that can be spent on combating disease and on the health sector, with due regard for poverty, work and health.
Zweitens: Wir sollten die Forschungsausgaben in Europa dafür erhöhen.	Secondly, we should increase the funding for research into them in Europe.
Drittens bitte ich Sie, alle Organisationen – ich stehe ja einer solchen vor –, die im Rahmen der Entwicklungspolitik EU-Gelder bekommen, einmal gemeinsam zu einer Konferenz einzuladen, damit wir erörtern können, wie wir zusammen in den Entwicklungsländern auch auf diesem Gebiet effizienter tätig sein können.	Thirdly, I ask that all organisations, such as the one I chair, that receive EU funds in connection with development policy, should be invited to a conference at which we could consider how, together, we might be more effectively active in these fields in the developing countries.
