. – Herr Präsident, liebe Kolleginnen und Kollegen!	.
Mit dem vorliegenden Richtlinienentwurf wird Basel II in der Europäischen Union umgesetzt. Damit wird die Grundlage dafür gelegt, die Stabilität der Finanzmärkte zu erhöhen.	Mr President, ladies and gentlemen, the object of this draft directive is the implementation of Basel II in the European Union, thereby establishing a basis on which the financial markets may be made more stable.
Die Bankenaufsicht kann effizienter gestaltet und dem Risikoaspekt mehr Gewicht beigemessen werden.	Banking supervision can be made more efficient and greater weight attached to the risk element involved.
Darüber hinaus werden Mindeststandards für risikobehaftete Geschäfte festgelegt.	The directive will also impose minimum standards for high-risk businesses.
Im Ausschuss für Wirtschaft und Währung haben wir das Thema Basel II intensiv diskutiert und rund 900 Änderungsanträge behandelt. Hinzu kam eine ganze Reihe von Kompromissänderungsanträgen, die der Berichterstatter, Herr Radwan, zusammen mit Herrn Ettl und mir erarbeitet hat.	In the Committee on Economic and Monetary Affairs, we have discussed Basel II in depth and worked our way through some 900 amendments, along with a whole array of compromise amendments that the rapporteur, Mr Radwan, drafted together with Mr Ettl and myself.
Ich möchte mich an dieser Stelle für die sehr vertrauensvolle und konstruktive Zusammenarbeit bedanken.	I would like at this point to express my gratitude for the high degree of trust in all this and for the constructive cooperation that we enjoyed.
In den anschließenden Troika-Diskussionen hat der Rat eine große Anzahl von Änderungsanträgen des Parlaments akzeptiert, und wir haben ihm manche Zugeständnisse und Kompromisse abgerungen, so dass der technisch-materielle Teil von Basel II als ausgewogen gelten kann.	In the ensuing troika discussions, the Council accepted many of Parliament’s amendments, and we managed to extract several concessions and compromises from it, with the effect that the technical substance of Basel II can be regarded as balanced.
Als Liberaler freue ich mich insbesondere, dass es gelungen ist, Regelungen zu finden, die faire Wettbewerbsbedingungen zwischen den unterschiedlichen Gruppierungen des Bankensektors sicherstellen können.	Speaking as a Liberal, I am particularly glad that we have managed to come up with rules that are capable of ensuring fair competitive conditions between the various groups in the banking sector.
Die Liberalen und Demokraten unterstützen das vorliegende Paket ausdrücklich.	This is a package that the Liberals and Democrats can strongly endorse.
In diesem Paket finden sich zwei Anträge zu islamischen Krediten und Hypothekarkrediten sowie einer zu Energiefirmen, die wir persönlich nicht gutheißen, denn Basel II sollte nicht als Mittel benutzt werden, um besondere Schutzmaßnahmen oder Sondersituationen für bestimmte Industriezweige zu schaffen.	It does, however include two amendments on Islamic loans and mortgages, and one on energy companies, to which we cannot give our backing, for Basel II was not intended to be used as a means of putting in place special safeguards for certain sectors of industry or creating special conditions for them.
Dennoch stimmen wir insgesamt für das gesamte Paket.	Despite that, we will, as a group, be voting in favour of the whole package.
Ebenfalls mit eingebracht haben wir die Änderungsanträge zum Es ist sehr positiv zu bewerten, dass diese aufgrund der guten und schnellen Arbeit der Kommission nun im Rahmen der Basel II-Abstimmung angenommen werden können und somit eine konsequente Anwendung in diesem Bereich gesichert wird.	It was our group that introduced the amendments relating to the trading book We see it as a very good thing that the good and fast work done by the Commission has now made it possible for these to be adopted in the course of the voting on Basel II, thus ensuring consistent implementation in this area.
Ein weiterer Bereich, der im Zusammenhang mit Basel II diskutiert wird – und alle Redner haben darauf schon Bezug genommen – ist natürlich die Frage der Komitologie.	Discussion of Basel II has of course touched on the subject of comitology, something about which all speakers have already had something to say.
Niemand bestreitet die Wichtigkeit und Nützlichkeit des Komitologieverfahrens. Auf diese Weise können Durchführungsbestimmungen zu Basisrechtsakten schnell erlassen werden.	The importance and usefulness of the comitology procedure is not a matter of dispute for any of us; it is a means whereby the rules implementing basic acts may be speedily enacted, but it is a procedure that must not be allowed to undermine Parliament’s prerogatives, for the enhancement of which the Constitutional Treaty makes provision.
Allerdings dürfen durch dieses Verfahren die Rechte des Parlaments nicht untergraben werden. Der Verfassungsvertrag sieht eine Stärkung der Rechte des Parlaments vor.	Uncertain though the future of that Treaty may be, Parliament’s concerns still matter and are still relevant.
Auch wenn die Zukunft dieses Vertrages ungewiss ist, bleibt das Anliegen des Parlaments von höchster Bedeutung und Aktualität.	As was only to be expected, the troika negotiations on comitology proved to be particularly problematic.
Die Troika-Verhandlungen haben sich bezüglich der Komitologie – wie zu erwarten war – als besonders schwierig erwiesen. Nach wochenlangem Druck von unserer Seite hat der Rat eine Arbeitsgruppe namens ins Leben gerufen – Kommissar McCreevy hat darauf Bezug genommen und somit erstmals anerkannt, dass eine neue interinstitutionelle Vereinbarung vonnöten ist und Handlungsbedarf besteht.	Weeks of pressure on our part prompted the Council to create a working party called ‘Friends of the Presidency’, which Commissioner McCreevy mentioned, thereby acknowledging for the first time the need for a new inter-institutional agreement and for action to be taken.
Versprechungen alleine dürfen uns aber nicht genügen.	We cannot, though, be satisfied with mere promises.
Wir wollen ein konkretes Datum, bis zu welchem es eine neue interinstitutionelle Vereinbarung geben wird, durch die unsere Rechte gestärkt werden.	What we want is a definite date by which there will be a new inter-institutional agreement to reinforce our rights
Wir schlagen dem Rat eine zum Datum 1.1.2008 vor, und wir warten jetzt auf seine Reaktion, die hoffentlich positiv ausfallen wird.	To the Council, we propose 1 January 2008 as the date for the sunset clause, and now await its response, which we hope will turn out to be favourable.
