Herr Präsident! Die Türkei macht es den Europa-Parlamentariern nicht leicht.	Mr President, the Turks are not making things easy for the Members of this House.
Wir müssen uns die Frage stellen: Was gilt?	We have to ask ourselves what is actually going on.
Was gilt in Sachen Zypern?	Where Cyprus is concerned, what is the truth of the matter?
Die indirekte Anerkennung durch die Ausdehnung des Zollabkommens ist auf der einen Seite vorhanden, aber gleichzeitig wird einseitig erklärt, dass man Zypern eben nicht anerkennt.	While the extension of the customs agreement amounts to its indirect recognition, a unilateral statement is made at the same time to the effect that it is not recognised at all.
Das ist ein einmaliger Fall in der Geschichte der Aufnahme von Beitrittsverhandlungen.	Never before, in the whole history of the opening of accession negotiations, has anything like this happened.
Es ist verständlich, dass die Türkei diese Haltung einnimmt, aber wir als Parlamentarier müssen diese Haltung des Druckmittels nicht tolerieren.	The Turkish attitude may well be understandable, but we, in this House, must not stand for this sort of coercion.
Zweitens – bisher hat mich noch niemand überzeugen können, dass die Türkei die politischen Kriterien erfüllt. Auf dem Papier vielleicht, aber nicht in der Realität.	I would like to say, secondly, that nobody has so far been able to convince me that Turkey meets the political criteria; it may do so on paper, but it does not in reality.
Autoren, die das Kurden- und Armenierproblem beim Namen nennen, werden vor den Kadi geschleppt und vor Gericht gezerrt.	Authors who make explicit reference to the Kurdish and Armenian problems are hauled off and find themselves in front of a judge.
Anwälte, die die Menschenrechte der Kurden verteidigen wollen, werden an der Ausübung ihres Mandats gehindert.	Lawyers who seek to defend the Kurds’ human rights are obstructed when they try to represent their clients.
Frauenfragen will ich hier gar nicht ansprechen, sie sind weit von den europäischen Standards entfernt.	I do not want to go into the issues surrounding women’s rights, but they fall a long way short of European standards.
Die EU hat sich verpflichtet, die Verhandlungen mit der Türkei aufzunehmen, weil sie sich Fortschritte in der Menschenrechtsfrage erhofft. Aber die Crux ist, dass wir hier zweierlei Maß anlegen.	It was in the hope of progress in relation to human rights that the EU undertook to open negotiations with Turkey, but the crucial thing is that we are applying dual standards here.
Wir behandeln die Türkei wesentlich toleranter als beispielsweise Kroatien, das in dieser Frage wesentlich mehr Fortschritte auf den Tisch legt und den Aktionsplan entsprechend der des Europäischen Rates erfüllt.	We are, for example, taking a far more tolerant line towards Turkey than towards Croatia, which has produced far more evidence of progress in this area and is meeting the targets of the Council Task Force’s Action Plan.
Der Bericht Eurlings versucht die Quadratur des Kreises.	The Eurlings report represents an attempt at squaring the circle.
Wenn der offene Ausgang der Verhandlungen nicht in irgendeiner Form hier festgeschrieben wird, wenn diese Minimalforderungen, diese zwei Zusatzanträge, die die EVP-DE hier stellt, vom Europäischen Parlament nicht erfüllt werden, dann bin ich dafür, dass man diesen gesamten Bericht ablehnt, um vor dem 3. Oktober ein Zeichen zu setzen, auch in Richtung des Rates.	If it is not somehow laid down in black and white that these negotiations are open-ended, and if this House’s minimum requirements, as set out in these two additional amendments tabled by the Group of the European People’s Party (Christian Democrats) and European Democrats, are not complied with, then I am in favour of rejecting the whole report in order, before 3 October, to send a message, not least to the Council.
