. Herr Präsident, meine Damen und Herren!	.
Wer Herrn Poettering aufmerksam zugehört hat, kommt eigentlich nur zu einem Schluss. Es wäre besser, Herr Poettering, Sie würden sagen, wir wollen die Türkei nicht als Vollmitglied in der Europäischen Union.	Mr President, ladies and gentlemen, listening attentively to Mr Poettering, there is only one conclusion to which one can come, and that is that it would be better if he were to say that he and his group do not want Turkey as a full member of the European Union.
Denn das ist die Botschaft Ihrer Rede. Dann sagen Sie es doch!	That is the message contained in his speech, so let him say so, rather than pussyfooting around the issue.
Das, was Sie hier machen, ist doch ein Eiertanz um die Kernaussage herum. Sie wollen die Türkei nicht in der Europäischen Union als Vollmitglied, sagen Sie das doch!	If he does not want Turkey to be a full member of the European Union, then let him say so.
Es gibt auch Mitglieder Ihrer Fraktion, die schalten das in Großanzeigen auf ihrer Website.	His group’s website includes pages full of some of its members saying that very thing.
Das ist der Punkt, um den es geht und um den Sie sich hier herumdrücken.	That is the point at issue and that is what he is fighting shy of.
Wir sagen Ihnen, was unsere Fraktion will.	Let me tell you what our group wants.
Am 3. Oktober soll nach dem, was die Staats- und Regierungschefs – 18 von denen kommen aus Ihrer politischen Familie – beschlossen haben, der Beitrittsprozess durch Verhandlungen eröffnet werden, die zehn bis fünfzehn Jahre in Anspruch nehmen werden und die es nicht zum Nulltarif gibt, sondern deren Bedingungen im Rat auf Vorschlag der Kommission definiert werden und zu denen wir hier heute sprechen.	It has been decided by the Heads of State or Government, 18 of whom are Mr Poettering’s political allies, that 3 October is to be the day on which the accession negotiations are to be kicked off; they will take between ten and fifteen years and are not a free ride, for their conditions have been proposed by the Commission and defined by the Council, and it is these that we are discussing today.
Ich will ein paar Bedingungen nennen, die unverzichtbar sind.	Let me name a couple of conditions that are indispensable.
Wenn die Türkei der Europäischen Union beitreten will, muss sie Grundvoraussetzungen erfüllen.	If Turkey wants to join the European Union, there are fundamental conditions with which it must comply.
In einem Punkt sind wir uns einig: Es kann nicht sein, dass ein Land sich um die Mitgliedschaft in der Europäischen Union bewirbt und ein anderes Mitgliedsland nicht anerkennt.	One thing on which we do agree is that a country cannot seek membership of the European Union while not recognising one of its Member States; that is impossible.
Das ist unmöglich! Deshalb sagen wir, die Anerkennung kann nicht Voraussetzung für die Eröffnung der Verhandlungen sein, aber sie muss im Verlauf der Verhandlungen erfolgen.	We therefore argue that the commencement of negotiations cannot be conditional upon recognition, but recognition must be forthcoming at some point during their course.
Wir sagen auch klar: Das kann nicht am Ende eines fünfzehnjährigen Prozesses sein; es muss unmittelbar, etwa in den ersten ein bis zwei Jahren, geschehen. Wenn die Implementierung, von der der Kollege Brok gesprochen hat, nicht erfolgt, wenn die Anerkennung Zyperns nicht erfolgt, dann müssen die Beitrittsverhandlungen ausgesetzt werden.	We also want to make it clear that we cannot wait until the end of a fifteen-year process for it; it must happen at once, at some point in the first or second year, and if the protocol to which Mr Brok referred is not put into effect, which means that Cyprus is not recognised, then the accession negotiations will have to be suspended.
Ich freue mich ja, dass Sie so auf unserer Seite stehen, aber Sie müssen mit dem Beifall noch ein bisschen warten, liebe Kollegen, es kommt noch mehr.	Delighted though I am that Mr Poettering agrees with us about this, I ask the House to hold the applause a moment or two longer, for there is more to come.
Wer die Europäische Union allerdings erweitern will, der muss die Europäische Union auch erweiterungsfähig machen.	If you want to enlarge the European Union, you have to make it fit for enlargement.
Auch darüber sind wir uns einig, das steht in dieser gemeinsamen Entschließung.	That is something else on which we agree, and this joint resolution says so.
Nun, lieber Kollege Poettering, Sie müssen immer sehr präzise formulieren, dann versteht man Sie besser.	If Mr Poettering wants to be better understood, he will have to be very precise in the language he uses.
Wenn die Europäische Union für die Türkei nicht aufnahmefähig ist, dann ist sie auch nicht aufnahmefähig für Kroatien.	If the European Union does not have the capacity to cope with Turkey’s accession, then it cannot cope with Croatia’s either.
Ich will Ihnen sagen, was die Botschaft Ihrer Politik ist: Die Türkei wollen wir nicht, die ist weit weg und islamisch. Kroatien ist katholisch, konservativ und nah; deshalb wollen wir es.	I can tell Mr Poettering what his group, by its policy, is saying: it is saying that it does not want Turkey because Turkey is distant and Muslim, but that Croatia is acceptable on the grounds of being Catholic, conservative and close at hand.
Das ist die eigentliche Politik Ihrer Fraktion. Sie ist scheinheilig und sonst überhaupt nichts!	That is what his group’s policy adds up to: hypocrisy and nothing more!
Man kann einem Kandidatenland nicht 40 Jahre lang versprechen: Ihr könnt Mitglied der Union werden. Man kann nicht diesem Land Transformationsprozesse abverlangen, denen es sich unterworfen hat.	It is not acceptable to string a candidate country along for 40 years with promises of EU membership; it is not acceptable to demand of such a country that it put itself through processes of transformation that it has already undergone.
Die Fortschritte bei der Demokratisierung waren unter keiner konservativen Regierung – ob von Çiller geführt oder von Yilmaz, Ihrem besonderen Freund – so weit vorangeschritten wie unter der Regierung Erdoğan.	Under no conservative government – whether that of Mrs Çiller or that of Mr Poettering’s great mate Mr Yilmaz – has Turkey made such progress towards democracy as it has done under Mr Erdoğan.
Deshalb sage ich Ihnen in aller Deutlichkeit: Den Sicherheitszuwachs, der aus einer Vollmitgliedschaft erwachsen könnte, dürfen Sie nicht unterschätzen.	So let me spell out the fact that the increase in security that could result from Turkey’s full membership is not to be underestimated.
Aber man darf – und das ist auch an unsere eigene Adresse gerichtet – auch nicht blauäugig sein und sagen, der Beitritt kann morgen erfolgen.	We cannot, however – and I include my own group in this – be naive and say that it can join tomorrow.
Er ist geknüpft an Bedingungen, aber beidseitig.	Its accession is dependent on conditions, and those conditions apply to both parties.
