Herr Präsident! Wir sprechen hier sehr viel über die Fragen der Technologie.	Mr President, here in this House, we have a lot to say about issues relating to technology.
Es geht aber um Rundfunk.	What we are talking about now, though, is broadcasting.
Rundfunk ist nicht nur Technologie, sondern Rundfunk ist grundlegend für drei Bereiche in unserer Gesellschaft, die uns wichtig sein sollten: für die Kultur, für den sozialen Zusammenhalt und für die demokratische Entwicklung.	Broadcasting is not just technology; it is fundamental to three areas in our society that should be important to us: culture, social cohesion and the development of democracy.
Deshalb reicht es nicht aus, nur über Technologie zu sprechen.	That is why it is not enough to talk only about technology.
Die Technologie ist sehr wichtig. Sie ist gerade im Rundfunkbereich der Motor für die digitale Revolution.	Technology is very important; being the engine of the digital revolution in broadcasting, it is also the engine for the creation of urgently-needed jobs with good prospects.
Sie ist damit auch der Motor für die Entwicklung von dringend notwendigen, zukunftsorientierten Arbeitsplätzen.	It is for that reason, though, that broadcasting is both a cultural and an economic asset.
Der Rundfunk ist aber deshalb gleichermaßen Kultur und Wirtschaftsgut. Mein dringender Appell an die Kommission ist, diese Ambivalenz und diese Doppelseitigkeit des Rundfunks ernster zu nehmen, als es in den bisherigen Papieren und Mitteilungen der Kommission deutlich wird.	I appeal to the Commission, as a matter of urgency, to take broadcasting’s ambivalence and duality more seriously than it has done in its previous papers and communications.
Deshalb begrüße ich die Entschließung des Ausschusses für Industrie, Forschung und Energie und hoffe sehr, dass wir in Zukunft die Zusammenarbeit zwischen dem Industrieausschuss und dem Ausschuss für Kultur und Bildung ausweiten können.	It is for that reason that I welcome the resolution from the Committee on Industry, Research and Energy and very much hope that we will, in future, be able to develop cooperation between it and the Committee for Culture and Education.
Die Entschließung ist dazu eine sehr gute Grundlage. Ich bitte die Kommission eindringlich, diese Entschließung ernst zu nehmen, wenn sie die Umstellung tatsächlich in den nächsten Jahren schaffen will.	The resolution is a very good basis on which to do that, and I urge the Commission to take it seriously if it really does want to accomplish the changeover in the next few years.
Dringend notwendig sind politische Zielsetzungen, wie diese Umstellung technologisch unter dem Gesichtspunkt der kulturellen, sozialen und demokratischen Zusammenarbeit erfolgen soll.	There is a pressing need for policy goals setting out how this is to be done, not only in terms of the technology involved, but also of cultural, social and democratic cooperation.
Wenn Sie die Mitgliedstaaten tatsächlich dazu in die Lage versetzen wollen, ist es dringend notwendig, die Frage der Beihilfen und des europäischen Wettbewerbsrechts zu klären.	If you really do want to empower the Member States to do that, then issues of subsidies and of European competition law need to be resolved as a matter of urgency.
Sie sehen, dass wir diese Entschließung sehr ernst nehmen werden und bitten die Kommission eindringlich, sie im Interesse der Bürgerinnen und Bürger ebenfalls ernst zu nehmen.	It will be apparent to the House that we take this resolution very seriously, and we urge the Commission, for the public’s sake, to do likewise.
