Herr Präsident! 25 Millionen Kleinunternehmen beschäftigen fast 100 Millionen Menschen.	– Mr President, there are 25 million small enterprises employing almost 100 million people.
Sie stellen weit über die Hälfte aller privaten Jobs in der EU und haben eine große Bedeutung für die regionale, kulturelle und soziale Entwicklung auch im ländlichen Raum.	These small enterprises provide well over half of private jobs in the EU and are of great importance to regional, cultural and social development, including in rural areas.
Sie haben es verdient, dass wir uns in jedem Jahr mit ihren Innovations- und Wettbewerbschancen befassen.	They deserve to see their opportunities for innovation and competitive prospects discussed every year.
Ihr Gewicht hat heute – die Kolleginnen haben schon darauf hingewiesen – Wolfgang Schüssel bei der Vorstellung der österreichischen Ratspräsidentschaft unterstrichen, indem er forderte, „den schlafenden Riesen zu wecken“.	As my fellow Members have already pointed out, the importance of these enterprises was underlined today by Wolfgang Schüssel during his presentation of the programme of the Austrian Council Presidency, when he called for us to ‘wake the sleeping giant’.
Ich bin ganz seiner Meinung.	I fully agree with him.
Von vielen Seiten gibt es aber auch Kritik an der Charta, weil sie zu viele unverbindliche Appelle enthält.	There has also been criticism of the Charter from many quarters, however, on the grounds that it contains too many non-binding appeals.
Auch ich wünsche mir handfeste Maßnahmen auf Gemeinschaftsebene und – Kommissar Verheugen hat es gesagt – auf der Ebene der Mitgliedstaaten.	I, too, should like to see substantial measures at Community and, as Commissioner Verheugen said, Member State level.
Immerhin sind die zehn Aktionslinien der Charta wichtige Leitgedanken, um den Austausch der bewährten Verfahren zu verstärken, die Gründung neuer Unternehmen zu fördern und insgesamt ein positives Umfeld zu schaffen.	At any event, the 10 lines for action in the Charter are important orientations for enhancing the exchange of best practice, promoting the setting-up of new enterprises and generally creating a positive environment.
Das fängt im Schulunterricht an, und da haben wir von der Primarstufe an wichtige Akzente zu setzen.	This starts in school lessons, and we have to set the tone for it from primary level onwards.
Hier ist Finnland erneut ein Vorbild.	Once again, Finland is a good example of this.
Die Niederlande sind beispielhaft für die Vereinfachung von Vorschriften, nicht zuletzt aufgrund ihrer standardisierten Folgenabschätzungen.	The Netherlands is exemplary with regard to the simplification of regulations, particularly on account of its standardised impact assessments.
Die erheblichen bürokratischen und steuerlichen Hindernisse in den Mitgliedstaaten müssen weiter abgebaut werden, da sind wir einverstanden.	We agree that work on dismantling the considerable bureaucratic and tax obstacles in the Member States must continue.
Fördermittel sollten von der Unternehmensbesteuerung gänzlich befreit werden, das ist wichtig.	It is important that subsidies be fully exempt from corporation tax.
In unserem mitberatenden Ausschuss für Beschäftigung und soziale Angelegenheiten hat Philip Bushill-Matthews einen sehr guten Bericht verfasst.	A very good report has been drawn up by Mr Bushill-Matthews in our advisory committee, the Committee on Employment and Social Affairs.
Ich denke an den Vorschlag, ein Grünbuch zum Abbau dieser Hindernisse zu erarbeiten, ebenso wie an die Forderung eines verbesserten Zugangs zu Strukturfonds und zum Risikokapitalfonds.	I am thinking in particular of the suggestion to draw up a Green Paper on the reduction of these barriers, and of the call for better access to the Structural Funds and to risk capital funds.
Ich halte es persönlich für wichtig, dass kleine Unternehmen beim transnationalen Austausch ihre Auszubildenden und ihre weiteren Mitarbeiter im Rahmen des Programms Leonardo und anderer Programme verstärkt fördern.	Personally, I consider it important that small enterprises promote their apprentices and other staff more through transnational exchanges within the framework of programmes such as the Leonardo da Vinci apprentice exchange programme.
So wird die Mobilität erhöht und gleichzeitig eine Voraussetzung dafür geschaffen, dass Klein- und Kleinstunternehmen in Zukunft sehr viel besser zusammenarbeiten.	This will increase mobility and at the same time create one of the preconditions for small- and micro-enterprises to work together very much better in future.
