Herr Präsident, Herr Kommissar, liebe Kolleginnen und Kollegen!	.
Im September 2001 wurde von der Kommission das neue Weißbuch unter dem Titel „Die europäische Verkehrspolitik bis 2010 – Weichenstellung für die Zukunft“ verabschiedet. In diesem Weißbuch wurden die Entwicklungsperspektiven bis zu diesem Datum skizziert.	Mr President, Commissioner, ladies and gentlemen, it was in September 2001 that the Commission adopted the new White Paper entitled ‘European Transport Policy for 2010 – Time to Decide’, in which the prospects for development until that date were sketched out, and in which the Commission proposed some 60 different measures and an action programme with the main aim of making transport safer.
Die Kommission schlug darin gleichzeitig etwa 60 verschiedene Maßnahmen und ein Aktionsprogramm vor, insbesondere zur Erhöhung der Verkehrssicherheit. Eine gute Möglichkeit, positive Absichten in konkrete Politik umzuformen, ergab sich natürlich mit der Vorlage der heute hier zur Debatte stehenden Dossiers über die Lenk- und Ruhezeiten der Kraftfahrer sowie die dazugehörige Kontrollrichtlinie zur Einhaltung der in der ersten Verordnung vorgeschriebenen Bedingungen.	Its presentation of the dossier we are debating today – on driving times and drivers’ rest periods and the associated directive on the monitoring of compliance with the conditions imposed by the first directive – did, of course, offer a good opportunity to turn good intentions into practical policies.
Bei der Bewertung der im Vermittlungsausschuss zwischen Rat und Parlament erzielten Ergebnisse gilt es also vorrangig zu hinterfragen, ob die Ziele, die wir uns selber gesetzt hatten, erreicht worden sind, nämlich erstens die Verbesserung und Harmonisierung der Arbeitsbedingungen der Berufskraftfahrer, zweitens die Erhöhung der Straßenverkehrssicherheit und drittens die Herstellung fairer Wettbewerbsbedingungen für alle Beteiligten.	It follows that the main question to ask when assessing what came out of the committee for conciliation between the Council and Parliament is whether the goals we have set ourselves have been achieved, the first of those being the improvement and harmonisation of professional drivers’ working conditions, the second being improved road safety and the third the creation of fair conditions under which all interested parties compete.
Lassen Sie mich die wichtigsten Resultate des jetzt vorliegenden Kompromisses benennen:	I will now proceed to set out the most important consequences of this compromise.
Erstens: Die tägliche Lenkzeit darf neun Stunden nicht überschreiten. Zweitens: Die wöchentliche Lenkzeit darf 56 Stunden nicht überschreiten und nicht dazu führen, dass die in der Arbeitszeitrichtlinie festgelegte Höchstarbeitszeit überschritten wird.	The first is that the time driven must not exceed nine hours in any given day, the second that it must not exceed 56 hours in a week and must not result in the maximum working time specified in the Working Time Directive being exceeded.
Drittens: Die summierte Gesamtlenkzeit innerhalb von zwei Wochen darf 90 Stunden nicht überschreiten.	Thirdly, total driving time over a period of two weeks must not exceed 90 hours.
Viertens: Die regelmäßige tägliche Ruhezeit beträgt elf Stunden hintereinander oder aber bei einer Zweiteilung drei und neun Stunden.	Fourthly, the regular daily rest period is equivalent to eleven hours, either consecutively or divided into two periods of three and nine hours respectively.
Das hat insbesondere dem Wunsch der Kraftfahrer nach mehr Flexibilität entsprochen, weil die Ruhezeiten im Winter und Sommer unter unterschiedlichen klimatischen Bedingungen doch sehr unterschiedlich genutzt werden können.	This is in response to the desire for more flexibility expressed by the drivers, who will be able to use the rest periods in very different ways in the different climate conditions that prevail in winter and summer respectively.
Fünftens: Die regelmäßige wöchentliche Ruhezeit ist auf mindestens 45 Stunden festgeschrieben. Sechstens: Der digitale Tachograf wurde eingeführt, wodurch eine erweiterte und verbesserte Kontrolle der Einhaltung der Vorschriften möglich ist.	The fifth point is that the regulated rest time in a given week is fixed at a minimum of 45 hours, and the sixth that the report introduces the digital tachograph, thereby making possible extended and improved monitoring of compliance with the regulations.
Siebtens: Die Haftung der Verkehrsunternehmen wurde klar geregelt.	Seventhly, there are clear rules on the hauliers’ liability.
Achtens: Die vorgeschriebene Kontrolldichte wurde erhöht, nämlich ab 2008 auf 2 % und ab 2010 auf 3 %.	Eighthly, the prescribed checking sample has been increased to 2% starting in 2008 and to 3% from 2010 onwards.
Neuntens: Die Kontrollen müssen sowohl auf der Straße als auch auf dem Betriebsgelände der Unternehmen vollzogen werden.	The ninth point I want to make is that the checks must be carried out not only on the road but also on the company’s premises.
Wenn man die jetzt zur Debatte stehenden Dokumente mit den vorher gültigen vergleicht, dann kann man durchaus feststellen, dass es keine einzige Verschlechterung gegeben hat.	One can readily observe, from a comparison between the documents under consideration and those that formerly applied, that in no respect whatever have conditions been made worse.
Wenn man jedoch die erzielten Ergebnisse mit den Vorstellungen, die wir am Anfang bei der Bearbeitung hatten, auf die Waagschale legt, dann kommt man teilweise zu anderen Resultaten.	If, however, one weighs in the balance the results achieved with our initial conception of how things would turn out, one does come to a different conclusion in respect of certain of them.
Einige Beispiele: Erstens: Fahrzeuge unter 3,5 Tonnen sind von der Verordnung ausgenommen, obwohl immer mehr Transporte in diesen Gewichtskategorien vorgenommen werden und die Unfallhäufigkeit steigt.	Let me give you a few examples, the first being that the regulation does not apply to vehicles of less than 3.5 tonnes in weight, even though such vehicles are used to carry goods on more and more journeys, and are involved in more and more accidents.
Zweitens: Es gibt lediglich zwei Verweise auf die Arbeitszeitrichtlinie, jedoch keine Kontrolle derselben während der Lenk- und Ruhezeitkontrollen.	The second is that there are only two references to the Working Time Directive, yet compliance with its provisions is not monitored at the same time as compliance with the rules on driving times and rest periods.
Dadurch ist meines Erachtens bei weitem nicht garantiert, dass Übermüdung und Überschreitung der Höchstzeiten reduziert werden oder gar nicht mehr vorkommen.	I do not believe that this goes anything like far enough to guarantee that drivers will be less likely to become over-tired or that it will be less likely that the maximum times will be exceeded, or that these things will not happen at all.
Drittens: Obwohl im Anhang zur Kontrollrichtlinie definiert wurde, was als Verstoß gegen die Verordnung anzusehen ist, gibt es keine rechtsverbindliche Harmonisierung derselben.	Thirdly, although the annex to the monitoring directive includes a definition of what is meant by an offence against the regulation, this is not harmonised in any legally binding way.
Viertens: Es gibt keinerlei Festlegungen über harmonisierte Sanktionen. Dies bedeutet, dass die Mitgliedstaaten nach wie vor unterschiedliche Strafen für gleiche Verstöße zum Ansatz bringen.	Fourthly, no provision is made for harmonised sanctions, with the consequence that the Member States can still impose different penalties for the same offence.
Wenn man das alles abwägt, kann man durchaus sagen, dass wir gemeinsam eine Menge flexibler Lösungen gefunden haben. Natürlich hoffen wir, dass sich diese Gesetzgebung auch in dem vorgesehenen Zeitraum von zwei Jahren im dann neuen AETR wieder findet und damit auch für die Staaten, die nicht Mitgliedstaaten der Europäischen Union sind, aber dennoch die Straßen der Europäischen Union befahren, gültig ist, um so tatsächlich Wettbewerbsgleichheit insgesamt herzustellen.	All these things considered, it can certainly be said that we have, together, come up with plenty of flexible solutions, and we do of course hope that this legislation will, during the planned period of two years, find its way into the new AETR and thus become applicable to those states that are not members of the European Union, but whose vehicles do use the EU’s roads, so that equality of competition may be established across the board.
Persönlich – das wissen die meisten von Ihnen – habe ich im Vermittlungsausschuss gegen den erzielten Kompromiss gestimmt. Dies tat ich aus der Überzeugung heraus, dass das Parlament mehr erreichen hätte können und die dortige Mehrheit die Verhandlungen mit dem Rat zu früh eingestellt hat.	As most of you know, I, in the conciliation committee, voted against the compromise we had achieved, and I did so out of the conviction that this House could have achieved more and that our majority on the committee was too hasty in calling a halt to negotiations with the Council.
Demzufolge kann ich es durchaus nachvollziehen, wenn es bei der heutigen Abstimmung nicht nur Befürworter des jetzt vorliegenden Kompromisses gibt.	That being so, I can very definitely understand that there will be those taking part in today’s vote who are not among the advocates of this compromise.
Die meisten von der Verordnung und Richtlinie Betroffenen sind zwar nicht richtig glücklich, haben sich aber absolut mehrheitlich für die Annahme dieser zwei Dossiers ausgesprochen. Dem werde ich dann mit meinem Votum auch Rechnung tragen.	Although most of those affected by the regulation and the directive are not exactly jumping for joy, an absolute majority of them have expressed their support for the adoption of these two dossiers, and my vote will reflect that.
