. – Herr Präsident! Das Gegenteil hätte mich gewundert!	. – Mr President, I should have been surprised if it did not.
Ich bitte allerdings auch, darüber nachzudenken, was wichtiger ist: dass wir Zeit für eine vernünftige Aussprache haben, oder dass hier Kollegen schimpfen, wenn abgestimmt wird.	However, I should also like to ask the House to reflect on what is more important: having time for a proper debate, or Members of this House complaining when a vote is taken.
Ich hätte den Ausführungen von Herrn Gahler gerne noch zu Ende zugehört, weil sie sehr spannend waren.	I should have liked to hear Mr Gahler out, as what he was saying was most fascinating.
Die Frage, die er aufgeworfen hat, ist ja eine der Fragen, die uns zurzeit am stärksten beschäftigen.	Indeed, the question he raised is one of the ones that preoccupies us most at the present time.
Wie gehen wir mit einem Regime um, das seinerseits ganz offensichtlich alle Grenzen austestet?	How do we deal with a regime that is quite blatantly pushing all its boundaries?
Welche Antworten geben wir als Staatengemeinschaft darauf?	How do we respond to that as an international community?
Ich will in meinen Ausführungen versuchen, diesen Fragen einige Fragen aus der Sicht meiner Fraktion hinzuzufügen.	In my speech I shall try to add some further questions from the point of view of my group.
Die Äußerungen des iranischen Staatspräsidenten braucht man hier in dieser Versammlung nicht zu kommentieren.	It is not necessary to comment in this House on the remarks made by the Iranian President.
Ein Staatschef, der den Holocaust leugnet, der das Existenzrecht Israels in Frage stellt, ist kein Dialogpartner für uns.	A Head of State who denies the Holocaust, and who calls into question Israel’s right to exist, is not a fitting dialogue partner for us.
Alles, was Herr Ahmadinedschad an Werten repräsentiert, ist das Gegenteil von dem, was wir an Werten repräsentieren, und ich würde mich darüber freuen, dass wir mit diesen Leuten eine Wertedebatte führen.	All the values that President Ahmadinejad stands for are the opposite of those we stand for, and I should welcome a debate on values with these people.
Das haben wir heute Morgen schon getan, das war gut, das war seriös und überlegt.	We have already had a debate on values this morning; and that was good – it was a serious, considered debate.
Diese Debatte, auf ruhigem Niveau und selbstbewusst, sollten wir führen und danach schauen, ob es in der Region neben Herrn Ahmadinedschad andere Dialogpartner für uns gibt.	We should hold a calm, self-confident debate, and see whether there are others in the region besides President Ahmadinejad with whom we can hold dialogue.
Bevor wir über das Ende unserer Optionen philosophieren sollten wir über den Anfang unserer Möglichkeiten nachdenken.	We should reflect on options open to us before we philosophise about options closing.
Gibt es in der Region nicht genügend moderate, dialogbereite Staaten, mit denen wir kooperieren können, die vielleicht nicht unsere Werte eins zu eins teilen, aber die auch ihrerseits überhaupt kein Interesse daran haben, dass der Iran zur atomar gerüsteten Vormacht in der Region wird.	Are there not sufficient moderate countries in the region who are open to dialogue and with whom we can cooperate, who may not share our values one-to-one, but to whose interests it is also entirely detrimental to have Iran become a leading nuclear power in the region?
Diese Staaten gibt es, und sie sind meiner Meinung nach der geeignete Dialogpartner für die Europäische Union.	Yes, there are, and, in my view, they are suitable dialogue partners for the EU.
In diesem Zusammenhang kommt natürlich der Karikaturenstreit nicht nur zum ungünstigsten Zeitpunkt, sondern ist geradezu extrem kontraproduktiv. Denn gerade diese Staaten brauchen wir auf der Grundlage des gegenseitigen Respekts.	In this connection, of course, the conflict over the caricatures not only comes at the worst possible time, but is even counterproductive in the extreme, for these are the very countries with whom we need a relationship of mutual respect.
Deshalb ist die Lösung dieses Karikaturenstreits auch vorrangig für die Lösung der Probleme in der gesamten Region.	Solving this caricature conflict is also central to solving the problems of the region as a whole, therefore.
Deshalb rate ich dazu, „Iran“ und „Islam“ nicht gleichzusetzen.	For this reason, I would advise against equating ‘Iran’ and ‘Islam’.
Ein aggressiver Staatschef eines Staates ist eine Sache. Er repräsentiert aber mit nichts, was er tut, die überwiegende Mehrheit von friedliebenden Muslimen in der Welt, mit denen wir zusammenarbeiten müssen.	The actions of one aggressive Head of State of one country do not in any way reflect the views of the vast majority of peace-loving Muslims around the world, with whom we have to cooperate.
Ich finde, dass der Vorschlag der IAEO, dass die Anreicherung generell – und zwar für alle Staaten – unter der Kontrolle der Internationalen Atomenergiebehörde stattfinden soll, richtig ist.	I think it is right that all enrichment activities – that is, those by all countries – should be under the control of the International Atomic Energy Agency, as proposed by the IAEA itself.
Diesen Vorschlag müssen wir unterstützen.	We should support this proposal.
Ich finde übrigens auch, dass es durchaus gerechtfertigt ist, daran zu erinnern, dass eine atomare Abrüstungsdebatte nicht auf diese Region reduziert werden darf. Wir brauchen sie weltweit!	I also think, incidentally, that it is perfectly justifiable to refresh memories and say that the debate on nuclear disarmament should not be limited to this region: it needs to be universal.
In diesem Zusammenhang sei mir ein Hinweis erlaubt: Wenn Staaten, die bereits Atomwaffen besitzen, anders behandelt werden, als die Staaten, die auf dem Weg dorthin sind, wenn, obwohl es keine Massenvernichtungswaffen gegeben hat, Präventivschläge gegen ein Land ausgeführt werden, dann ermutigt das Regime, sich möglichst schnell und möglichst illegal Atomwaffen zu beschaffen, denn wer sie besitzt, der wird nicht angegriffen.	In this connection, allow me to point out that treating countries who already have nuclear weapons differently from those who are on the way to having them, and carrying out pre-emptive strikes against countries who did not have any weapons of mass destruction, only encourages regimes to procure nuclear weapons as quickly and illegally as possible, because those who own them will not be attacked.
Das ist eine Logik, über die wir auch diskutieren müssen, die ausgelöst wurde durch einen völlig falschen Präventivschlag, der in der Vergangenheit auch in dieser Region durchgeführt wurde und gegen den wir uns massiv gewehrt haben.	This is a logic that also needs to be discussed, one that was triggered by a pre-emptive strike carried out in the same region in the past, which was utterly wrong and which we vehemently opposed.
Ich glaube, dass die Logik, die dahinter steckte, sehr, sehr gefährlich war. Deshalb müssen wir diese Strategie des Denkens vom Ende her aufgeben.	I believe that the logic behind this was extremely dangerous, and that is why we have to abandon this strategy of goal-based thinking, as it leads to the militarisation of thought.
Denn die Strategie, vom Ende her zu denken, führt zu einer Militarisierung des Denkens.	We must reinforce our diplomatic options step by step.
Wir müssen Schritt für Schritt die diplomatischen Optionen verstärken. Es war doch ein Riesenerfolg der EU3, dass wir China und Russland mit an einen Tisch bekommen und damit dem Iran klar gemacht haben: Die Staatengemeinschaft lässt sich nicht auseinander dividieren.	It was an enormous accomplishment on the part of the EU-3 to bring China and Russia together and thus give Iran a clear signal that the international community will not allow itself to be divided.
Lassen Sie uns doch über diplomatische Erfolge reden, statt über militärische Optionen zu philosophieren.	Let us talk about diplomatic successes instead of philosophising about military options.
Wir sollten alles, was in der Möglichkeit der internationalen Staatengemeinschaft steht, tun, um dem Iran klarzumachen: Kehrt er nicht bis zum 6. März an den Verhandlungstisch zurück, ist der Weg zum Weltsicherheitsrat vorprogrammiert.	The international community should do everything in its power to make it clear to Iran that failure to return to the negotiating table by 6 March will automatically trigger a referral to the Security Council.
Allerdings sind dann die weiteren Schritte dort zu entscheiden und nicht in irgendwelchen Regierungszentralen.	Subsequent action should then be decided there, however, rather than by just any central government.
