– Herr Präsident! Der gemeinsame Entschließungsantrag ist sehr problematisch.	– Mr President, the joint motion for a resolution is very problematic.
In den Ziffern 7 und 4 wird die eskalierende Position der EU-3 unterstützt.	Paragraphs 4 and 7 support the escalating position of the EU-3.
Die EU-3 tragen diesmal wesentlich zur Eskalation bei.	This time, the EU-3 is greatly contributing to the escalation.
Jacques Chiracs Äußerung, dass er bereit sei, Atomwaffen gegen so genannte Terrorstaaten einzusetzen, ist ein Skandal.	Jacques Chirac’s remark that he is prepared to use nuclear weapons against ‘terrorist’ states is scandalous.
Auch der historische Vergleich von Angela Merkel ist völlig inakzeptabel.	The historical comparison drawn by Angela Merkel, too, is completely unacceptable.
Nicht nur das iranische Atomprogramm ist gefährlich. Auch die Atomwaffen in der EU – Frankreich, Großbritannien – und in den USA sind nach dem Atomwaffensperrvertrag abzurüsten.	It is not only Iran’s atomic energy programme that is dangerous; the nuclear weapons in the EU – France and the United Kingdom – and the USA should also be disarmed in accordance with the Treaty on the Non-Proliferation of Nuclear Weapons.
Atomenergienutzung an sich ist problematisch.	The use of nuclear energy in itself is problematic.
Das Zitieren des Iran vor den UN-Sicherheitsrat ist der erste Schritt zu einem militärischen Angriff gegen den Iran.	Summoning Iran before the UN Security Council is the first step towards a military attack on Iran.
Jede militärische Option muss ausgeschlossen werden. Hier hat der deutsche SPD-Vorsitzende Matthias Platzeck völlig Recht.	All military options must be ruled out; German SPD chairman Matthias Platzeck is absolutely right about this.
Offensichtlich ist der Irakkrieg Blaupause für den Konflikt mit dem Iran.	The war in Iraq is obviously a blueprint for the conflict with Iran.
Die unsäglichen Äußerungen des iranischen Präsidenten gegen Israel und die Verletzung von Menschenrechten im Iran dürfen nicht für eine Kriegspolitik gegen den Iran instrumentalisiert werden.	The unspeakable comments by the Iranian President on Israel and the human rights violations in the country must not be exploited for the purposes of a policy of war against Iran.
