. Herr Präsident! Wir kommen hier wieder zu einem sehr sensiblen Bereich.	– Mr President, this takes us to another very delicate area.
Es hat ja einen Vorschlag für einen Rahmenbeschluss der Europäischen Kommission zur Bekämpfung von Rassismus und Fremdenfeindlichkeit gegeben, der am 29. November 2001 vorgelegt wurde.	There has, of course, been a Proposal for a framework decision on combating racism and xenophobia from the Commission, which was presented on 29 November 2001.
Trotz intensiver Beratungen im Rat konnte im Februar 2003 keine Einigung über diesen Vorschlag erzielt werden.	Despite intensive discussions in the Council, it did not prove possible to reach agreement on this proposal in February 2003.
Es war dann in weiterer Folge so, dass im März 2003 die italienische Delegation eine alternative Fassung des Entwurfs des Rahmenbeschlusses vorgelegt hat. Doch auch diese Fassung fand nicht die Zustimmung der Delegationen.	Following on from this, the Italian delegation presented an alternative version of the Proposal for a framework decision in March 2003, but this, too, failed to meet with agreement from the delegations.
Am 24. Februar 2005 beauftragte der Rat daraufhin die Gruppe „Materielles Strafrecht“, die Beratungen über den Entwurf eines Rahmenbeschlusses fortzusetzen.	Subsequently, on 24 February 2005, the Council instructed its working party on substantive criminal law to continue the discussions on the proposal.
Dementsprechend nahm die Gruppe die Arbeiten am Entwurf auf Grundlage des im Jahr 2003 erreichten Standes wieder auf.	Accordingly, the working party resumed the work on the proposal, based on the state of affairs reached in 2003.
Bei der Aussprache über diesen Rahmenbeschluss auf der Tagung des Rates vom 2. bzw. 3. Juni 2005 wurde deutlich, dass kein Spielraum für einen Konsens zwischen den Mitgliedstaaten besteht.	The debate on this framework decision at the Council meeting on 2 and 3 June 2005 made it clear that there is no scope for consensus among Member States.
Das war natürlich bitter, vor allem auch für jene Mitgliedstaaten, die diesen Rahmenbeschluss sehr befürwortet haben.	Naturally, this was a bitter pill to swallow, especially for those Member States who have given this framework decision their strong support.
Eine Wiederaufnahme der Verhandlungen erscheint dem österreichischen Ratsvorsitz angesichts der Ihnen gerade geschilderten Vorgeschichte zu diesem Rahmenbeschluss zum derzeitigen Zeitpunkt nicht Erfolg versprechend.	In view of the past history of this framework decision, which I have just described to you, a resumption of negotiations does not strike the Austrian Presidency as promising at the present time.
Der Vorsitz will aber dieses sehr wichtige Dossier und vor allem auch die politische Botschaft, die hinter diesem Dossier steckt, nicht ganz zum Stillstand kommen lassen. Deswegen werden wir – auch in Abstimmung mit der Europäischen Kommission und der Europäischen Beobachtungsstelle für Rassismus und Fremdenfeindlichkeit – noch während unserer Präsidentschaft ein Seminar zu dieser Thematik durchführen.	Nevertheless, the Presidency does not want to let this very important dossier – and especially the political message behind it – come to a complete standstill, and so we shall be holding a seminar on this subject, also in agreement with the Commission and the European Monitoring Centre for Racism and Xenophobia, before the end of our Presidency.
Wir erwarten zu diesem Seminar ca. 100 Teilnehmer.	We expect there to be about 100 participants in this seminar.
