Herr Präsident! Ich bin einverstanden; unsere Fraktion stimmt dem zu.	Mr President, I agree; our Group accepts that.
Wir können morgen früh hier über Weißrussland diskutieren, das ist überhaupt kein Problem.	We can debate Belarus here tomorrow morning, that is no problem at all.
Aber die Heuchler-Nummer, die ihr hier gerade abgespielt habt, die müssen wir auch einmal miteinander diskutieren.	But we shall also have to discuss the hypocrisy that has just been shown here.
Wenn eine Fraktion der Auffassung ist, dass dieses Thema heute oder morgen hier hätte diskutiert werden sollen, Herr Kollege Poettering, dann hätte ein Telefonanruf gereicht.	If a Group believes that this subject ought to have been debated here today or tomorrow, Mr Poettering, then a telephone call would have sufficed.
Ich habe fünf Minuten vor Beginn dieser Sitzung mit Ihnen telefoniert, ich habe von Ihnen kein Wort zu diesem Thema gehört.	I spoke with you by telephone five minutes before the start of this sitting and I heard not a word from you on this subject.
Ich habe hier eben beantragt, dass wir in der nächsten Sitzung darüber diskutieren, dann hat eine Kollegin darum gebeten, dass wir das jetzt machen.	I have just requested here that we debate it in the next sitting, then a fellow Member asked that we do it now.
Ihre Demokratiefähigkeit zeigt sich auch in Ihrer Fähigkeit zuzuhören!	You also show your democratic credentials in your ability to listen!
Ich bin gleich fertig.	I have nearly finished.
Eine Kollegin hat darum gebeten, dass wir das jetzt machen, darüber kann man ja in Ruhe diskutieren.	A fellow Member asked that we do it now; that can be discussed quietly.
Aber diesen Aufstand hier zu proben, als wären Sie – und nur Sie – die Verteidiger der Interessen Weißrusslands, das können wir hier nicht mitmachen.	But to rehearse this revolt here, as though you – and you alone – were the defender of Belarus’ interests, we cannot go along with that.
Wir können morgen darüber diskutieren, aber nicht mit Ihrem Affentheater.	We can debate the matter tomorrow, but not with your farcical behaviour.
