Frau Präsidentin!	.
Zur Frage des Herrn Abgeordneten Beglitis kann ich zunächst sagen, dass die angesprochenen Fragen dem Rat natürlich sehr wohl bekannt sind.	Madam President, in answer to Mr Beglitis’ question I can first of all say that the Council is of course very much aware of the questions he raises.
Die Ratifizierung und anschließende Anwendung des Protokolls zur Anpassung des Abkommens von Ankara zur Berücksichtigung des Beitritts der zehn neuen EU-Mitgliedstaaten stellt auch eine Priorität dar, und zwar eine Priorität in kurzer Frist im Rahmen der im Jänner 2006 angenommenen überarbeiteten Beitrittspartnerschaft.	The ratification and subsequent application of the protocol adapting the Ankara Agreement to take account of the accession of the 10 new EU Member States is also a priority, and indeed a short-term priority for the revised Accession Partnership agreed in January 2006.
Außerdem haben die Europäische Gemeinschaft und ihre Mitgliedstaaten in ihrer Erklärung vom 21. September 2005 festgehalten, dass die Union beobachtet, ob das Zusatzprotokoll uneingeschränkt und ohne Diskriminierungen auf alle EU-Mitgliedstaaten angewendet wird, und im Jahr 2006 eine entsprechende Beurteilung vornehmen wird.	Moreover, the European Community and its Member States noted in their declaration of 21 September 2005 that the Union would be monitoring whether the additional protocol was being applied to all EU Member States without restriction and without discrimination and would make an assessment of the matter in 2006.
Die Anwendung des Protokolls ist bekanntlich Voraussetzung für die Aufnahme von Verhandlungen über die einschlägigen Kapitel.	As you know, the application of the protocol is a precondition for opening negotiations on the relevant chapters.
Wird das Protokoll nicht im vollen Umfang umgesetzt, so wird dies zweifellos den Fortschritt der Verhandlungen insgesamt beeinträchtigen.	If the protocol is not fully implemented, that will no doubt be detrimental to progress in the negotiations as a whole.
Der Rat wird die bei diesen Fragen erzielten Fortschritte im laufenden Jahr überprüfen.	The Council will be reviewing the progress made on these questions in the course of the year.
Was nun die nicht ausgeräumten Grenzstreitigkeiten anbelangt, so sei auf die entsprechenden Schlussfolgerungen verwiesen, die der Europäische Rat 1999 auf seiner Tagung in Helsinki und im Dezember 2004 auf seiner Tagung in Brüssel angenommen hat.	Now so far as the unresolved border disputes are concerned, I should refer to the corresponding conclusions adopted by the European Council at its meeting in Helsinki in 1999 and at its meeting in Brussels in December 2004.
Es kann natürlich keinen Zweifel darüber geben, dass die Türkei als beitrittswilliges Land die in den Verträgen verankerten Werte und Ziele der Europäischen Union teilen muss.	There can of course be no doubt that if Turkey is seeking accession it must share the European Union’s values and objectives as enshrined in the Treaties.
Sie muss ein unzweifelhaftes Engagement für gutnachbarliche Beziehungen zeigen und ungelöste Grenzstreitigkeiten in Einklang mit dem in der Satzung der Vereinten Nationen verankerten Grundsatz der friedlichen Beilegung von Streitigkeiten ausräumen.	It must show undoubted commitment to good neighbourly relations and settle unresolved border disputes in accordance with the principle of the peaceful settlement of disputes enshrined in the Charter of the United Nations.
Diese Fragen gehören zum Verhandlungsrahmen, stellen kurzfristige Prioritäten der Beitrittspartnerschaft dar und werden bei den Treffen im Rahmen des politischen Dialogs mit der Türkei systematisch zur Sprache gebracht.	These questions form part of the scope of the negotiations, are short-term priorities of the Accession Partnership and are systematically raised in political dialogue meetings with Turkey.
Was die Wiedereröffnung der Theologischen Fakultät von Chalki betrifft, so ist dies eine Forderung, die die Union gegenüber der Türkei weiterhin mit Nachdruck erhebt.	So far as the reopening of the Theological School of Halki is concerned, this is a demand that the Union continues to raise forcefully with Turkey.
Die Religionsfreiheit, über die wir heute auch schon gesprochen haben, ist allgemein einer der Bereiche, in denen dringend weitere Fortschritte erzielt werden und nun konkrete Maßnahmen getroffen werden müssen.	Freedom of religion generally, of which we have already spoken today, is one of the areas in which further progress must be made as a matter of urgency and where concrete measures must now be taken.
Der Erlass eines Gesetzes, das alle Schwierigkeiten nicht-moslemischer religiöser Minderheiten und Religionsgemeinschaften entsprechend den geltenden europäischen Standards regelt, ist eine der kurzfristigen Prioritäten der Beitrittspartnerschaft.	The enactment of a law that will deal with all the difficulties of non-Muslim religious minorities and religious communities in accordance with current European standards is one of the Accession Partnership’s short-term priorities.
Ich bin erst vor zwei Tagen mit der Präsidentin des türkischen Verfassungsgerichtshofes zusammengetroffen und habe dabei diese Frage auch angesprochen.	I met with the president of the Turkish constitutional court only two days ago and I also raised this question then.
Es wurde mir versichert, dass der Verfassungsgerichtshof Maßnahmen bezüglich der Rechtspersönlichkeit und der Fähigkeit von Religionsgemeinschaften, Grundeigentum zu erwerben, getroffen hat, und dass diese Maßnahmen tatsächlich Rechtskraft erlangt haben oder erlangen werden.	She assured me that the constitutional court has taken measures concerning the legal personality of religious communities and their ability to acquire property and that those measures have actually obtained or will obtain legal force.
Jedenfalls ist das ein Thema, das wir regelmäßig ansprechen.	It is certainly a matter that we regularly raise.
Vor diesem Hintergrund kann der Rat dem Abgeordneten versichern, dass wir diese Fragen im Rahmen des laufenden Reformprozesses in der Türkei auch weiterhin verfolgen und dabei den Schlussfolgerungen des Europäischen Rates vom Dezember 2004, dem Verhandlungsrahmen für die Türkei und der überarbeiteten Beitrittspartnerschaft in vollem Umfang Rechnung tragen werden.	In the light of this, the Council can assure the honourable Member that we are continuing to pursue these questions in the ongoing reform process in Turkey and in so doing will take full account of the conclusions of the December 2004 European Council, the negotiating framework for Turkey and the revised Accession Partnership.
Inwieweit bei den Reformen Fortschritte erzielt werden und die Türkei ihre vertraglichen Verpflichtungen einhält, wird selbstverständlich Auswirkungen auf den Verhandlungsprozess haben.	The extent to which progress is made in the reforms and Turkey complies with its Treaty obligations will naturally affect the negotiation process.
Den Ergebnissen, zu denen der Rat bei seinen weiteren Beratungen über diese Fragen gelangen wird, kann jedoch beim derzeitigen Stand natürlich nicht vorgegriffen werden.	As things stand at present, however, I cannot of course anticipate the conclusions the Council will reach in its further deliberations on these questions.
