Herr Präsident, Herr Kommissar, meine sehr geehrten Damen und Herren!	. – () Mr President, Commissioner, ladies and gentlemen.
Herr Kommissar, Sie haben uns vieles gesagt und viel aufgelistet, und eigentlich könnten wir jetzt auch sagen, wir haben schon viel erreicht mit unseren Anliegen, die wir hier diskutiert und vorgetragen haben.	You, Commissioner, have told us many things and listed them for us, and we could actually even say that we have already achieved a great deal to address the concerns discussed and presented here.
Wir haben am 17. Januar 2006 den Bericht von Christa Prets zum Thema „Strategien zur Verhinderung des Handels mit Frauen und Kindern, die durch sexuelle Ausbeutung gefährdet sind“ verabschiedet, im März 2006 haben wir eine mündliche Anfrage mit einer Entschließung zur Zwangsprostitution im Rahmen internationaler Sportereignisse angenommen, und außerdem wurde am 8. März diesen Jahres ein Seminar „Rote Karte für Zwangsprostitution“ im Europäischen Parlament veranstaltet.	It was on 17 January 2006 that we adopted Mrs Prets’ report on ‘Strategies to prevent the trafficking of women and children who are vulnerable to sexual exploitation’; in March 2006 we adopted an oral question with a resolution on forced prostitution during international sporting events, and furthermore, on 8 March of this year, we organised the ‘red card to forced prostitution’ campaign in this House.
Aber wir geben einfach noch keine Ruhe.	However, we still just keep on going.
Alle Aktionen beinhalten ganz konkrete Vorschläge zur Bekämpfung der Zwangsprostitution.	All these projects contain very practical proposals for combating forced prostitution.
Momentan findet die Fußballweltmeisterschaft in Deutschland statt.	At the moment the football World Cup is taking place in Germany.
Wir wissen, dass während solcher Ereignisse ein spektakulärer Anstieg der Nachfrage nach sexuellen Dienstleistungen verzeichnet wird und dass es vor und während solcher Veranstaltungen zu erhöhten kriminellen Handlungen wie Menschenhandel und Zwangsprostitution kommt.	We know that during such events there is a spectacular increase in the demand for sexual services, and that before and during them there is an increase in the incidence of criminal activities such as human trafficking and forced prostitution.
Bereits im März forderte ich an dieser Stelle Aufklärung einerseits vor Ort — also in den Ländern, aus denen die meisten Frauen hergebracht werden — und andererseits in dem Land, in dem die Veranstaltung stattfindet, gute Information und Öffentlichkeitsarbeit, auch Sensibilisierung potenzieller Freier, eine mehrsprachige Telefonhotline rund um die Uhr und die Sicherstellung einer anschließenden Betreuung der Anruferinnen durch die Polizei und Bereitstellung von Rettungsdiensten und Frauenhäusern.	As early as March I asked, in this House, that, on the one hand, information be provided on the ground, in the countries from which most women are taken, with, on the other, in the country in which the event takes place, good information and public relations work, raising awareness among potential clients, a 24-hour multilingual telephone hotline and the guarantee that those who call it will subsequently be offered care and support by the police, emergency services and women’s refuges.
Es ist einerseits die Fußballweltmeisterschaft, die jetzt begonnen hat, aber es gab auch eine Eishockeyweltmeisterschaft, vielleicht eine etwas kleinere Veranstaltung, mit sicherlich den gleichen Problemen.	While, on the one hand, the football World Cup has now begun, there was also an ice hockey World Cup – perhaps a slightly smaller event, but certainly with the same problems.
Wir stellen heute die Frage — und ich danke Anna Záborská, dass sie diese Frage für uns formuliert hat: Wie wird das Angebot angenommen?	Today we need to ask – and I want to thank Mrs Záborská for having formulated this question for us – in what ways this offer is being accepted.
Darauf müssen wir uns jetzt fokussieren.	That is what we now have to focus on.
Die Fußballweltmeisterschaft läuft jetzt. Die kostenfreie Telefonhotline ist nach Anfangsproblemen jetzt bis zum 31. Juli eingerichtet.	The World Cup is now on, and the free telephone hotline - after initial teething problems – will now be in place until 31 July.
Aber wir müssen aus diesen Aktionen auch Schlüsse für kommende Großveranstaltungen ziehen.	However, we must draw conclusions from these projects that can be applied to future big events.
Wir müssen aus den Problemen lernen, und da müssen wir jetzt den richtigen Ansatz finden.	We have to learn from any problems and find the right approach.
Dazu bitte ich uns alle und auch Sie, als Kommissar, das in die Wege zu leiten.	I want to ask all of us and you too, Commissioner, to make this happen.
