Herr Präsident, Herr Bundeskanzler! Sie haben gefordert: , ein bisschen mehr Freude!	Mr President, Mr Schüssel, you have asked us to say , and to display a little more joy.
Das begrüßen auch Alemannen, selbst wenn man uns nachsagt, dass wir zum Lachen in den Keller gehen.	That is something we Alemannians can welcome too, even though people say that when we want to laugh we go into the cellar to do it.
Aber lassen Sie mich bitte auf Ihre musikbezogene Anspielung mit einem Literaturzitat antworten.	However, please let me respond to your musical allusion with a literary quotation.
Ich weiß nicht, was Sie gerade an die wichtigen Herrschaften im Hause verteilt haben, aber ich würde sagen, „die Botschaft höre ich wohl, allein mir fehlt der Glaube“, und Sie selber wissen natürlich auch, dass vor einer Freude durch Verdrängung zu warnen ist, weil eine falsche Freude zu völligem Realitätsverlust führt und dann zu politischer Depression.	I do not know what you have just shared with the important people in this Chamber, but I would say ‘I hear the message well, but lack Faith’s constant trust’. You know, of course, to beware joy if it stems from repression or denial, because fake joy can make you lose all grip on reality and can then lead to political depression.
Das ist dann noch schlimmer als die Tristesse.	That is even worse than .
Wie sieht denn die Bilanz aus?	What does the closing balance look like?
Wir haben es mit der größten Umverteilung in der Geschichte der Menschheit in Friedenszeiten zu tun.	We are dealing with the greatest peacetime redistribution in human history.
Da ist vieles versprochen worden.	A great deal has been promised.
Was hat sich denn bewegt?	What has actually changed?
Sie haben selbst die Frage der Volksabstimmungen zum Thema gemacht.	You yourself mentioned the issue of the referendums.
Was ist daraus geworden?	What has become of those?
Jetzt haben wir nichts mehr davon gehört.	Now we no longer hear about them.
Dann die Frage der Aufnahmefähigkeit der Europäischen Union, Schweigen, und leider auch bei der Frage der Transparenz.	There is also silence on the question of the European Union’s absorption capacity, as well as on the question of transparency.
Sie selbst haben hier noch am 18. Januar gesagt, die Verschwendung von manchen Programmen ist zu beklagen, dagegen gibt es Rezepte, nämlich Kontrolle.	You yourself said here on 18 January that the amount of money wasted on many programmes is lamentable and that there are remedies for this, namely inspections.
Das alles gehört veröffentlicht. Die Veröffentlichung der Subventionsvergabe sei das Richtige.	Such information should be published, and the right thing to do would be to publish details of subsidies that have been awarded.
Auch dazu jetzt Schweigen.	Yet there is also silence on this matter now.
Durch das Schweigen Stille und durch die Stille Stillstand.	Silence leads to stillness and stillness leads to a standstill.
Das kann es nicht sein.	That will not do.
Daneben, das wird wohl auch bis an Ihr Ohr gedrungen sein, hat die österreichische Präsidentschaft ein bisschen den Ruf erworben, als würde auf sie der Spitzname zutreffen , das große Fressen.	By the way - and I am sure even you have got wind of this - the Austrian Presidency seems to have acquired the kind of reputation that goes with the nickname , ‘the blow-out meal’.
Das ist es auch nicht.	That will not do either.
Echte Freude kann es nur mit Demokratie, Kontrolle und Gerechtigkeit geben, und da schauen wir, wohin wir damit kommen.	There can only be real joy if we have democracy, controls and justice, and so let us see how far these values can take us.
