Herr Präsident, Herr Kommissar, meine Damen und Herren!	.
Für die Erklärung von Kommissar Michel tragen er selbst und die Kommission die Verantwortung. Für eine von Kommissar Michel vor einiger Zeit in einem Interview gemachte Äußerung trägt er allein die Verantwortung.	Mr President, Commissioner, ladies and gentlemen, responsibility for Commissioner Michel’s statement lies with him himself and with the Commission; he alone bears responsibility for a statement he made some time ago in an interview.
Der Entwicklungsausschuss hat sich hierzu vor einer Woche mit dem Kommissar auseinandergesetzt. Für mich ist die Angelegenheit damit erledigt.	The Committee on Development discussed this with the Commissioner a week ago, and as far as I am concerned that lays the matter to rest.
Eine Lehre müssen wir allerdings aus dem Vorgefallenen ziehen. Was hier zum Kongo gesagt wird, findet nicht immer bei uns, doch sehr wohl dort allerhöchste Aufmerksamkeit.	There is one lesson, though, that we must learn from what has happened, and it is that what is said in this House on the subject of the Congo may well not always be listened to here, but a very great deal of attention will be paid to it there, as we have been obliged – painfully – to learn.
Das haben wir leidvoll erfahren müssen. Darum hüte jeder seine Zunge bei dem, was er hier zur Debatte beiträgt!	Let every one of us, then, be careful in what we say in our contributions to this debate.
Dies ist der Abend, an dem die Ergebnisse der Parlamentswahl und die Ergebnisse der Prüfung durch das Oberste Gericht erwartet werden. Dies ist der Moment, an dem der erste Wahlgang zur Präsidentschaftswahl abgeschlossen werden kann.	This very evening, the results of the parliamentary elections and the outcome of the scrutiny by the Supreme Court are expected.
Es ist grundsätzlich nicht angebracht, zu diesem Zeitpunkt über den Kongo zu debattieren.	That is the moment at which the first round of the presidential election can be regarded as over.
Dennoch wollen wir von hier aus das kongolesische Volk und seine unabhängige Wahlkommission beglückwünschen. Sie haben diesen ersten Wahlgang durch engagierte Arbeit, Geduld und Durchhaltevermögen zum Erfolg gemacht.	Even though it is fundamentally improper that we should be debating the Congo at this point in time, let us, here in this House, congratulate the Congolese people and its independent electoral commission, whose dedicated work, patience and tenacity have made this first electoral round a success.
Wünschen wir dem kongolesischen Volk und uns, dass die nach vierzig Jahren zum ersten Mal neu gewählte Nationalversammlung zusammentreten und ihre Arbeit aufnehmen kann!	Let us hope, for our own sake and for that of the Congolese people, that the first national assembly to be elected for forty years may be able to convene and commence its work.
Sie wird dazu beitragen, das Land zu stabilisieren.	It will help to stabilise the country.
Sie wird uns ein wichtiger Gesprächspartner sein.	It will be for us an important partner in dialogue.
Wirken wir mit an der Vorbereitung der Provinzialwahlen! Zur Unterstützung müssen Europa und seine Mitgliedstaaten wirksam beitragen, und unsere Unterstützung muss den gesamten Wahlprozess sowie auch die anschließende Aufbauphase umfassen.	Let us play our part in preparing the provincial elections; Europe and its Member States must play an effective supportive role, not only in the electoral process from beginning to end, but also in the subsequent period of reconstruction.
Die Wahlbeobachtungsmission der EU bleibt vor Ort, wie unser Kollege Morillon bestätigen wird. Die UNO leistet ihren erheblichen Beitrag.	As Mr Morillon will confirm, the EU’s election monitoring commission is staying put, and the UN is making its own considerable contribution.
MONUC und EUFOR haben ihre Rollen gefunden und genießen Respekt, und wir Abgeordnete werden den kommenden Wahlgang beobachten.	MONUC and EUFOR have found their roles and enjoy respect, and we MEPs will observe the forthcoming round of elections.
