Das letzte Wort in der Angelegenheit PFOA ist nicht gesprochen.	The final decision has not yet been taken in the matter of PFOA.
Es war nicht möglich, das Verbot dieser Substanzen in diese Richtlinie aufzunehmen, weil wir über keine ausreichende Risikobewertung und auch über keine Folgenabschätzung verfügen.	It was not possible to include a ban on these substances in the Directive, as we are not in possession of a satisfactory risk assessment or an impact assessment.
Aber es läuft zurzeit eine internationale Risikobewertung auf der Ebene der OECD.	An international risk assessment is being carried out at present at OECD level, however.
Wir werden die Ergebnisse selbstverständlich sorgfältig betrachten und, falls notwendig, die entsprechenden Vorschläge machen.	Naturally, we shall look at the results carefully and make any necessary proposals.
Ich wohne in demselben deutschen Bundesland wie der Herr Abgeordnete Liese und habe den Fall, den er geschildert hat, selber mit großem Interesse verfolgt.	I live in the same German Land as the honourable Member Mr Liese and have been following the case he described myself with great interest.
Ich kann heute dazu nur Folgendes sagen: Die Untersuchungen der deutschen Behörden sind ja nicht abgeschlossen, ich gewinne aber sehr stark den Eindruck, dass wir es hier schlicht und einfach mit einem Fall von Umweltkriminalität zu tun haben.	All I can say today is that, although the investigations by the German authorities have not been concluded, I have the very strong impression that this is a case of environmental crime, plain and simple.
Hier sind entgegen dem bestehenden Recht Giftstoffe in die Umwelt eingebracht worden.	Contrary to the law in force, toxic substances have been introduced into the environment.
Ob man das mit diesen Richtlinien hätte verhindern können, steht auf einem anderen Blatt.	Whether these Directives could have prevented this is a different story.
Doch die Risiken, die Herr Liese beschrieben hat, sind auf diese Art und Weise noch einmal ausdrücklich bestätigt worden, und deshalb fand ich es wichtig, dass er auf diesen Fall hingewiesen hat.	Nevertheless, I think it important that Mr Liese referred to this case, as it confirms explicitly once more the kind of risks he described.
In einer modernen Industriegesellschaft wird es immer unumgänglich sein, mit bestimmten Risiken zu leben.	In a modern industrial society, it is inevitable that we have to live with certain risks.
Die Frage, welche Risiken wir für akzeptabel halten und welche nicht, ist eine Frage, die wir immer wieder neu entscheiden müssen.	The question as to which risks we consider acceptable and which we do not is one on which we have to keep deciding anew.
Es gibt eine Reihe von Beurteilungsmaßstäben, die uns dabei helfen können.	There is a series of assessment benchmarks that can help us make this decision.
Ich will Ihnen aber einen nennen, den ich nicht akzeptiere - und hier spricht der Industriekommissar.	I should like to mention one risk that I do not accept - and here I am speaking as the Commissioner for Industry.
Ich akzeptiere nicht das Argument, wir müssten das Risiko hochtoxischer Substanzen in unserer Umwelt akzeptieren, weil es Investitionen gegeben hat.	I do not accept the argument that we must accept the risk of highly toxic substances in our environment because investments have been made.
Ich akzeptiere nicht das Argument, wir müssten solche Substanzen akzeptieren, weil damit Erträge erwirtschaftet werden.	I do not accept the argument that we must accept such substances because they lead to revenue generation.
Ich akzeptiere nicht einmal das Argument - auch wenn ich mir jetzt keine Freunde mache -, wir müssten diese Substanzen verwenden, weil damit Arbeitsplätze erhalten werden.	I do not even accept the argument - even if this does not make me any friends - that we must use these substances so that jobs are not lost.
Ich halte diese Gegenüberstellung von Arbeitsplätzen in der Industrie und der Verwendung von giftigen Substanzen, die substituierbar sind, für völlig unangemessen.	I consider wholly inappropriate this comparison between jobs in industry and the use of toxic substances for which alternatives exist.
In einer solchen Situation kann die Entscheidung immer nur die sein, Mensch und Umwelt vor Risiken, die nicht unvermeidbar sind, bedingungslos zu schützen.	In situations such as this, the decision can only be to protect human beings and the environment unconditionally from avoidable risks.
Das ist die Linie, die jedenfalls meiner Politik in all diesen Fragen zugrunde liegt.	This is the line that underlies my policy, at least, on all these issues.
Sie werden das merken, wenn wir in kurzer Zeit in diesem Plenum über die wichtigste, die umfangreichste und modernste Chemikaliengesetzgebung der Welt zu sprechen haben, nämlich über REACH.	The House will notice this when we come to discuss the most important, extensive and modern chemicals legislation in the world - namely REACH - shortly in plenary.
