im Namen der GUE/NGL-Fraktion. - Herr Präsident! Die Grünen scheinen zu lernen.	on behalf of the GUE/NGL Group. - Mr President, the Greens appear to be learning.
Der Vorsitzende des Unterausschusses Sicherheit und Verteidigung hat einen Bericht zur EU-Militärpolitik vorgelegt.	The chairman of the security and defence sub-committee has produced a report on military policy in the EU.
Der Bericht ist inzwischen in sozialdemokratische Watte gepackt. Die ursprünglich klare Sprache wurde entschärft.	The report has now been wrapped up in social democratic cotton wool, its language - originally unmistakeable - robbed of its punch.
Die Formulierung, dass die EU unter bestimmten Bedingungen für ein Präventivkriegskonzept offen sein soll, die im Entwurf noch vorhanden war, ist offensichtlich nicht mehr vermittelbar gewesen. Das war wohl zu viel Klartext.	It is evident that no place could be found for the statement in the draft to the effect that the EU ought, under certain conditions, to be open to the concept of pre-emptive warfare; that sort of talk was, no doubt, too plain.
Im Bericht finden sich die üblichen politischen Fehler einer militarisierten EU-Außenpolitik.	The report makes the mistakes usually associated with a militarised EU foreign policy.
Die Gefahrenanalyse der ESS, die im Bericht übernommen wird, nennt als die größten Bedrohungen, denen die Europäische Union und ihre Bürger gegenüberstehen, den internationalen Terrorismus, die Verbreitung von Massenvernichtungswaffen, regionale Konflikte, Scheitern von Staaten und organisierte Kriminalität.	It incorporates a risk analysis of the European Security Strategy, according to which the principal threats faced by the European Union and its citizens are international terrorism, the proliferation of weapons of mass destruction, regional conflicts, failed states and organised crime.
Was ist mit Armut, Hunger und sozialer Ungleichheit?	What about poverty, hunger and social inequality?
Im Bericht wird einer militärischen Grenzüberwachung - gegen wen eigentlich? - ebenso wie einem militärisch abgesicherten Ressourcenzugang das Wort geredet.	The report speaks up for military border surveillance - aimed against whom, I wonder? - and for the use of military means to secure access to resources.
Die EU will eine strategische Partnerschaft mit der NATO aufbauen. Im Bericht wird die "zunehmende Fähigkeit der NATO, eine Rolle in Einsätzen außerhalb ihres Bündnisgebietes zu übernehmen", begrüßt.	The EU wants to develop a strategic partnership with NATO; the report 'welcomes NATO's increasing capability of playing a role in out-of-theatre operations' - and that in a report from the European Parliament!
Dies in einem Bericht des Europäischen Parlaments! Es wurde eine erhebliche Stärkung der Einsatzkapazitäten Europas einschließlich des Luft- und Seetransports gefordert, und die zivil-militärische Vermischung wird noch weiter vorangetrieben.	It also calls for a considerable strengthening of Europe's operational capacities, including air and sea transport, and the conflation of civilian and military is taken still further.
Der Bericht ist ein Forderungskatalog für noch mehr Militarisierung der Europäischen Union. So wird mehr Geld für Kriseneinsätze gefordert, und diese sollen aus dem Gemeinschaftshaltshalt finanziert werden, also neue Finanzierungen.	The report amounts to a catalogue of demands aimed at the further militarisation of the European Union - demanding, among other things, more money for crisis operations, which will have to be found from the Community budget, which means new financial arrangements.
Nach den Tricksereien mit ATHENA wird nun vorgeschlagen, einen virtuellen Militärhaushalt einzuführen.	After the games played on us with Athena, what is now being proposed is the introduction of a virtual military budget.
Wir wissen alle, dass der Vertrag von Nizza richtigerweise einen eigenständigen EU-Militärhaushalt verbietet. Deshalb wird der tote EU-Verfassungsvertrag wieder bemüht; es heißt: "unterstreicht die Bedeutung des Vertrages über eine Verfassung für Europa, der wesentliche Fortschritte zu einer Union für Sicherheit und Verteidigung erbringen soll".	We all know that the Treaty of Nice, quite rightly, outlaws any freestanding military budget for the EU; that is why attempts are being made to resurrect the deceased EU constitutional treaty, for as it says, 'stresses the importance of the Treaty establishing a Constitution for Europe, which will bring about major progress towards a Security and Defence Union'.
Genau deshalb sind wir auch gegen diesen EU-Verfassungsvertrag.	It is for precisely that reason that we are opposed to this Constitutional Treaty for the EU.
Was hier gefordert wird, ist eine EU-Militärunion.	What is being called for here is the EU as a military union.
