Verfasser. - Herr Präsident! Der 10. Dezember war der Internationale Tag der Menschenrechte.	author. - Mr President, 10 December 2006 was International Human Rights Day.
In vielen Staaten war dies kein Feiertag, sondern ein Trauertag.	In many countries, this was not a holiday but a day for mourning.
So auch in Burma, wo brutale Übergriffe, Tötungen und Zwangsarbeit an der Tagesordnung sind.	This is the case in Burma, for instance, where brutal attacks, killings and slave labour are the order of the day.
Hunderttausende wurden vertrieben oder flohen vor Ausschreitungen.	Hundreds of thousands of people have been driven away or have fled in the face of rioting.
Erstmals seit 18 Jahren gab es Veränderungen in der Regierung mit einem Personalaustausch bei den Streitkräften.	For the first time in 18 years, there were changes in the government with a change of personnel in the armed forces.
Der Junta-Chef, General Than Shwe, aber blieb, ebenso sein Stellvertreter Maung Aye.	However, the Junta chief, General Than Shwe, remained, along with his deputy, Maung Aye.
Die EU stellte fest, dass nach wie vor Menschenrechte massiv verletzt werden.	The EU established that gross human rights violations are still taking place.
Erst kürzlich wurden Burmesen gezwungen, Polizeistationen und Gebäude für das Militär gegen ihren Willen zu bauen.	Just recently, Burmese people were forced to construct police stations and buildings for the military against their will.
Arbeiter mussten als menschliche Spürhunde durch vermintes Gebiet laufen.	Workers had to walk like human tracker dogs through minefields.
Diese perfide Zwangsarbeit darf nicht hingenommen werden.	This perfidious slave labour should not be tolerated.
Eine negative Zuspitzung erfuhr auch das Internationale Rote Kreuz.	The International Red Cross also experienced a worsening of the situation.
Ihm wurde die Weiterarbeit verboten.	It was prohibited from carrying out further work.
Es musste sich aus den Regionalbüros zurückziehen und die Bevölkerung ohne medizinische Versorgung zurücklassen.	It had to withdraw from its regional offices, leaving the population without medical supplies.
Grundsätzlich muss Hilfe von außen für das burmesische Volk geleistet werden, aber diese Hilfe muss die Menschen direkt erreichen, und darf nicht in die Hände des Regimes fallen.	Essentially, aid for the Burmese people must come from outside, but this aid must reach the people directly, without falling into the hands of the powers that be.
In Burma sind 30% der Kinder unterernährt, gleichzeitig ist das Land der zweitgrößte Produzent von Opium.	In Burma, around 30% of the children are malnourished whilst at the same time, the country is the second largest opium producer.
Tausende sind politische Gefangene und die Sacharow-Preisträgerin Aung San Suu Kyi stand zehn der letzten 16 Jahre unter Hausarrest.	Many thousands are political prisoners and the Sakharov prize winner, Mrs Aung San Suu Kyi, has been under house arrest for the last 16 years.
Große ethnische Gruppen werden drangsaliert und jede Opposition im Keim erstickt.	Large ethnic groups have been oppressed and any opposition nipped in the bud.
Wir fordern China und weitere Staaten auf, endlich die Hilfe für die Militärjunta einzustellen und sich an internationalen Maßnahmen zu beteiligen, die positive Veränderungen in Burma bewirken sollen.	We call on China and other countries to finally discontinue aid for the military Junta and to participate in international measures designed to bring about positive changes in Burma.
Aktionen der ASEAN-Staaten gegen die Herrschenden sind ein wichtiger und notwendiger Schritt.	Action taken by the ASEAN countries against those in power is an important and necessary step.
Burma braucht eine Road Map zur Demokratie, um Menschenrechte zu institutionalisieren und um eine Konvention zu verabschieden, die Schritte für die Einführung der Demokratie einleitet.	Burma needs a road map to democracy in order to institutionalise human rights and to adopt a convention which introduces steps for the introduction of democracy.
Die EU, Herr Kommissar, muss sehr viel aktiver werden und vielleicht sogar Sanktionen verhängen, damit die Gewalt ein Ende hat.	Commissioner, the EU must become much more active and perhaps even impose sanctions to bring the violence to an end.
