Herr Präsident! Ich möchte die Gelegenheit nutzen und Ihnen herzlich gratulieren!	Mr President, I would like to take this opportunity to congratulate you!
Herr Berichterstatter, ich möchte die Gelegenheit nützen und auch Ihnen - obwohl wir in einem gewissen Detailbereich Ihres Berichts nicht derselben Meinung sind - meinen Respekt für die Zähigkeit, die Beharrlichkeit und die Vehemenz ausdrücken, mit der Sie den Bericht verfolgen, schon seit ich in diesem Hause bin, und dabei ja relativ erfolgreich sind.	Mr Jarzembowski, I would also like to take the opportunity to express my respect - even though we have different opinions on a certain specific area of your report - for the resolve, tenacity and vigour with which you have pursued this report, as long as I have been in this House, and for the relative success you have achieved.
Nach außen hin wollen wir doch alle dasselbe für die europäische Eisenbahn: hohe Qualität, hohe Sicherheit, gute Arbeitsbedingungen.	On the surface, we all want the same thing for the European railways: high quality, high safety standards and good working conditions.
Es wird immer gesagt, der Weg dorthin und die Vorstellungen davon seien verschieden. Ich bin mir nicht ganz sicher, ob das wirklich der Fall ist.	It has always been said that we have differing visions of that and differing ideas of how to get there, but I am not so sure that that is really true.
Ich frage mich: Warum sind eigentlich hauptsächlich jene Kolleginnen und Kollegen, die beispielsweise in der Frage der Wegekostenrichtlinie die Eisenbahn nicht wirklich gestärkt haben, indem sie gewisse Dinge etwas hinausgeschoben haben, jetzt auf der Seite derjenigen, die liberalisieren wollen?	I wonder why it is mainly those Members who did not really strengthen the railways in the matter of the Infrastructure Costs Directive, by rather overemphasising certain things, that are now on the pro-liberalisation side.
Warum hat beispielsweise der vorherige österreichische Verkehrsminister so auf diese Liberalisierung gedrängt und gleichzeitig in seiner heimischen Eisenbahnpolitik die Österreichischen Bundesbahnen beinahe in den Ruin geführt?	Why, for example, did the former Austrian transport minister push so hard for liberalisation, while at the same time running the Austrian railways almost into the ground with his domestic railway policy?
Und warum haben wir nicht alle den vielleicht vernünftigeren Weg gewählt, nämlich zu sagen, wir schauen uns die Liberalisierung im internationalen Bereich einmal an und entscheiden erst, wenn wir die Ergebnisse dieses Weges sehen, darüber, ob wir diesen Weg weitergehen wollen?	Why have we not all gone down the perhaps more sensible route of saying that we will first of all examine liberalisation in the international arena, and wait until we can see where this path takes us before we decide whether we want to continue down it?
Wenn wir das so machen gemacht hätten, könnte ich ohne Zweifel sagen, dass alle hier für den Fortschritt der Eisenbahn in Europa sind.	If we had done that, I would have been able to say with certainty that everybody here is in favour of progress on Europe's railways.
Ich glaube nicht, dass hier eine Art neoliberaler Feldzug gegen die Eisenbahn stattfindet.	I do not think that some kind of neoliberal anti-railway campaign is underway here.
Das glaube ich ganz dezidiert nicht, obwohl der Berichterstatter rechtzeitig zur Präsentation des Berichts im Plenum etwas nach rechts gerückt ist.	I really do not think that, even though the rapporteur has shifted somewhat to the right in time to present the report to plenary.
Aber auch ich bin ja mit nach rechts gerückt. Das sagt nichts aus.	I have shifted to the right with him, so that says nothing.
Ich glaube doch, dass es sehr viele verschiedene Gründe für diesen Weg zur Liberalisierung gibt, die ich nicht zur Gänze mittragen kann.	I do think, though, that there are many different reasons for following this path to liberalisation that I cannot fully share.
Deshalb möchte ich jetzt noch nicht auf diesen Zug aufspringen.	I therefore do not want to jump on this bandwagon just yet.
Vielleicht werde ich später noch einmal überzeugt werden, aber derzeit möchte ich dies im Bereich der nationalen Liberalisierung noch nicht mittragen.	Perhaps I will be convinced in time, but at the moment, when it comes to national liberalisation, I do not want to be a part of it.
