amtierender Ratspräsident. Herr Kollege Posselt!	President-in-Office of the Council.
Auf Ihre Frage darf ich wie folgt antworten: Die Europäische Union unterstützt die Bemühungen von Martti Ahtisaari uneingeschränkt.	Mr Posselt, my answer to your question is as follows. Martti Ahtisaari's endeavours have the unqualified support of the EU.
Dabei lautet das strategische Ziel nach wie vor, rasch eine dauerhafte Regelung im Kosovo herbeizuführen, ohne die Demokratie in Serbien und die Stabilität in der gesamten Region zu gefährden.	The strategic objective in this regard is still to achieve a lasting settlement for Kosovo quickly without endangering democracy in Serbia or the stability of the region as a whole.
Die Europäische Union ist zurzeit mit Planungen für drei Vorhaben beschäftigt.	The EU is currently working on plans for three projects.
Es handelt sich um die internationale zivile Mission, um eine Rechtsstaatsmission und um Programme zur Fortsetzung der Förderung der Wirtschaftsentwicklung und der europäischen Perspektive des Kosovo.	These are the international civilian mission (ICM), a rule of law mission and programmes for continuing the promotion of economic development and furthering Kosovo's prospects of EU membership.
In allen drei Fällen finden die Planungen in enger Zusammenarbeit mit den Behörden vor Ort und den anderen internationalen Beteiligten, insbesondere den Vereinigten Staaten und der NATO statt.	In all three cases, the plans are being made in close cooperation with the local authorities and other international actors, particularly the United States and NATO.
Das Team zur Vorbereitung der internationalen zivilen Mission hat am 9. Oktober 2006 seine Arbeit in Priština aufgenommen.	The team making preparations for the international civilian mission started work in Priština on 9 October 2006.
Es hat die zweifache Aufgabe, nämlich den Aufbau und die Personalausstattung der Mission zu planen und ihren Bedarf an Infrastrukturen zu ermitteln und gleichzeitig mit der UNMIK und den zuständigen Stellen des Kosovo eine mögliche Übertragung von Zuständigkeiten auf die Behörden vor Ort einerseits und die ICM andererseits vorzubereiten.	It has the twofold task of planning the structure and staffing of the mission and determining its infrastructure requirements and, together with UNMIK and the competent Kosovo authorities, preparing the possible transfer of competences to both the ICM and the local authorities.
Ein Planungsteam zur Vorbereitung einer möglichen Rechtsstaatsmission im Rahmen der europäischen Sicherheits- und Verteidigungspolitik befindet sich seit Mai 2006 im Kosovo.	Since May 2006, a Planning Team has been in Kosovo to prepare a possible rule of law mission within the framework of the European Security and Defence Policy (ESDP).
Die geplante Mission soll in Fragen der Rechtsstaatlichkeit allgemein anleitend, beobachtend und beratend tätig werden.	The planned mission is intended to have a general role in teaching, observing and advising in matters of the rule of law.
Sie hätte darüber hinaus in einigen Bereichen des Polizei-, Justiz- und Zollwesens Exekutivbefugnisse.	In addition, it would have executive powers in some fields relating to the police, the judiciary and customs.
Der genaue Umfang des Mandats wird nach der Statusregelung festzulegen sein.	The precise scope of its mandate will have to be established after the resolution of the status issue.
Die Mission, die nach Abschluss des Statusprozesses und einer Übergangsphase mit UNMIK eingeleitet werden würde, wäre die bislang größte zivile ESVP-Mission.	The mission, which would be introduced following the conclusion of the status process and a transitional period where it worked jointly with UNMIK, would be the largest civilian ESDP mission to date.
Ein erfolgreicher Abschluss des Statusprozesses, der von Präsident Ahtisaari geführt wird, ist entscheidende Voraussetzung dafür, dass den Menschen im Kosovo eine klare Perspektive geboten werden kann, aber auch für Stabilität in der gesamten Region.	A successful conclusion of the status process, which is being led by Mr Ahtisaari, is essential not only to give the people of Kosovo clear prospects, but also for stability in the whole region.
Er ist der letzte Punkt im Prozess der Auflösung des ehemaligen Jugoslawiens.	The conclusion of this process represents the end point in the dissolution of the former Yugoslavia.
